subset,band,wavelength_nm
kruskal_cluster_soft_corr_0p90_top_30,band_381,381
kruskal_cluster_soft_corr_0p90_top_30,band_721,721
kruskal_cluster_soft_corr_0p90_top_30,band_2444,2444
kruskal_cluster_soft_corr_0p90_top_30,band_377,377
kruskal_cluster_soft_corr_0p90_top_30,band_722,722
kruskal_cluster_soft_corr_0p90_top_30,band_361,361
kruskal_cluster_soft_corr_0p90_top_30,band_723,723
kruskal_cluster_soft_corr_0p90_top_30,band_380,380
kruskal_cluster_soft_corr_0p90_top_30,band_720,720
kruskal_cluster_soft_corr_0p90_top_30,band_384,384
kruskal_cluster_soft_corr_0p90_top_30,band_724,724
kruskal_cluster_soft_corr_0p90_top_30,band_376,376
kruskal_cluster_soft_corr_0p90_top_30,band_725,725
kruskal_cluster_soft_corr_0p90_top_30,band_383,383
kruskal_cluster_soft_corr_0p90_top_30,band_719,719
kruskal_cluster_soft_corr_0p90_top_30,band_391,391
kruskal_cluster_soft_corr_0p90_top_30,band_718,718
kruskal_cluster_soft_corr_0p90_top_30,band_379,379
kruskal_cluster_soft_corr_0p90_top_30,band_726,726
kruskal_cluster_soft_corr_0p90_top_30,band_378,378
kruskal_cluster_soft_corr_0p90_top_30,band_717,717
kruskal_cluster_soft_corr_0p90_top_30,band_382,382
kruskal_cluster_soft_corr_0p90_top_30,band_727,727
kruskal_cluster_soft_corr_0p90_top_30,band_389,389
kruskal_cluster_soft_corr_0p90_top_30,band_728,728
kruskal_cluster_soft_corr_0p90_top_30,band_387,387
kruskal_cluster_soft_corr_0p90_top_30,band_729,729
kruskal_cluster_soft_corr_0p90_top_30,band_386,386
kruskal_cluster_soft_corr_0p90_top_30,band_730,730
kruskal_cluster_soft_corr_0p90_top_30,band_385,385
