subset,band,wavelength_nm
original_bands,band_2444,2444
original_bands,band_350,350
original_bands,band_351,351
original_bands,band_352,352
original_bands,band_353,353
original_bands,band_354,354
original_bands,band_355,355
original_bands,band_356,356
original_bands,band_357,357
original_bands,band_358,358
original_bands,band_359,359
original_bands,band_360,360
original_bands,band_361,361
original_bands,band_362,362
original_bands,band_363,363
original_bands,band_364,364
original_bands,band_365,365
original_bands,band_366,366
original_bands,band_367,367
original_bands,band_368,368
original_bands,band_369,369
original_bands,band_370,370
original_bands,band_371,371
original_bands,band_372,372
original_bands,band_373,373
original_bands,band_374,374
original_bands,band_375,375
original_bands,band_376,376
original_bands,band_377,377
original_bands,band_378,378
original_bands,band_379,379
original_bands,band_380,380
original_bands,band_381,381
original_bands,band_382,382
original_bands,band_383,383
original_bands,band_384,384
original_bands,band_385,385
original_bands,band_386,386
original_bands,band_387,387
original_bands,band_388,388
original_bands,band_389,389
original_bands,band_390,390
original_bands,band_391,391
original_bands,band_392,392
original_bands,band_393,393
original_bands,band_394,394
original_bands,band_395,395
original_bands,band_396,396
original_bands,band_397,397
original_bands,band_398,398
original_bands,band_399,399
original_bands,band_400,400
original_bands,band_401,401
original_bands,band_402,402
original_bands,band_403,403
original_bands,band_404,404
original_bands,band_405,405
original_bands,band_406,406
original_bands,band_407,407
original_bands,band_408,408
original_bands,band_409,409
original_bands,band_410,410
original_bands,band_411,411
original_bands,band_412,412
original_bands,band_413,413
original_bands,band_414,414
original_bands,band_415,415
original_bands,band_416,416
original_bands,band_418,418
original_bands,band_420,420
original_bands,band_421,421
original_bands,band_422,422
original_bands,band_423,423
original_bands,band_424,424
original_bands,band_425,425
original_bands,band_426,426
original_bands,band_427,427
original_bands,band_428,428
original_bands,band_429,429
original_bands,band_430,430
original_bands,band_431,431
original_bands,band_432,432
original_bands,band_434,434
original_bands,band_436,436
original_bands,band_437,437
original_bands,band_438,438
original_bands,band_439,439
original_bands,band_440,440
original_bands,band_441,441
original_bands,band_443,443
original_bands,band_444,444
original_bands,band_445,445
original_bands,band_446,446
original_bands,band_447,447
original_bands,band_448,448
original_bands,band_451,451
original_bands,band_452,452
original_bands,band_453,453
original_bands,band_454,454
original_bands,band_455,455
original_bands,band_456,456
original_bands,band_457,457
original_bands,band_458,458
original_bands,band_459,459
original_bands,band_460,460
original_bands,band_461,461
original_bands,band_462,462
original_bands,band_465,465
original_bands,band_466,466
original_bands,band_467,467
original_bands,band_470,470
original_bands,band_471,471
original_bands,band_473,473
original_bands,band_476,476
original_bands,band_477,477
original_bands,band_478,478
original_bands,band_479,479
original_bands,band_480,480
original_bands,band_481,481
original_bands,band_482,482
original_bands,band_483,483
original_bands,band_485,485
original_bands,band_486,486
original_bands,band_487,487
original_bands,band_489,489
original_bands,band_490,490
original_bands,band_491,491
original_bands,band_492,492
original_bands,band_493,493
original_bands,band_494,494
original_bands,band_495,495
original_bands,band_496,496
original_bands,band_497,497
original_bands,band_498,498
original_bands,band_717,717
original_bands,band_718,718
original_bands,band_719,719
original_bands,band_720,720
original_bands,band_721,721
original_bands,band_722,722
original_bands,band_723,723
original_bands,band_724,724
original_bands,band_725,725
original_bands,band_726,726
original_bands,band_727,727
original_bands,band_728,728
original_bands,band_729,729
original_bands,band_730,730
