feature,tipo,feature_legenda,origem_bandas
band_2444,banda,2444 nm,confirmadas
band_350,banda,350 nm,confirmadas
band_351,banda,351 nm,confirmadas
band_352,banda,352 nm,confirmadas
band_353,banda,353 nm,confirmadas
band_354,banda,354 nm,confirmadas
band_355,banda,355 nm,confirmadas
band_356,banda,356 nm,confirmadas
band_357,banda,357 nm,confirmadas
band_358,banda,358 nm,confirmadas
band_359,banda,359 nm,confirmadas
band_360,banda,360 nm,confirmadas
band_361,banda,361 nm,confirmadas
band_362,banda,362 nm,confirmadas
band_363,banda,363 nm,confirmadas
band_364,banda,364 nm,confirmadas
band_365,banda,365 nm,confirmadas
band_366,banda,366 nm,confirmadas
band_367,banda,367 nm,confirmadas
band_368,banda,368 nm,confirmadas
band_369,banda,369 nm,confirmadas
band_370,banda,370 nm,confirmadas
band_371,banda,371 nm,confirmadas
band_372,banda,372 nm,confirmadas
band_373,banda,373 nm,confirmadas
band_374,banda,374 nm,confirmadas
band_375,banda,375 nm,confirmadas
band_376,banda,376 nm,confirmadas
band_377,banda,377 nm,confirmadas
band_378,banda,378 nm,confirmadas
band_379,banda,379 nm,confirmadas
band_380,banda,380 nm,confirmadas
band_381,banda,381 nm,confirmadas
band_382,banda,382 nm,confirmadas
band_383,banda,383 nm,confirmadas
band_384,banda,384 nm,confirmadas
band_385,banda,385 nm,confirmadas
band_386,banda,386 nm,confirmadas
band_387,banda,387 nm,confirmadas
band_388,banda,388 nm,confirmadas
band_389,banda,389 nm,confirmadas
band_390,banda,390 nm,confirmadas
band_391,banda,391 nm,confirmadas
band_392,banda,392 nm,confirmadas
band_393,banda,393 nm,confirmadas
band_394,banda,394 nm,confirmadas
band_395,banda,395 nm,confirmadas
band_396,banda,396 nm,confirmadas
band_397,banda,397 nm,confirmadas
band_398,banda,398 nm,confirmadas
band_399,banda,399 nm,confirmadas
band_400,banda,400 nm,confirmadas
band_401,banda,401 nm,confirmadas
band_402,banda,402 nm,confirmadas
band_403,banda,403 nm,confirmadas
band_404,banda,404 nm,confirmadas
band_405,banda,405 nm,confirmadas
band_406,banda,406 nm,confirmadas
band_407,banda,407 nm,confirmadas
band_408,banda,408 nm,confirmadas
band_409,banda,409 nm,confirmadas
band_410,banda,410 nm,confirmadas
band_411,banda,411 nm,confirmadas
band_412,banda,412 nm,confirmadas
band_413,banda,413 nm,confirmadas
band_414,banda,414 nm,confirmadas
band_415,banda,415 nm,confirmadas
band_416,banda,416 nm,confirmadas
band_418,banda,418 nm,confirmadas
band_420,banda,420 nm,confirmadas
band_421,banda,421 nm,confirmadas
band_422,banda,422 nm,confirmadas
band_423,banda,423 nm,confirmadas
band_424,banda,424 nm,confirmadas
band_425,banda,425 nm,confirmadas
band_426,banda,426 nm,confirmadas
band_427,banda,427 nm,confirmadas
band_428,banda,428 nm,confirmadas
band_429,banda,429 nm,confirmadas
band_430,banda,430 nm,confirmadas
band_431,banda,431 nm,confirmadas
band_432,banda,432 nm,confirmadas
band_434,banda,434 nm,confirmadas
band_436,banda,436 nm,confirmadas
band_437,banda,437 nm,confirmadas
band_438,banda,438 nm,confirmadas
band_439,banda,439 nm,confirmadas
band_440,banda,440 nm,confirmadas
band_441,banda,441 nm,confirmadas
band_443,banda,443 nm,confirmadas
band_444,banda,444 nm,confirmadas
band_445,banda,445 nm,confirmadas
band_446,banda,446 nm,confirmadas
band_447,banda,447 nm,confirmadas
band_448,banda,448 nm,confirmadas
band_451,banda,451 nm,confirmadas
band_452,banda,452 nm,confirmadas
band_453,banda,453 nm,confirmadas
band_454,banda,454 nm,confirmadas
band_455,banda,455 nm,confirmadas
band_456,banda,456 nm,confirmadas
band_457,banda,457 nm,confirmadas
band_458,banda,458 nm,confirmadas
band_459,banda,459 nm,confirmadas
band_460,banda,460 nm,confirmadas
band_461,banda,461 nm,confirmadas
band_462,banda,462 nm,confirmadas
band_465,banda,465 nm,confirmadas
band_466,banda,466 nm,confirmadas
band_467,banda,467 nm,confirmadas
band_470,banda,470 nm,confirmadas
band_471,banda,471 nm,confirmadas
band_473,banda,473 nm,confirmadas
band_476,banda,476 nm,confirmadas
band_477,banda,477 nm,confirmadas
band_478,banda,478 nm,confirmadas
band_479,banda,479 nm,confirmadas
band_480,banda,480 nm,confirmadas
band_481,banda,481 nm,confirmadas
band_482,banda,482 nm,confirmadas
band_483,banda,483 nm,confirmadas
band_485,banda,485 nm,confirmadas
band_486,banda,486 nm,confirmadas
band_487,banda,487 nm,confirmadas
band_489,banda,489 nm,confirmadas
band_490,banda,490 nm,confirmadas
band_491,banda,491 nm,confirmadas
band_492,banda,492 nm,confirmadas
band_493,banda,493 nm,confirmadas
band_494,banda,494 nm,confirmadas
band_495,banda,495 nm,confirmadas
band_496,banda,496 nm,confirmadas
band_497,banda,497 nm,confirmadas
band_498,banda,498 nm,confirmadas
band_717,banda,717 nm,confirmadas
band_718,banda,718 nm,confirmadas
band_719,banda,719 nm,confirmadas
band_720,banda,720 nm,confirmadas
band_721,banda,721 nm,confirmadas
band_722,banda,722 nm,confirmadas
band_723,banda,723 nm,confirmadas
band_724,banda,724 nm,confirmadas
band_725,banda,725 nm,confirmadas
band_726,banda,726 nm,confirmadas
band_727,banda,727 nm,confirmadas
band_728,banda,728 nm,confirmadas
band_729,banda,729 nm,confirmadas
band_730,banda,730 nm,confirmadas
NDVI,indice,NDVI,indices_fixos
EVI,indice,EVI,indices_fixos
WBI,indice,WBI,indices_fixos
PRI,indice,PRI,indices_fixos
SIPI,indice,SIPI,indices_fixos
REP,indice,REP,indices_fixos
