banda,comprimento_onda_nm,fora_intervalo_count
band_350,350,0
band_351,351,0
band_352,352,0
band_353,353,0
band_354,354,0
band_355,355,0
band_356,356,0
band_357,357,0
band_358,358,0
band_359,359,0
band_360,360,0
band_361,361,0
band_362,362,0
band_363,363,0
band_364,364,0
band_365,365,0
band_366,366,0
band_367,367,0
band_368,368,0
band_369,369,0
band_370,370,0
band_371,371,0
band_372,372,0
band_373,373,0
band_374,374,0
band_375,375,0
band_376,376,0
band_377,377,0
band_378,378,0
band_379,379,0
band_380,380,0
band_381,381,0
band_382,382,0
band_383,383,0
band_384,384,0
band_385,385,0
band_386,386,0
band_387,387,0
band_388,388,0
band_389,389,0
band_390,390,0
band_391,391,0
band_392,392,0
band_393,393,0
band_394,394,0
band_395,395,0
band_396,396,0
band_397,397,0
band_398,398,0
band_399,399,0
band_400,400,0
band_401,401,0
band_402,402,0
band_403,403,0
band_404,404,0
band_405,405,0
band_406,406,0
band_407,407,0
band_408,408,0
band_409,409,0
band_410,410,0
band_411,411,0
band_412,412,0
band_413,413,0
band_414,414,0
band_415,415,0
band_416,416,0
band_417,417,0
band_418,418,0
band_419,419,0
band_420,420,0
band_421,421,0
band_422,422,0
band_423,423,0
band_424,424,0
band_425,425,0
band_426,426,0
band_427,427,0
band_428,428,0
band_429,429,0
band_430,430,0
band_431,431,0
band_432,432,0
band_433,433,0
band_434,434,0
band_435,435,0
band_436,436,0
band_437,437,0
band_438,438,0
band_439,439,0
band_440,440,0
band_441,441,0
band_442,442,0
band_443,443,0
band_444,444,0
band_445,445,0
band_446,446,0
band_447,447,0
band_448,448,0
band_449,449,0
band_450,450,0
band_451,451,0
band_452,452,0
band_453,453,0
band_454,454,0
band_455,455,0
band_456,456,0
band_457,457,0
band_458,458,0
band_459,459,0
band_460,460,0
band_461,461,0
band_462,462,0
band_463,463,0
band_464,464,0
band_465,465,0
band_466,466,0
band_467,467,0
band_468,468,0
band_469,469,0
band_470,470,0
band_471,471,0
band_472,472,0
band_473,473,0
band_474,474,0
band_475,475,0
band_476,476,0
band_477,477,0
band_478,478,0
band_479,479,0
band_480,480,0
band_481,481,0
band_482,482,0
band_483,483,0
band_484,484,0
band_485,485,0
band_486,486,0
band_487,487,0
band_488,488,0
band_489,489,0
