dia,banda,comprimento_onda_nm,status,ranking
dia2,band_350,350,Rejeitado,129
dia2,band_351,351,Rejeitado,1171
dia2,band_352,352,Rejeitado,632
dia2,band_353,353,Rejeitado,168
dia2,band_354,354,Rejeitado,262
dia2,band_355,355,Rejeitado,218
dia2,band_356,356,Rejeitado,95
dia2,band_357,357,Rejeitado,92
dia2,band_358,358,Rejeitado,9
dia2,band_359,359,Rejeitado,326
dia2,band_360,360,Rejeitado,166
dia2,band_361,361,Rejeitado,25
dia2,band_362,362,Rejeitado,171
dia2,band_363,363,Rejeitado,217
dia2,band_364,364,Rejeitado,23
dia2,band_365,365,Rejeitado,39
dia2,band_366,366,Rejeitado,20
dia2,band_367,367,Rejeitado,200
dia2,band_368,368,Rejeitado,71
dia2,band_369,369,Rejeitado,134
dia2,band_370,370,Rejeitado,145
dia2,band_371,371,Rejeitado,58
dia2,band_372,372,Rejeitado,62
dia2,band_373,373,Rejeitado,34
dia2,band_374,374,Rejeitado,45
dia2,band_375,375,Rejeitado,40
dia2,band_376,376,Rejeitado,50
dia2,band_377,377,Rejeitado,79
dia2,band_378,378,Rejeitado,108
dia2,band_379,379,Rejeitado,27
dia2,band_380,380,Rejeitado,15
dia2,band_381,381,Rejeitado,57
dia2,band_382,382,Rejeitado,4
dia2,band_383,383,Rejeitado,84
dia2,band_384,384,Rejeitado,164
dia2,band_385,385,Rejeitado,107
dia2,band_386,386,Rejeitado,7
dia2,band_387,387,Rejeitado,224
dia2,band_388,388,Rejeitado,114
dia2,band_389,389,Rejeitado,206
dia2,band_390,390,Rejeitado,69
dia2,band_391,391,Rejeitado,29
dia2,band_392,392,Rejeitado,26
dia2,band_393,393,Rejeitado,143
dia2,band_394,394,Rejeitado,43
dia2,band_395,395,Rejeitado,88
dia2,band_396,396,Rejeitado,215
dia2,band_397,397,Rejeitado,187
dia2,band_398,398,Rejeitado,320
dia2,band_399,399,Rejeitado,158
dia2,band_400,400,Tentativa,2
dia2,band_401,401,Rejeitado,30
dia2,band_402,402,Rejeitado,10
dia2,band_403,403,Rejeitado,23
dia2,band_404,404,Rejeitado,19
dia2,band_405,405,Tentativa,2
dia2,band_406,406,Rejeitado,3
dia2,band_407,407,Rejeitado,52
dia2,band_408,408,Rejeitado,13
dia2,band_409,409,Rejeitado,6
dia2,band_410,410,Rejeitado,106
dia2,band_411,411,Rejeitado,22
dia2,band_412,412,Rejeitado,27
dia2,band_413,413,Rejeitado,140
dia2,band_414,414,Rejeitado,5
dia2,band_415,415,Rejeitado,60
dia2,band_416,416,Rejeitado,31
dia2,band_417,417,Rejeitado,186
dia2,band_418,418,Tentativa,2
dia2,band_419,419,Rejeitado,1171
dia2,band_420,420,Rejeitado,21
dia2,band_421,421,Rejeitado,12
dia2,band_422,422,Tentativa,2
dia2,band_423,423,Rejeitado,133
dia2,band_424,424,Rejeitado,10
dia2,band_425,425,Rejeitado,41
dia2,band_426,426,Rejeitado,8
dia2,band_427,427,Rejeitado,122
dia2,band_428,428,Rejeitado,75
dia2,band_429,429,Rejeitado,47
dia2,band_430,430,Rejeitado,17
dia2,band_431,431,Rejeitado,105
dia2,band_432,432,Rejeitado,77
dia2,band_433,433,Rejeitado,175
dia2,band_434,434,Rejeitado,42
dia2,band_435,435,Rejeitado,49
dia2,band_436,436,Tentativa,2
dia2,band_437,437,Rejeitado,58
dia2,band_438,438,Rejeitado,234
dia2,band_439,439,Rejeitado,67
dia2,band_440,440,Rejeitado,18
dia2,band_441,441,Rejeitado,102
dia2,band_442,442,Rejeitado,126
dia2,band_443,443,Rejeitado,53
dia2,band_444,444,Rejeitado,73
dia2,band_445,445,Rejeitado,35
dia2,band_446,446,Rejeitado,73
dia2,band_447,447,Rejeitado,16
dia2,band_448,448,Rejeitado,46
dia2,band_449,449,Rejeitado,83
dia2,band_450,450,Rejeitado,289
dia2,band_451,451,Rejeitado,97
dia2,band_452,452,Rejeitado,180
dia2,band_453,453,Rejeitado,65
dia2,band_454,454,Rejeitado,191
dia2,band_455,455,Rejeitado,56
dia2,band_456,456,Rejeitado,411
dia2,band_457,457,Rejeitado,44
dia2,band_458,458,Rejeitado,204
dia2,band_459,459,Rejeitado,337
dia2,band_460,460,Rejeitado,196
dia2,band_461,461,Rejeitado,126
dia2,band_462,462,Rejeitado,113
dia2,band_463,463,Rejeitado,1171
dia2,band_464,464,Rejeitado,130
dia2,band_465,465,Rejeitado,785
dia2,band_466,466,Rejeitado,51
dia2,band_467,467,Rejeitado,157
dia2,band_468,468,Rejeitado,156
dia2,band_469,469,Rejeitado,32
dia2,band_470,470,Rejeitado,350
dia2,band_471,471,Rejeitado,103
dia2,band_472,472,Rejeitado,163
dia2,band_473,473,Rejeitado,48
dia2,band_474,474,Rejeitado,536
dia2,band_475,475,Rejeitado,254
dia2,band_476,476,Rejeitado,205
dia2,band_477,477,Rejeitado,1171
dia2,band_478,478,Rejeitado,94
dia2,band_479,479,Rejeitado,296
dia2,band_480,480,Rejeitado,208
dia2,band_481,481,Rejeitado,785
dia2,band_482,482,Rejeitado,118
dia2,band_483,483,Rejeitado,935
dia2,band_484,484,Rejeitado,672
dia2,band_485,485,Rejeitado,418
dia2,band_486,486,Rejeitado,785
dia2,band_487,487,Rejeitado,1171
dia2,band_488,488,Rejeitado,250
dia2,band_489,489,Rejeitado,351
dia2,band_490,490,Rejeitado,632
dia2,band_491,491,Rejeitado,1171
dia2,band_492,492,Rejeitado,1171
dia2,band_493,493,Rejeitado,1171
dia2,band_494,494,Rejeitado,785
dia2,band_495,495,Rejeitado,1669
