banda,comprimento_onda_nm,dias_confirmados
band_356,356,4
band_362,362,4
band_352,352,3
band_353,353,3
band_354,354,3
band_355,355,3
band_357,357,3
band_358,358,3
band_359,359,3
band_361,361,3
band_363,363,3
band_366,366,3
band_367,367,3
band_369,369,3
band_370,370,3
band_371,371,3
band_372,372,3
band_373,373,3
band_374,374,3
band_375,375,3
band_376,376,3
band_379,379,3
band_380,380,3
band_381,381,3
band_384,384,3
band_386,386,3
band_387,387,3
band_388,388,3
band_389,389,3
band_390,390,3
band_391,391,3
band_393,393,3
band_394,394,3
band_396,396,3
band_397,397,3
band_398,398,3
band_399,399,3
band_422,422,3
band_350,350,2
band_351,351,2
band_360,360,2
band_364,364,2
band_365,365,2
band_368,368,2
band_377,377,2
band_378,378,2
band_382,382,2
band_383,383,2
band_385,385,2
band_392,392,2
band_395,395,2
band_400,400,2
band_402,402,2
band_403,403,2
band_404,404,2
band_406,406,2
band_407,407,2
band_409,409,2
band_410,410,2
band_412,412,2
band_413,413,2
band_414,414,2
band_415,415,2
band_424,424,2
band_427,427,2
band_429,429,2
band_431,431,2
band_437,437,2
band_438,438,2
band_439,439,2
band_401,401,1
band_405,405,1
band_408,408,1
band_411,411,1
band_416,416,1
band_418,418,1
band_420,420,1
band_421,421,1
band_423,423,1
band_425,425,1
band_426,426,1
band_428,428,1
band_430,430,1
band_432,432,1
band_434,434,1
band_436,436,1
band_440,440,1
band_441,441,1
band_443,443,1
band_444,444,1
band_445,445,1
band_446,446,1
band_447,447,1
band_448,448,1
band_451,451,1
band_452,452,1
band_453,453,1
band_454,454,1
band_455,455,1
band_456,456,1
band_457,457,1
band_458,458,1
band_459,459,1
band_460,460,1
band_461,461,1
band_462,462,1
band_465,465,1
band_466,466,1
band_467,467,1
band_470,470,1
band_471,471,1
band_473,473,1
band_476,476,1
band_477,477,1
band_478,478,1
band_479,479,1
band_480,480,1
band_481,481,1
band_482,482,1
band_483,483,1
band_485,485,1
band_486,486,1
band_487,487,1
band_489,489,1
band_490,490,1
band_491,491,1
band_492,492,1
band_493,493,1
band_494,494,1
band_495,495,1
band_496,496,1
band_497,497,1
band_498,498,1
band_717,717,1
band_718,718,1
band_719,719,1
band_720,720,1
band_721,721,1
band_722,722,1
band_723,723,1
band_724,724,1
band_725,725,1
band_726,726,1
band_727,727,1
band_728,728,1
band_729,729,1
band_730,730,1
band_2444,2444,1
