dia,banda,comprimento_onda_nm,status,ranking
dia2,band_400,400,Tentativa,2
dia2,band_405,405,Tentativa,2
dia2,band_418,418,Tentativa,2
dia2,band_422,422,Tentativa,2
dia2,band_436,436,Tentativa,2
dia3,band_401,401,Tentativa,2
dia3,band_402,402,Tentativa,2
dia3,band_403,403,Tentativa,2
dia3,band_404,404,Tentativa,2
dia3,band_405,405,Tentativa,2
dia3,band_406,406,Tentativa,2
dia3,band_407,407,Tentativa,2
dia3,band_408,408,Tentativa,2
dia3,band_409,409,Tentativa,2
dia3,band_410,410,Tentativa,2
dia3,band_411,411,Tentativa,2
dia3,band_412,412,Tentativa,2
dia3,band_413,413,Tentativa,2
dia3,band_414,414,Tentativa,2
dia3,band_415,415,Tentativa,2
dia3,band_416,416,Tentativa,2
dia3,band_417,417,Tentativa,2
dia3,band_418,418,Tentativa,2
dia3,band_419,419,Tentativa,2
dia3,band_420,420,Tentativa,2
dia3,band_421,421,Tentativa,2
dia3,band_423,423,Tentativa,2
dia3,band_424,424,Tentativa,2
dia3,band_425,425,Tentativa,2
dia3,band_426,426,Tentativa,2
dia3,band_427,427,Tentativa,2
dia3,band_428,428,Tentativa,2
dia3,band_429,429,Tentativa,2
dia3,band_430,430,Tentativa,2
dia3,band_431,431,Tentativa,2
dia3,band_432,432,Tentativa,2
dia3,band_433,433,Tentativa,2
dia3,band_434,434,Tentativa,2
dia3,band_435,435,Tentativa,2
dia3,band_436,436,Tentativa,2
dia3,band_437,437,Tentativa,2
dia3,band_438,438,Tentativa,2
dia3,band_439,439,Tentativa,2
dia3,band_440,440,Tentativa,2
dia3,band_441,441,Tentativa,2
dia3,band_442,442,Tentativa,2
dia3,band_443,443,Tentativa,2
dia3,band_444,444,Tentativa,2
dia3,band_445,445,Tentativa,2
dia3,band_446,446,Tentativa,2
dia3,band_447,447,Tentativa,2
dia3,band_448,448,Tentativa,2
dia3,band_449,449,Tentativa,2
dia3,band_450,450,Tentativa,2
dia3,band_451,451,Tentativa,2
dia3,band_452,452,Tentativa,2
dia3,band_731,731,Tentativa,2
dia3,band_732,732,Tentativa,2
dia3,band_733,733,Tentativa,2
dia3,band_1535,1535,Tentativa,2
dia3,band_1542,1542,Tentativa,2
dia3,band_2045,2045,Tentativa,2
dia4,band_416,416,Tentativa,2
dia4,band_417,417,Tentativa,2
dia4,band_418,418,Tentativa,2
dia4,band_419,419,Tentativa,2
dia4,band_420,420,Tentativa,2
dia4,band_432,432,Tentativa,2
dia4,band_433,433,Tentativa,2
dia4,band_434,434,Tentativa,2
dia4,band_435,435,Tentativa,2
dia4,band_436,436,Tentativa,2
dia4,band_479,479,Tentativa,2
dia4,band_498,498,Tentativa,2
dia4,band_500,500,Tentativa,2
dia4,band_714,714,Tentativa,2
dia4,band_716,716,Tentativa,2
dia4,band_731,731,Tentativa,2
dia4,band_732,732,Tentativa,2
dia5,band_356,356,Tentativa,2
dia5,band_359,359,Tentativa,2
dia5,band_362,362,Tentativa,2
dia5,band_363,363,Tentativa,2
dia5,band_364,364,Tentativa,2
dia5,band_365,365,Tentativa,2
dia5,band_366,366,Tentativa,2
dia5,band_367,367,Tentativa,2
dia5,band_368,368,Tentativa,2
dia5,band_369,369,Tentativa,2
dia5,band_370,370,Tentativa,2
dia5,band_371,371,Tentativa,2
dia5,band_372,372,Tentativa,2
dia5,band_373,373,Tentativa,2
dia5,band_374,374,Tentativa,2
dia5,band_375,375,Tentativa,2
dia5,band_376,376,Tentativa,2
dia5,band_377,377,Tentativa,2
dia5,band_378,378,Tentativa,2
dia5,band_379,379,Tentativa,2
dia5,band_380,380,Tentativa,2
dia5,band_381,381,Tentativa,2
dia5,band_382,382,Tentativa,2
dia5,band_383,383,Tentativa,2
dia5,band_384,384,Tentativa,2
dia5,band_385,385,Tentativa,2
dia5,band_386,386,Tentativa,2
dia5,band_388,388,Tentativa,2
dia5,band_389,389,Tentativa,2
dia5,band_390,390,Tentativa,2
dia5,band_391,391,Tentativa,2
dia5,band_392,392,Tentativa,2
dia5,band_393,393,Tentativa,2
dia5,band_394,394,Tentativa,2
dia5,band_395,395,Tentativa,2
dia5,band_396,396,Tentativa,2
dia5,band_398,398,Tentativa,2
dia5,band_400,400,Tentativa,2
dia5,band_402,402,Tentativa,2
dia5,band_403,403,Tentativa,2
dia5,band_404,404,Tentativa,2
dia5,band_405,405,Tentativa,2
dia5,band_406,406,Tentativa,2
dia5,band_407,407,Tentativa,2
dia5,band_408,408,Tentativa,2
dia5,band_409,409,Tentativa,2
dia5,band_410,410,Tentativa,2
dia5,band_411,411,Tentativa,2
dia5,band_412,412,Tentativa,2
dia5,band_413,413,Tentativa,2
dia5,band_414,414,Tentativa,2
dia5,band_415,415,Tentativa,2
dia5,band_416,416,Tentativa,2
dia5,band_417,417,Tentativa,2
dia5,band_418,418,Tentativa,2
dia5,band_419,419,Tentativa,2
dia5,band_420,420,Tentativa,2
dia5,band_421,421,Tentativa,2
dia5,band_422,422,Tentativa,2
dia5,band_423,423,Tentativa,2
dia5,band_425,425,Tentativa,2
dia5,band_426,426,Tentativa,2
dia5,band_428,428,Tentativa,2
dia5,band_429,429,Tentativa,2
dia5,band_430,430,Tentativa,2
dia5,band_431,431,Tentativa,2
dia5,band_432,432,Tentativa,2
dia5,band_433,433,Tentativa,2
dia5,band_434,434,Tentativa,2
dia5,band_435,435,Tentativa,2
dia5,band_436,436,Tentativa,2
