number,objective,datetime_start,datetime_complete,duration,params_lda_shrinkage,params_lda_shrinkage_mode,params_lda_solver,user_attrs_accuracy,user_attrs_f1_macro,user_attrs_kappa,state,accuracy,f1_macro,kappa
40,0.6062734576534576,2026-05-19 10:51:46.224568,2026-05-19 10:51:46.274146,0 days 00:00:00.049578,3.647884604092513e-05,float,eigen,0.6458333333333333,0.6055701243201242,0.575,COMPLETE,0.6458333333333333,0.6055701243201242,0.575
41,0.6062734576534576,2026-05-19 10:51:46.274146,2026-05-19 10:51:46.321085,0 days 00:00:00.046939,3.4894832836949275e-05,float,eigen,0.6458333333333333,0.6055701243201242,0.575,COMPLETE,0.6458333333333333,0.6055701243201242,0.575
57,0.6062734576534576,2026-05-19 10:51:47.046854,2026-05-19 10:51:47.094241,0 days 00:00:00.047387,4.5342673754301306e-05,float,eigen,0.6458333333333333,0.6055701243201242,0.575,COMPLETE,0.6458333333333333,0.6055701243201242,0.575
68,0.6062734576534576,2026-05-19 10:51:47.580056,2026-05-19 10:51:47.629071,0 days 00:00:00.049015,3.9002176389496823e-05,float,eigen,0.6458333333333333,0.6055701243201242,0.575,COMPLETE,0.6458333333333333,0.6055701243201242,0.575
72,0.6062734576534576,2026-05-19 10:51:47.774174,2026-05-19 10:51:47.854008,0 days 00:00:00.079834,4.753527005335559e-05,float,eigen,0.6458333333333333,0.6055701243201242,0.575,COMPLETE,0.6458333333333333,0.6055701243201242,0.575
121,0.6062734576534576,2026-05-19 10:51:50.201319,2026-05-19 10:51:50.248590,0 days 00:00:00.047271,4.976866302671298e-05,float,eigen,0.6458333333333333,0.6055701243201242,0.575,COMPLETE,0.6458333333333333,0.6055701243201242,0.575
102,0.6062734576534576,2026-05-19 10:51:49.252227,2026-05-19 10:51:49.299275,0 days 00:00:00.047048,4.545701763393922e-05,float,eigen,0.6458333333333333,0.6055701243201242,0.575,COMPLETE,0.6458333333333333,0.6055701243201242,0.575
118,0.6062734576534576,2026-05-19 10:51:50.052161,2026-05-19 10:51:50.104079,0 days 00:00:00.051918,4.1338126606896384e-05,float,eigen,0.6458333333333333,0.6055701243201242,0.575,COMPLETE,0.6458333333333333,0.6055701243201242,0.575
111,0.6062734576534576,2026-05-19 10:51:49.713972,2026-05-19 10:51:49.761306,0 days 00:00:00.047334,3.519572727717945e-05,float,eigen,0.6458333333333333,0.6055701243201242,0.575,COMPLETE,0.6458333333333333,0.6055701243201242,0.575
113,0.6062734576534576,2026-05-19 10:51:49.806969,2026-05-19 10:51:49.854975,0 days 00:00:00.048006,3.756353082089733e-05,float,eigen,0.6458333333333333,0.6055701243201242,0.575,COMPLETE,0.6458333333333333,0.6055701243201242,0.575
91,0.6062734576534576,2026-05-19 10:51:48.712789,2026-05-19 10:51:48.759335,0 days 00:00:00.046546,4.374272937185687e-05,float,eigen,0.6458333333333333,0.6055701243201242,0.575,COMPLETE,0.6458333333333333,0.6055701243201242,0.575
