target,top_n_requested,analysis_source,rank_recurrence,wavelength_nm,frequency,mean_rank,best_rank,min_q,band_column,resolved_wavelength_nm,resolved_exact_match,selected_after_pruning
condicao,5,cond,1,400,5,1.0,1,7.549372294188427e-32,band_400,400,True,True
condicao,5,cond,2,579,2,2.5,2,9.142598950987489e-14,band_579,579,True,True
condicao,5,cond,3,1580,2,3.0,2,1.0503301357760771e-10,band_1580,1580,True,True
condicao,5,cond,5,739,2,4.0,3,2.845585746409285e-12,band_739,739,True,True
condicao,5,cond,10,1900,1,1.0,1,9.788810630771363e-11,band_1951,1951,False,True
condicao,8,cond,1,400,5,1.0,1,7.549372294188427e-32,band_400,400,True,True
condicao,8,cond,2,579,2,2.5,2,9.142598950987489e-14,band_579,579,True,True
condicao,8,cond,3,1580,2,3.0,2,1.0503301357760771e-10,band_1580,1580,True,True
condicao,8,cond,5,739,2,4.0,3,2.845585746409285e-12,band_739,739,True,True
condicao,8,cond,10,1900,1,1.0,1,9.788810630771363e-11,band_1951,1951,False,True
condicao,8,cond,20,629,1,3.0,3,9.42909277489777e-16,band_629,629,True,True
condicao,10,cond,1,400,5,1.0,1,7.549372294188427e-32,band_400,400,True,True
condicao,10,cond,2,579,2,2.5,2,9.142598950987489e-14,band_579,579,True,True
condicao,10,cond,3,1580,2,3.0,2,1.0503301357760771e-10,band_1580,1580,True,True
condicao,10,cond,5,739,2,4.0,3,2.845585746409285e-12,band_739,739,True,True
condicao,10,cond,10,1900,1,1.0,1,9.788810630771363e-11,band_1951,1951,False,True
condicao,15,cond,1,400,5,1.0,1,7.549372294188427e-32,band_400,400,True,True
condicao,15,cond,2,579,2,2.5,2,9.142598950987489e-14,band_579,579,True,True
condicao,15,cond,3,1580,2,3.0,2,1.0503301357760771e-10,band_1580,1580,True,True
condicao,15,cond,5,739,2,4.0,3,2.845585746409285e-12,band_739,739,True,True
condicao,15,cond,10,1900,1,1.0,1,9.788810630771363e-11,band_1951,1951,False,True
condicao,20,cond,1,400,5,1.0,1,7.549372294188427e-32,band_400,400,True,True
condicao,20,cond,2,579,2,2.5,2,9.142598950987489e-14,band_579,579,True,True
condicao,20,cond,3,1580,2,3.0,2,1.0503301357760771e-10,band_1580,1580,True,True
condicao,20,cond,5,739,2,4.0,3,2.845585746409285e-12,band_739,739,True,True
condicao,20,cond,10,1900,1,1.0,1,9.788810630771363e-11,band_1951,1951,False,True
condicao,20,cond,20,629,1,3.0,3,9.42909277489777e-16,band_629,629,True,True
condicao_genotipo,5,gen_cond,1,400,4,1.25,1,1.728522632715259e-26,band_400,400,True,True
condicao_genotipo,5,gen_cond,2,530,3,3.6666666666666665,2,2.359267131901225e-28,band_530,530,True,True
condicao_genotipo,5,gen_cond,5,720,2,3.0,3,4.790983261779158e-24,band_720,720,True,True
condicao_genotipo,5,gen_cond,6,730,2,4.0,3,1.6393943319078102e-22,band_730,730,True,True
condicao_genotipo,5,gen_cond,7,1386,2,5.0,5,1.3690336235534336e-18,band_1349,1349,False,True
condicao_genotipo,8,gen_cond,1,400,4,1.25,1,1.728522632715259e-26,band_400,400,True,True
condicao_genotipo,8,gen_cond,2,530,3,3.6666666666666665,2,2.359267131901225e-28,band_530,530,True,True
condicao_genotipo,8,gen_cond,5,720,2,3.0,3,4.790983261779158e-24,band_720,720,True,True
condicao_genotipo,8,gen_cond,6,730,2,4.0,3,1.6393943319078102e-22,band_730,730,True,True
condicao_genotipo,8,gen_cond,7,1386,2,5.0,5,1.3690336235534336e-18,band_1349,1349,False,True
condicao_genotipo,8,gen_cond,10,1522,1,1.0,1,8.288712543623197e-23,band_1522,1522,True,True
condicao_genotipo,8,gen_cond,12,707,1,1.0,1,1.3776203915262348e-21,band_707,707,True,True
condicao_genotipo,8,gen_cond,21,630,1,3.0,3,1.1773645956671937e-19,band_630,630,True,True
condicao_genotipo,10,gen_cond,1,400,4,1.25,1,1.728522632715259e-26,band_400,400,True,True
condicao_genotipo,10,gen_cond,2,530,3,3.6666666666666665,2,2.359267131901225e-28,band_530,530,True,True
condicao_genotipo,10,gen_cond,5,720,2,3.0,3,4.790983261779158e-24,band_720,720,True,True
condicao_genotipo,10,gen_cond,6,730,2,4.0,3,1.6393943319078102e-22,band_730,730,True,True
condicao_genotipo,10,gen_cond,7,1386,2,5.0,5,1.3690336235534336e-18,band_1349,1349,False,True
condicao_genotipo,10,gen_cond,10,1522,1,1.0,1,8.288712543623197e-23,band_1522,1522,True,True
condicao_genotipo,15,gen_cond,1,400,4,1.25,1,1.728522632715259e-26,band_400,400,True,True
condicao_genotipo,15,gen_cond,2,530,3,3.6666666666666665,2,2.359267131901225e-28,band_530,530,True,True
condicao_genotipo,15,gen_cond,5,720,2,3.0,3,4.790983261779158e-24,band_720,720,True,True
condicao_genotipo,15,gen_cond,6,730,2,4.0,3,1.6393943319078102e-22,band_730,730,True,True
condicao_genotipo,15,gen_cond,7,1386,2,5.0,5,1.3690336235534336e-18,band_1349,1349,False,True
condicao_genotipo,15,gen_cond,10,1522,1,1.0,1,8.288712543623197e-23,band_1522,1522,True,True
condicao_genotipo,15,gen_cond,12,707,1,1.0,1,1.3776203915262348e-21,band_707,707,True,True
condicao_genotipo,20,gen_cond,1,400,4,1.25,1,1.728522632715259e-26,band_400,400,True,True
condicao_genotipo,20,gen_cond,2,530,3,3.6666666666666665,2,2.359267131901225e-28,band_530,530,True,True
condicao_genotipo,20,gen_cond,5,720,2,3.0,3,4.790983261779158e-24,band_720,720,True,True
condicao_genotipo,20,gen_cond,6,730,2,4.0,3,1.6393943319078102e-22,band_730,730,True,True
condicao_genotipo,20,gen_cond,7,1386,2,5.0,5,1.3690336235534336e-18,band_1349,1349,False,True
condicao_genotipo,20,gen_cond,10,1522,1,1.0,1,8.288712543623197e-23,band_1522,1522,True,True
condicao_genotipo,20,gen_cond,12,707,1,1.0,1,1.3776203915262348e-21,band_707,707,True,True
