target,top_n_requested,n_features_after_pruning,variant,model,fold,inner_f1_macro,best_params,train_samples_real,train_samples_after_augmentation,test_samples
condicao,5,5,baseline,Random Forest,1,0.9177769318614389,"{""model__max_depth"": 6, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2, ""model__n_estimators"": 300}",108,108,36
condicao,5,5,baseline,Random Forest,2,0.9301937831988983,"{""model__max_depth"": 6, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2, ""model__n_estimators"": 300}",108,108,36
condicao,5,5,baseline,Random Forest,3,0.8984433583331318,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",108,108,36
condicao,5,5,baseline,Random Forest,4,0.8834520637337538,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",108,108,36
condicao,5,5,baseline,SVM (RBF),1,0.908932552954292,"{""model__C"": 3.0, ""model__gamma"": ""scale""}",108,108,36
condicao,5,5,baseline,SVM (RBF),2,0.9897221164826799,"{""model__C"": 3.0, ""model__gamma"": ""scale""}",108,108,36
condicao,5,5,baseline,SVM (RBF),3,0.9282329988851727,"{""model__C"": 1.0, ""model__gamma"": ""scale""}",108,108,36
condicao,5,5,baseline,SVM (RBF),4,0.9221013651409984,"{""model__C"": 1.0, ""model__gamma"": ""scale""}",108,108,36
condicao,5,5,baseline,LDA,1,0.8183886272571488,"{""model__shrinkage"": 0.05}",108,108,36
condicao,5,5,baseline,LDA,2,0.8614481409001956,"{""model__shrinkage"": ""auto""}",108,108,36
condicao,5,5,baseline,LDA,3,0.8183886272571488,"{""model__shrinkage"": 0.05}",108,108,36
condicao,5,5,baseline,LDA,4,0.856185071971923,"{""model__shrinkage"": 0.05}",108,108,36
condicao,5,5,baseline,XGBoost,1,0.9274996827813728,"{""model__colsample_bytree"": 0.9, ""model__learning_rate"": 0.05, ""model__max_depth"": 2, ""model__n_estimators"": 180, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.9}",108,108,36
condicao,5,5,baseline,XGBoost,2,0.9017109574080815,"{""model__colsample_bytree"": 0.9, ""model__learning_rate"": 0.05, ""model__max_depth"": 2, ""model__n_estimators"": 180, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.9}",108,108,36
condicao,5,5,baseline,XGBoost,3,0.8783764687010247,"{""model__colsample_bytree"": 0.9, ""model__learning_rate"": 0.05, ""model__max_depth"": 2, ""model__n_estimators"": 180, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.9}",108,108,36
condicao,5,5,baseline,XGBoost,4,0.8924618039934942,"{""model__colsample_bytree"": 0.9, ""model__learning_rate"": 0.05, ""model__max_depth"": 2, ""model__n_estimators"": 180, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.9}",108,108,36
condicao,5,5,jitter,Random Forest,1,0.9383326988960792,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",108,432,36
condicao,5,5,jitter,Random Forest,2,0.9495989136721402,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",108,432,36
condicao,5,5,jitter,Random Forest,3,0.9274996827813728,"{""model__max_depth"": 6, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2, ""model__n_estimators"": 300}",108,432,36
condicao,5,5,jitter,Random Forest,4,0.8924618039934942,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",108,432,36
condicao,5,5,jitter,SVM (RBF),1,0.9196078431372549,"{""model__C"": 3.0, ""model__gamma"": ""scale""}",108,432,36
condicao,5,5,jitter,SVM (RBF),2,0.9897221164826799,"{""model__C"": 1.0, ""model__gamma"": ""scale""}",108,432,36
condicao,5,5,jitter,SVM (RBF),3,0.9163287760625209,"{""model__C"": 1.0, ""model__gamma"": ""scale""}",108,432,36
condicao,5,5,jitter,SVM (RBF),4,0.9305547268243415,"{""model__C"": 1.0, ""model__gamma"": ""scale""}",108,432,36
condicao,5,5,jitter,LDA,1,0.8183886272571488,"{""model__shrinkage"": ""auto""}",108,432,36
condicao,5,5,jitter,LDA,2,0.833907394489013,"{""model__shrinkage"": ""auto""}",108,432,36
condicao,5,5,jitter,LDA,3,0.8274075153458043,"{""model__shrinkage"": 0.05}",108,432,36
condicao,5,5,jitter,LDA,4,0.856185071971923,"{""model__shrinkage"": 0.05}",108,432,36
condicao,5,5,jitter,XGBoost,1,0.9380325814536341,"{""model__colsample_bytree"": 0.9, ""model__learning_rate"": 0.05, ""model__max_depth"": 2, ""model__n_estimators"": 180, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.9}",108,432,36
condicao,5,5,jitter,XGBoost,2,0.9596217820345194,"{""model__colsample_bytree"": 0.9, ""model__learning_rate"": 0.05, ""model__max_depth"": 2, ""model__n_estimators"": 180, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.9}",108,432,36
condicao,5,5,jitter,XGBoost,3,0.9379358571309035,"{""model__colsample_bytree"": 0.9, ""model__learning_rate"": 0.05, ""model__max_depth"": 2, ""model__n_estimators"": 180, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.9}",108,432,36
condicao,5,5,jitter,XGBoost,4,0.9107247910064811,"{""model__colsample_bytree"": 0.9, ""model__learning_rate"": 0.05, ""model__max_depth"": 2, ""model__n_estimators"": 180, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.9}",108,432,36
