target,model,classes,n_classes,n_samples,n_groups,cv_splits,inner_splits,n_bandas,bandas,n_param_candidates,accuracy_media,accuracy_std,balanced_accuracy_media,balanced_accuracy_std,f1_macro_media,f1_macro_std,kappa_media,kappa_std,roc_auc_media,roc_auc_std,top_n_requested,n_features_after_pruning,variant,augmentation_method,correlation_threshold,analysis_source
condicao_genotipo_turno,Random Forest,IRR|BR16|manha + tarde; IRR|BR16|unico; IRR|CD202|manha + tarde; IRR|CD202|unico; IRR|EMB48|manha + tarde; IRR|EMB48|unico; NIRR|BR16|manha + tarde; NIRR|BR16|unico; NIRR|CD202|manha + tarde; NIRR|CD202|unico; NIRR|EMB48|manha + tarde; NIRR|EMB48|unico,12,144,48,4,3,5,band_400|band_530|band_720|band_730|band_1349,4,0.4236111111111111,0.026595197437676042,0.4236111111111111,0.026595197437676067,0.39709445646945646,0.03304555985424741,0.3712121212121212,0.029012942659282948,,,5,5,jitter,jitter,0.95,gen_cond
condicao_genotipo_turno,SVM (RBF),IRR|BR16|manha + tarde; IRR|BR16|unico; IRR|CD202|manha + tarde; IRR|CD202|unico; IRR|EMB48|manha + tarde; IRR|EMB48|unico; NIRR|BR16|manha + tarde; NIRR|BR16|unico; NIRR|CD202|manha + tarde; NIRR|CD202|unico; NIRR|EMB48|manha + tarde; NIRR|EMB48|unico,12,144,48,4,3,5,band_400|band_530|band_720|band_730|band_1349,4,0.3680555555555555,0.06159321618356515,0.36805555555555547,0.06159321618356513,0.31883567821067826,0.07538708654983899,0.31060606060606066,0.06719259947298015,,,5,5,jitter,jitter,0.95,gen_cond
condicao_genotipo_turno,LDA,IRR|BR16|manha + tarde; IRR|BR16|unico; IRR|CD202|manha + tarde; IRR|CD202|unico; IRR|EMB48|manha + tarde; IRR|EMB48|unico; NIRR|BR16|manha + tarde; NIRR|BR16|unico; NIRR|CD202|manha + tarde; NIRR|CD202|unico; NIRR|EMB48|manha + tarde; NIRR|EMB48|unico,12,144,48,4,3,5,band_400|band_530|band_720|band_730|band_1349,4,0.38888888888888884,0.060006858318591295,0.3888888888888889,0.060006858318591316,0.3538525132275132,0.08462694423437603,0.3333333333333333,0.06546202725664504,,,5,5,jitter,jitter,0.95,gen_cond
condicao_genotipo_turno,XGBoost,IRR|BR16|manha + tarde; IRR|BR16|unico; IRR|CD202|manha + tarde; IRR|CD202|unico; IRR|EMB48|manha + tarde; IRR|EMB48|unico; NIRR|BR16|manha + tarde; NIRR|BR16|unico; NIRR|CD202|manha + tarde; NIRR|CD202|unico; NIRR|EMB48|manha + tarde; NIRR|EMB48|unico,12,144,48,4,3,5,band_400|band_530|band_720|band_730|band_1349,4,0.3888888888888889,0.022680460581325734,0.3888888888888889,0.02268046058132571,0.36593915343915345,0.01685301467003891,0.33333333333333337,0.024742320634173542,,,5,5,jitter,jitter,0.95,gen_cond
condicao_genotipo_turno,Random Forest,IRR|BR16|manha + tarde; IRR|BR16|unico; IRR|CD202|manha + tarde; IRR|CD202|unico; IRR|EMB48|manha + tarde; IRR|EMB48|unico; NIRR|BR16|manha + tarde; NIRR|BR16|unico; NIRR|CD202|manha + tarde; NIRR|CD202|unico; NIRR|EMB48|manha + tarde; NIRR|EMB48|unico,12,144,48,4,3,5,band_400|band_530|band_720|band_730|band_1349,4,0.375,0.03586095690932795,0.375,0.035860956909327946,0.3470929533429533,0.04396671034649633,0.3181818181818182,0.03912104390108504,,,5,5,mixup,mixup,0.95,gen_cond
condicao_genotipo_turno,SVM (RBF),IRR|BR16|manha + tarde; IRR|BR16|unico; IRR|CD202|manha + tarde; IRR|CD202|unico; IRR|EMB48|manha + tarde; IRR|EMB48|unico; NIRR|BR16|manha + tarde; NIRR|BR16|unico; NIRR|CD202|manha + tarde; NIRR|CD202|unico; NIRR|EMB48|manha + tarde; NIRR|EMB48|unico,12,144,48,4,3,5,band_400|band_530|band_720|band_730|band_1349,4,0.3680555555555555,0.10485881160098262,0.3680555555555555,0.10485881160098261,0.33246151996151996,0.11365277394184925,0.31060606060606055,0.11439143083743561,,,5,5,mixup,mixup,0.95,gen_cond
condicao_genotipo_turno,LDA,IRR|BR16|manha + tarde; IRR|BR16|unico; IRR|CD202|manha + tarde; IRR|CD202|unico; IRR|EMB48|manha + tarde; IRR|EMB48|unico; NIRR|BR16|manha + tarde; NIRR|BR16|unico; NIRR|CD202|manha + tarde; NIRR|CD202|unico; NIRR|EMB48|manha + tarde; NIRR|EMB48|unico,12,144,48,4,3,5,band_400|band_530|band_720|band_730|band_1349,4,0.3888888888888889,0.07522257782070334,0.3888888888888889,0.07522257782070331,0.35448082010582005,0.06458825480119104,0.3333333333333333,0.08206099398622185,,,5,5,mixup,mixup,0.95,gen_cond
condicao_genotipo_turno,XGBoost,IRR|BR16|manha + tarde; IRR|BR16|unico; IRR|CD202|manha + tarde; IRR|CD202|unico; IRR|EMB48|manha + tarde; IRR|EMB48|unico; NIRR|BR16|manha + tarde; NIRR|BR16|unico; NIRR|CD202|manha + tarde; NIRR|CD202|unico; NIRR|EMB48|manha + tarde; NIRR|EMB48|unico,12,144,48,4,3,5,band_400|band_530|band_720|band_730|band_1349,4,0.375,0.03586095690932795,0.37499999999999994,0.035860956909327904,0.3442956349206349,0.07427966899631512,0.3181818181818182,0.03912104390108504,,,5,5,mixup,mixup,0.95,gen_cond
condicao_genotipo_turno,Random Forest,IRR|BR16|manha + tarde; IRR|BR16|unico; IRR|CD202|manha + tarde; IRR|CD202|unico; IRR|EMB48|manha + tarde; IRR|EMB48|unico; NIRR|BR16|manha + tarde; NIRR|BR16|unico; NIRR|CD202|manha + tarde; NIRR|CD202|unico; NIRR|EMB48|manha + tarde; NIRR|EMB48|unico,12,144,48,4,3,8,band_400|band_530|band_720|band_730|band_1349|band_1522|band_707|band_630,4,0.36111111111111116,0.08177556357710969,0.3611111111111111,0.08177556357710966,0.32931848244348244,0.08938171692740197,0.303030303030303,0.08920970572048334,,,8,8,jitter,jitter,0.95,gen_cond
condicao_genotipo_turno,SVM (RBF),IRR|BR16|manha + tarde; IRR|BR16|unico; IRR|CD202|manha + tarde; IRR|CD202|unico; IRR|EMB48|manha + tarde; IRR|EMB48|unico; NIRR|BR16|manha + tarde; NIRR|BR16|unico; NIRR|CD202|manha + tarde; NIRR|CD202|unico; NIRR|EMB48|manha + tarde; NIRR|EMB48|unico,12,144,48,4,3,8,band_400|band_530|band_720|band_730|band_1349|band_1522|band_707|band_630,4,0.38888888888888884,0.060006858318591295,0.3888888888888889,0.06000685831859132,0.33214285714285713,0.04673890840825095,0.3333333333333333,0.06546202725664504,,,8,8,jitter,jitter,0.95,gen_cond
condicao_genotipo_turno,LDA,IRR|BR16|manha + tarde; IRR|BR16|unico; IRR|CD202|manha + tarde; IRR|CD202|unico; IRR|EMB48|manha + tarde; IRR|EMB48|unico; NIRR|BR16|manha + tarde; NIRR|BR16|unico; NIRR|CD202|manha + tarde; NIRR|CD202|unico; NIRR|EMB48|manha + tarde; NIRR|EMB48|unico,12,144,48,4,3,8,band_400|band_530|band_720|band_730|band_1349|band_1522|band_707|band_630,4,0.3819444444444445,0.06159321618356513,0.3819444444444445,0.06159321618356515,0.351521164021164,0.06545721492980404,0.32575757575757575,0.06719259947298016,,,8,8,jitter,jitter,0.95,gen_cond
