target,top_n_requested,n_features_after_pruning,variant,model,fold,inner_f1_macro,best_params,train_samples_real,train_samples_after_augmentation,test_samples
condicao_genotipo_turno,5,5,jitter,Random Forest,1,0.2769620811287478,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",108,432,36
condicao_genotipo_turno,5,5,jitter,Random Forest,2,0.3530483405483405,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",108,432,36
condicao_genotipo_turno,5,5,jitter,Random Forest,3,0.37456509539842875,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",108,432,36
condicao_genotipo_turno,5,5,jitter,Random Forest,4,0.3772486772486772,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",108,432,36
condicao_genotipo_turno,5,5,jitter,SVM (RBF),1,0.32189153439153434,"{""model__C"": 3.0, ""model__gamma"": ""scale""}",108,432,36
condicao_genotipo_turno,5,5,jitter,SVM (RBF),2,0.3266975308641975,"{""model__C"": 1.0, ""model__gamma"": ""scale""}",108,432,36
condicao_genotipo_turno,5,5,jitter,SVM (RBF),3,0.3323412698412698,"{""model__C"": 3.0, ""model__gamma"": 0.03}",108,432,36
condicao_genotipo_turno,5,5,jitter,SVM (RBF),4,0.32601410934744274,"{""model__C"": 3.0, ""model__gamma"": ""scale""}",108,432,36
condicao_genotipo_turno,5,5,jitter,LDA,1,0.24996777913444582,"{""model__shrinkage"": 0.05}",108,432,36
condicao_genotipo_turno,5,5,jitter,LDA,2,0.36327561327561325,"{""model__shrinkage"": 0.05}",108,432,36
condicao_genotipo_turno,5,5,jitter,LDA,3,0.40419472502805837,"{""model__shrinkage"": 0.1}",108,432,36
condicao_genotipo_turno,5,5,jitter,LDA,4,0.3474647266313933,"{""model__shrinkage"": 0.05}",108,432,36
condicao_genotipo_turno,5,5,jitter,XGBoost,1,0.24573312489979152,"{""model__colsample_bytree"": 0.9, ""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__n_estimators"": 300, ""model__reg_lambda"": 3.0, ""model__subsample"": 0.8}",108,432,36
condicao_genotipo_turno,5,5,jitter,XGBoost,2,0.3092813051146384,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.04, ""model__max_depth"": 4, ""model__n_estimators"": 220, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.8}",108,432,36
condicao_genotipo_turno,5,5,jitter,XGBoost,3,0.3382335257335258,"{""model__colsample_bytree"": 0.9, ""model__learning_rate"": 0.05, ""model__max_depth"": 2, ""model__n_estimators"": 180, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.9}",108,432,36
condicao_genotipo_turno,5,5,jitter,XGBoost,4,0.32336860670194006,"{""model__colsample_bytree"": 0.9, ""model__learning_rate"": 0.05, ""model__max_depth"": 2, ""model__n_estimators"": 180, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.9}",108,432,36
condicao_genotipo_turno,5,5,mixup,Random Forest,1,0.2967813051146384,"{""model__max_depth"": 6, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2, ""model__n_estimators"": 300}",108,432,36
condicao_genotipo_turno,5,5,mixup,Random Forest,2,0.3818562610229277,"{""model__max_depth"": 6, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2, ""model__n_estimators"": 300}",108,432,36
condicao_genotipo_turno,5,5,mixup,Random Forest,3,0.33341473341473343,"{""model__max_depth"": 6, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2, ""model__n_estimators"": 300}",108,432,36
condicao_genotipo_turno,5,5,mixup,Random Forest,4,0.29966931216931214,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",108,432,36
