feature,feature_label,vip_score,dia
band_1451,1451nm,5.80259827257631,dia2
band_1951,1951nm,5.801928494848077,dia2
band_970,970nm,5.6110194032675444,dia2
band_1200,1200nm,5.365553292071161,dia2
band_670,670nm (Clorofila),3.364776337051944,dia2
NDRE,NDRE,2.9802551797725143,dia2
band_1951,1951nm,6.488781383525424,dia3
band_1451,1451nm,6.454799811360536,dia3
band_1200,1200nm,6.401140276777065,dia3
band_970,970nm,6.382891407776666,dia3
band_670,670nm (Clorofila),5.902798404888258,dia3
NDRE,NDRE,3.840395083722152,dia3
band_1200,1200nm,5.42149651613499,dia4
band_970,970nm,5.39448642549217,dia4
band_670,670nm (Clorofila),5.388912285678446,dia4
band_1451,1451nm,4.89107096329476,dia4
NDRE,NDRE,4.360542095732157,dia4
band_1951,1951nm,4.3364956401189545,dia4
band_1200,1200nm,6.835905013102083,dia5
band_670,670nm (Clorofila),6.828711628881108,dia5
band_970,970nm,6.753115971150425,dia5
band_1451,1451nm,6.682485272322988,dia5
band_1951,1951nm,5.461263902770503,dia5
NDRE,NDRE,2.9552989132094813,dia5
band_1200,1200nm,7.393933204562726,dia6
band_970,970nm,7.3907209068215645,dia6
band_1451,1451nm,7.3865369963379335,dia6
band_1951,1951nm,7.1070150837401815,dia6
band_670,670nm (Clorofila),6.829213179136786,dia6
NDRE,NDRE,3.7491303529915068,dia6
band_1200,1200nm,6.313846009342245,dia9
band_970,970nm,6.198025618315381,dia9
band_670,670nm (Clorofila),5.4090426815044825,dia9
band_1451,1451nm,4.894016645260214,dia9
band_1951,1951nm,3.733838776879114,dia9
NDRE,NDRE,3.7005352216335172,dia9
