subset,band,wavelength_nm
kruskal_q_lt_0_05,band_381,381
kruskal_q_lt_0_05,band_377,377
kruskal_q_lt_0_05,band_361,361
kruskal_q_lt_0_05,band_380,380
kruskal_q_lt_0_05,band_384,384
kruskal_q_lt_0_05,band_376,376
kruskal_q_lt_0_05,band_383,383
kruskal_q_lt_0_05,band_391,391
kruskal_q_lt_0_05,band_379,379
kruskal_q_lt_0_05,band_378,378
kruskal_q_lt_0_05,band_382,382
kruskal_q_lt_0_05,band_389,389
kruskal_q_lt_0_05,band_387,387
kruskal_q_lt_0_05,band_386,386
kruskal_q_lt_0_05,band_385,385
kruskal_q_lt_0_05,band_360,360
kruskal_q_lt_0_05,band_390,390
kruskal_q_lt_0_05,band_392,392
kruskal_q_lt_0_05,band_388,388
kruskal_q_lt_0_05,band_375,375
kruskal_q_lt_0_05,band_359,359
kruskal_q_lt_0_05,band_393,393
kruskal_q_lt_0_05,band_362,362
kruskal_q_lt_0_05,band_400,400
kruskal_q_lt_0_05,band_394,394
kruskal_q_lt_0_05,band_403,403
kruskal_q_lt_0_05,band_402,402
kruskal_q_lt_0_05,band_397,397
kruskal_q_lt_0_05,band_401,401
kruskal_q_lt_0_05,band_398,398
kruskal_q_lt_0_05,band_374,374
kruskal_q_lt_0_05,band_406,406
kruskal_q_lt_0_05,band_395,395
kruskal_q_lt_0_05,band_396,396
kruskal_q_lt_0_05,band_399,399
kruskal_q_lt_0_05,band_414,414
kruskal_q_lt_0_05,band_372,372
kruskal_q_lt_0_05,band_373,373
kruskal_q_lt_0_05,band_413,413
kruskal_q_lt_0_05,band_415,415
kruskal_q_lt_0_05,band_409,409
kruskal_q_lt_0_05,band_408,408
kruskal_q_lt_0_05,band_404,404
kruskal_q_lt_0_05,band_416,416
kruskal_q_lt_0_05,band_405,405
kruskal_q_lt_0_05,band_358,358
kruskal_q_lt_0_05,band_411,411
kruskal_q_lt_0_05,band_407,407
kruskal_q_lt_0_05,band_418,418
kruskal_q_lt_0_05,band_410,410
kruskal_q_lt_0_05,band_412,412
kruskal_q_lt_0_05,band_371,371
kruskal_q_lt_0_05,band_423,423
kruskal_q_lt_0_05,band_424,424
kruskal_q_lt_0_05,band_420,420
kruskal_q_lt_0_05,band_422,422
kruskal_q_lt_0_05,band_425,425
kruskal_q_lt_0_05,band_426,426
kruskal_q_lt_0_05,band_370,370
kruskal_q_lt_0_05,band_363,363
kruskal_q_lt_0_05,band_421,421
kruskal_q_lt_0_05,band_427,427
kruskal_q_lt_0_05,band_368,368
kruskal_q_lt_0_05,band_366,366
kruskal_q_lt_0_05,band_367,367
kruskal_q_lt_0_05,band_369,369
kruskal_q_lt_0_05,band_431,431
kruskal_q_lt_0_05,band_434,434
kruskal_q_lt_0_05,band_432,432
kruskal_q_lt_0_05,band_428,428
kruskal_q_lt_0_05,band_429,429
kruskal_q_lt_0_05,band_430,430
kruskal_q_lt_0_05,band_364,364
kruskal_q_lt_0_05,band_437,437
kruskal_q_lt_0_05,band_438,438
kruskal_q_lt_0_05,band_436,436
kruskal_q_lt_0_05,band_441,441
kruskal_q_lt_0_05,band_365,365
kruskal_q_lt_0_05,band_439,439
kruskal_q_lt_0_05,band_440,440
kruskal_q_lt_0_05,band_443,443
kruskal_q_lt_0_05,band_357,357
kruskal_q_lt_0_05,band_444,444
kruskal_q_lt_0_05,band_445,445
kruskal_q_lt_0_05,band_446,446
kruskal_q_lt_0_05,band_447,447
kruskal_q_lt_0_05,band_448,448
kruskal_q_lt_0_05,band_356,356
kruskal_q_lt_0_05,band_451,451
kruskal_q_lt_0_05,band_452,452
kruskal_q_lt_0_05,band_453,453
kruskal_q_lt_0_05,band_454,454
kruskal_q_lt_0_05,band_455,455
kruskal_q_lt_0_05,band_456,456
kruskal_q_lt_0_05,band_457,457
kruskal_q_lt_0_05,band_458,458
kruskal_q_lt_0_05,band_460,460
kruskal_q_lt_0_05,band_459,459
kruskal_q_lt_0_05,band_462,462
kruskal_q_lt_0_05,band_461,461
kruskal_q_lt_0_05,band_467,467
kruskal_q_lt_0_05,band_470,470
kruskal_q_lt_0_05,band_471,471
kruskal_q_lt_0_05,band_465,465
kruskal_q_lt_0_05,band_466,466
kruskal_q_lt_0_05,band_473,473
