band,wavelength_nm,h_stat,p_value,class_mean_min,class_mean_max,class_mean_range,eta2_h,top_class_mean,bottom_class_mean,min_class_support,q_value,rank_kruskal
band_381,381,102.65613026819926,1.4555578345723505e-20,0.0732396496713133,0.10905576086226561,0.03581611119095231,0.7076531178855019,A,D,24,8.517936947065672e-20,1
band_377,377,102.59937739463601,1.4962353142171616e-20,0.07611609310845434,0.11391933057425085,0.037803237465796516,0.7072418651785218,A,D,24,8.517936947065672e-20,2
band_361,361,102.55009578544059,1.5324782702952376e-20,0.09732088807094297,0.14088475531327374,0.04356386724233077,0.7068847520684101,A,D,24,8.517936947065672e-20,3
band_380,380,102.53611111111115,1.5429218574344e-20,0.07386735427473039,0.1102259578924009,0.036358603617670515,0.7067834138486315,A,D,24,8.517936947065672e-20,4
band_384,384,102.4855842911877,1.581250959431628e-20,0.07131560040442794,0.10572887839074546,0.03441327798631752,0.7064172774723747,A,D,24,8.517936947065672e-20,5
band_376,376,102.47931034482758,1.5860762484475897e-20,0.07707529169303008,0.1152257986010425,0.038150506908012416,0.7063718140929535,A,D,24,8.517936947065672e-20,6
band_383,383,102.45162835249039,1.6075427740378554e-20,0.07188854790521047,0.10675414414227026,0.03486559623705979,0.7061712199455825,A,D,24,8.517936947065672e-20,7
band_391,391,102.42260536398464,1.6303610722942113e-20,0.06809014438322968,0.09979229238967453,0.03170214800644486,0.7059609084346713,E,D,24,8.517936947065672e-20,8
band_379,379,102.41872605363983,1.6334354683630386e-20,0.07455892875334867,0.11143931146062701,0.036880382707278336,0.7059327974901437,A,D,24,8.517936947065672e-20,9
band_378,378,102.38644636015317,1.65924320859309e-20,0.0752860460423073,0.11267070216785091,0.037384656125543606,0.7056988866677766,A,D,24,8.517936947065672e-20,10
band_382,382,102.37734674329499,1.666591741889111e-20,0.07257150876820366,0.10787738168965322,0.03530587292144956,0.7056329474151811,A,D,24,8.517936947065672e-20,11
band_389,389,102.33893678160916,1.697970408631421e-20,0.06890775918609766,0.10132508843482509,0.03241732924872742,0.7053546143594867,A,D,24,8.517936947065672e-20,12
band_387,387,102.27279693486594,1.7533927307165418e-20,0.06978617514423145,0.1030104024999345,0.033224227355703045,0.7048753401077242,A,D,24,8.517936947065672e-20,13
band_386,386,102.26815134099616,1.7573528134314185e-20,0.07029483323942369,0.10384447503110039,0.0335496417916767,0.7048416763840301,A,D,24,8.517936947065672e-20,14
band_385,385,102.22562260536404,1.7940239800485392e-20,0.07080177278498231,0.10473520871287297,0.03393343592789065,0.7045334971403191,A,D,24,8.517936947065672e-20,15
band_360,360,102.20727969348661,1.8100756187156622e-20,0.0987586989332699,0.14263680612191457,0.04387810718864467,0.7044005774890334,A,D,24,8.517936947065672e-20,16
