subset,band,wavelength_nm
ttest_q_lt_0_01,band_727,727
ttest_q_lt_0_01,band_728,728
ttest_q_lt_0_01,band_726,726
ttest_q_lt_0_01,band_729,729
ttest_q_lt_0_01,band_725,725
ttest_q_lt_0_01,band_730,730
ttest_q_lt_0_01,band_724,724
ttest_q_lt_0_01,band_723,723
ttest_q_lt_0_01,band_722,722
ttest_q_lt_0_01,band_721,721
ttest_q_lt_0_01,band_720,720
ttest_q_lt_0_01,band_719,719
ttest_q_lt_0_01,band_718,718
ttest_q_lt_0_01,band_383,383
ttest_q_lt_0_01,band_382,382
ttest_q_lt_0_01,band_384,384
ttest_q_lt_0_01,band_381,381
ttest_q_lt_0_01,band_380,380
ttest_q_lt_0_01,band_375,375
ttest_q_lt_0_01,band_385,385
ttest_q_lt_0_01,band_374,374
ttest_q_lt_0_01,band_376,376
ttest_q_lt_0_01,band_379,379
ttest_q_lt_0_01,band_377,377
ttest_q_lt_0_01,band_378,378
ttest_q_lt_0_01,band_391,391
ttest_q_lt_0_01,band_392,392
ttest_q_lt_0_01,band_373,373
ttest_q_lt_0_01,band_390,390
ttest_q_lt_0_01,band_386,386
ttest_q_lt_0_01,band_393,393
ttest_q_lt_0_01,band_387,387
ttest_q_lt_0_01,band_389,389
ttest_q_lt_0_01,band_388,388
ttest_q_lt_0_01,band_372,372
ttest_q_lt_0_01,band_371,371
ttest_q_lt_0_01,band_361,361
ttest_q_lt_0_01,band_362,362
ttest_q_lt_0_01,band_370,370
ttest_q_lt_0_01,band_394,394
ttest_q_lt_0_01,band_366,366
ttest_q_lt_0_01,band_367,367
ttest_q_lt_0_01,band_717,717
ttest_q_lt_0_01,band_369,369
ttest_q_lt_0_01,band_368,368
ttest_q_lt_0_01,band_363,363
ttest_q_lt_0_01,band_360,360
ttest_q_lt_0_01,band_365,365
ttest_q_lt_0_01,band_395,395
ttest_q_lt_0_01,band_364,364
ttest_q_lt_0_01,band_396,396
ttest_q_lt_0_01,band_397,397
ttest_q_lt_0_01,band_359,359
ttest_q_lt_0_01,band_398,398
ttest_q_lt_0_01,band_400,400
ttest_q_lt_0_01,band_401,401
ttest_q_lt_0_01,band_399,399
ttest_q_lt_0_01,band_358,358
ttest_q_lt_0_01,band_402,402
ttest_q_lt_0_01,band_403,403
ttest_q_lt_0_01,band_404,404
ttest_q_lt_0_01,band_405,405
ttest_q_lt_0_01,band_357,357
ttest_q_lt_0_01,band_406,406
ttest_q_lt_0_01,band_407,407
ttest_q_lt_0_01,band_408,408
ttest_q_lt_0_01,band_409,409
ttest_q_lt_0_01,band_410,410
ttest_q_lt_0_01,band_414,414
ttest_q_lt_0_01,band_415,415
ttest_q_lt_0_01,band_413,413
ttest_q_lt_0_01,band_411,411
ttest_q_lt_0_01,band_416,416
ttest_q_lt_0_01,band_418,418
ttest_q_lt_0_01,band_412,412
ttest_q_lt_0_01,band_356,356
ttest_q_lt_0_01,band_432,432
ttest_q_lt_0_01,band_431,431
ttest_q_lt_0_01,band_430,430
ttest_q_lt_0_01,band_429,429
ttest_q_lt_0_01,band_420,420
ttest_q_lt_0_01,band_424,424
ttest_q_lt_0_01,band_428,428
ttest_q_lt_0_01,band_427,427
ttest_q_lt_0_01,band_425,425
ttest_q_lt_0_01,band_426,426
ttest_q_lt_0_01,band_423,423
ttest_q_lt_0_01,band_421,421
ttest_q_lt_0_01,band_434,434
ttest_q_lt_0_01,band_422,422
ttest_q_lt_0_01,band_436,436
ttest_q_lt_0_01,band_437,437
ttest_q_lt_0_01,band_438,438
ttest_q_lt_0_01,band_439,439
ttest_q_lt_0_01,band_440,440
ttest_q_lt_0_01,band_441,441
ttest_q_lt_0_01,band_443,443
ttest_q_lt_0_01,band_355,355
ttest_q_lt_0_01,band_444,444
ttest_q_lt_0_01,band_445,445
ttest_q_lt_0_01,band_446,446
ttest_q_lt_0_01,band_447,447
ttest_q_lt_0_01,band_448,448
ttest_q_lt_0_01,band_354,354
ttest_q_lt_0_01,band_451,451
ttest_q_lt_0_01,band_452,452
ttest_q_lt_0_01,band_453,453
ttest_q_lt_0_01,band_454,454
ttest_q_lt_0_01,band_455,455
ttest_q_lt_0_01,band_456,456
ttest_q_lt_0_01,band_353,353
ttest_q_lt_0_01,band_457,457
ttest_q_lt_0_01,band_458,458
ttest_q_lt_0_01,band_459,459
ttest_q_lt_0_01,band_460,460
ttest_q_lt_0_01,band_461,461
ttest_q_lt_0_01,band_462,462
ttest_q_lt_0_01,band_465,465
ttest_q_lt_0_01,band_352,352
ttest_q_lt_0_01,band_466,466
ttest_q_lt_0_01,band_467,467
ttest_q_lt_0_01,band_470,470
ttest_q_lt_0_01,band_471,471
ttest_q_lt_0_01,band_473,473
ttest_q_lt_0_01,band_351,351
ttest_q_lt_0_01,band_476,476
ttest_q_lt_0_01,band_477,477
ttest_q_lt_0_01,band_478,478
ttest_q_lt_0_01,band_479,479
ttest_q_lt_0_01,band_480,480
ttest_q_lt_0_01,band_350,350
ttest_q_lt_0_01,band_481,481
ttest_q_lt_0_01,band_482,482
ttest_q_lt_0_01,band_483,483
ttest_q_lt_0_01,band_485,485
ttest_q_lt_0_01,band_486,486
ttest_q_lt_0_01,band_487,487
ttest_q_lt_0_01,band_489,489
ttest_q_lt_0_01,band_490,490
ttest_q_lt_0_01,band_491,491
ttest_q_lt_0_01,band_492,492
ttest_q_lt_0_01,band_493,493
ttest_q_lt_0_01,band_494,494
ttest_q_lt_0_01,band_495,495
ttest_q_lt_0_01,band_496,496
ttest_q_lt_0_01,band_497,497
ttest_q_lt_0_01,band_498,498
ttest_q_lt_0_01,band_2444,2444
