teste_id,ordem,cultivar,condicao,comparacao,metrica,n_amostras,n_grupos,F,p_value,R2,permutacoes,permdisp_F,permdisp_p_value
EMB48_IRR_turno,0,EMB48,IRR,Manha vs Tarde,braycurtis,24,2,8.739545937257414,0.006,0.284309532583719,999,0.12743433173791963,0.692
EMB48_IRR_turno,0,EMB48,IRR,Manha vs Tarde,euclidean,24,2,8.632339376916628,0.005,0.28180477079140853,999,0.0759498169086421,0.76
EMB48_NIRR_turno,1,EMB48,NIRR,Manha vs Tarde,braycurtis,24,2,0.248676302082882,0.709,0.011177127965118598,999,1.6929983147000383,0.205
EMB48_NIRR_turno,1,EMB48,NIRR,Manha vs Tarde,euclidean,24,2,0.300934522596209,0.707,0.013494256139413798,999,1.7587389212701123,0.194
BR16_IRR_turno,2,BR16,IRR,Manha vs Tarde,braycurtis,24,2,4.600785171616926,0.03,0.17295674326658486,999,0.9814811177248808,0.293
BR16_IRR_turno,2,BR16,IRR,Manha vs Tarde,euclidean,24,2,4.509717985613654,0.029,0.17011565298661405,999,1.3843590370807397,0.199
BR16_NIRR_turno,3,BR16,NIRR,Manha vs Tarde,braycurtis,24,2,0.569913421298255,0.511,0.025251023814759174,999,0.3593038686857462,0.59
BR16_NIRR_turno,3,BR16,NIRR,Manha vs Tarde,euclidean,24,2,0.48415398091096906,0.573,0.021533119783916064,999,0.5441425656348075,0.484
CD202_IRR_turno,4,CD202,IRR,Manha vs Tarde,braycurtis,24,2,6.555685129913772,0.007,0.22957548033215644,999,0.03392104508810823,0.842
CD202_IRR_turno,4,CD202,IRR,Manha vs Tarde,euclidean,24,2,6.923610420709944,0.006,0.23937573214416158,999,0.022666063590994986,0.886
CD202_NIRR_turno,5,CD202,NIRR,Manha vs Tarde,braycurtis,24,2,1.144705535572562,0.282,0.04945863466757836,999,0.05278797305420855,0.82
CD202_NIRR_turno,5,CD202,NIRR,Manha vs Tarde,euclidean,24,2,1.2897874359873027,0.245,0.0553799573968772,999,0.036762563180692064,0.848
Todos_IRR_NIRR_manha,6,Todos,IRR vs NIRR,Manha,braycurtis,72,2,65.74099753526438,0.001,0.4843120260567218,999,0.017370680854984874,0.897
Todos_IRR_NIRR_manha,6,Todos,IRR vs NIRR,Manha,euclidean,72,2,58.08795384672012,0.001,0.45350052133889673,999,0.4827968934244808,0.467
Todos_IRR_NIRR_tarde,7,Todos,IRR vs NIRR,Tarde,braycurtis,72,2,14.02993823613488,0.001,0.16696356715994431,999,0.009848044991296233,0.924
Todos_IRR_NIRR_tarde,7,Todos,IRR vs NIRR,Tarde,euclidean,72,2,11.881946216959948,0.001,0.1451106961414515,999,0.1657567899418159,0.676
