feature,tipo,feature_legenda,origem_bandas,importancia
REP,indice,REP,indices_fixos,0.05562192059590309
WBI,indice,WBI,indices_fixos,0.028148341429187377
band_717,banda,717 nm,confirmadas,0.02786207961420406
EVI,indice,EVI,indices_fixos,0.02727912226220961
band_718,banda,718 nm,confirmadas,0.027047285766596214
band_719,banda,719 nm,confirmadas,0.022689213649097623
band_720,banda,720 nm,confirmadas,0.021649926177013938
band_2444,banda,2444 nm,confirmadas,0.020526948819235457
NDVI,indice,NDVI,indices_fixos,0.019108771643281914
band_721,banda,721 nm,confirmadas,0.01868453378034705
band_722,banda,722 nm,confirmadas,0.015220036560741652
band_730,banda,730 nm,confirmadas,0.015003184034685464
band_723,banda,723 nm,confirmadas,0.014880970299728598
PRI,indice,PRI,indices_fixos,0.014683350292964727
SIPI,indice,SIPI,indices_fixos,0.013952650405157543
band_724,banda,724 nm,confirmadas,0.01348874369797506
band_726,banda,726 nm,confirmadas,0.013468206752391663
band_728,banda,728 nm,confirmadas,0.013373235001372469
band_729,banda,729 nm,confirmadas,0.013104115532931886
band_727,banda,727 nm,confirmadas,0.012594059131462634
band_725,banda,725 nm,confirmadas,0.012428502037926434
band_363,banda,363 nm,confirmadas,0.009043976232449161
band_412,banda,412 nm,confirmadas,0.008506843107922409
band_381,banda,381 nm,confirmadas,0.008187267377301955
band_385,banda,385 nm,confirmadas,0.008119037714304174
band_413,banda,413 nm,confirmadas,0.007789403175629953
band_362,banda,362 nm,confirmadas,0.0076506732479260636
band_360,banda,360 nm,confirmadas,0.007619576693502283
band_411,banda,411 nm,confirmadas,0.007609409552314179
band_380,banda,380 nm,confirmadas,0.007462571061043543
band_386,banda,386 nm,confirmadas,0.007334722707264052
band_498,banda,498 nm,confirmadas,0.0071707784925108715
band_384,banda,384 nm,confirmadas,0.007130025909027347
band_359,banda,359 nm,confirmadas,0.007119220546217612
band_382,banda,382 nm,confirmadas,0.0068606126994054245
band_497,banda,497 nm,confirmadas,0.006813469498199177
band_392,banda,392 nm,confirmadas,0.006764655175324204
band_361,banda,361 nm,confirmadas,0.00668827971417499
band_364,banda,364 nm,confirmadas,0.0066636103736774435
band_414,banda,414 nm,confirmadas,0.0066556586656544275
band_374,banda,374 nm,confirmadas,0.0066451848649827505
band_376,banda,376 nm,confirmadas,0.006579208516495799
band_383,banda,383 nm,confirmadas,0.006409319357751689
band_358,banda,358 nm,confirmadas,0.0060762363227247155
band_377,banda,377 nm,confirmadas,0.0059819427802507
band_391,banda,391 nm,confirmadas,0.005898033890366436
band_416,banda,416 nm,confirmadas,0.005896102499576608
band_496,banda,496 nm,confirmadas,0.005744303877710109
band_370,banda,370 nm,confirmadas,0.005543268487808511
band_375,banda,375 nm,confirmadas,0.005451992133938783
band_388,banda,388 nm,confirmadas,0.00543266572403296
band_405,banda,405 nm,confirmadas,0.005337807620791052
band_357,banda,357 nm,confirmadas,0.005326417878510885
band_440,banda,440 nm,confirmadas,0.005322070737911785
band_389,banda,389 nm,confirmadas,0.0052759435497711435
band_393,banda,393 nm,confirmadas,0.005267521652619606
band_378,banda,378 nm,confirmadas,0.005250680400590591
band_379,banda,379 nm,confirmadas,0.005113087914952584
band_353,banda,353 nm,confirmadas,0.005111704982640081
band_423,banda,423 nm,confirmadas,0.00510961872576755
band_355,banda,355 nm,confirmadas,0.005100523050377599
band_404,banda,404 nm,confirmadas,0.0050607131421010025
band_415,banda,415 nm,confirmadas,0.005058177261843502
band_350,banda,350 nm,confirmadas,0.005050496243395175
band_352,banda,352 nm,confirmadas,0.005048285174755945
band_406,banda,406 nm,confirmadas,0.005023681176403104
band_387,banda,387 nm,confirmadas,0.004896933033285593
band_367,banda,367 nm,confirmadas,0.004809803278065764
band_403,banda,403 nm,confirmadas,0.004727128411985982
band_369,banda,369 nm,confirmadas,0.004696619791161561
band_372,banda,372 nm,confirmadas,0.004689338909317656
band_351,banda,351 nm,confirmadas,0.00467306765519869
band_434,banda,434 nm,confirmadas,0.004634212445972468
band_400,banda,400 nm,confirmadas,0.004620513313280713
band_368,banda,368 nm,confirmadas,0.004591028153620915
band_366,banda,366 nm,confirmadas,0.004536750363972184
band_430,banda,430 nm,confirmadas,0.004519362920902827
band_426,banda,426 nm,confirmadas,0.004483557979848608
band_431,banda,431 nm,confirmadas,0.004422347991022309
band_420,banda,420 nm,confirmadas,0.004336678306000202
band_438,banda,438 nm,confirmadas,0.004320536389520448
band_495,banda,495 nm,confirmadas,0.00429009430711653
band_422,banda,422 nm,confirmadas,0.0042581745988230085
band_394,banda,394 nm,confirmadas,0.004173763097282134
band_356,banda,356 nm,confirmadas,0.00417252155683469
band_354,banda,354 nm,confirmadas,0.004154913275752402
band_493,banda,493 nm,confirmadas,0.0041475904717359095
band_408,banda,408 nm,confirmadas,0.004101085143158316
band_371,banda,371 nm,confirmadas,0.0040952821789307075
band_418,banda,418 nm,confirmadas,0.004042038934930988
band_494,banda,494 nm,confirmadas,0.003963584245423872
band_427,banda,427 nm,confirmadas,0.003934816610273024
band_437,banda,437 nm,confirmadas,0.0038210369669918927
band_424,banda,424 nm,confirmadas,0.0038165956410179396
band_409,banda,409 nm,confirmadas,0.0038129110380209002
band_441,banda,441 nm,confirmadas,0.003784595841684488
band_365,banda,365 nm,confirmadas,0.0037730678859067292
band_410,banda,410 nm,confirmadas,0.003729600191181449
band_439,banda,439 nm,confirmadas,0.0037293211948956047
band_428,banda,428 nm,confirmadas,0.003693563340460267
band_425,banda,425 nm,confirmadas,0.003682457794137595
band_492,banda,492 nm,confirmadas,0.003681371265158006
band_390,banda,390 nm,confirmadas,0.0036790211241934257
band_373,banda,373 nm,confirmadas,0.003661887473136264
band_490,banda,490 nm,confirmadas,0.003654262607250212
band_421,banda,421 nm,confirmadas,0.0036488440659940887
band_407,banda,407 nm,confirmadas,0.0036324594063997582
band_491,banda,491 nm,confirmadas,0.0035970240595382375
band_401,banda,401 nm,confirmadas,0.0035814294423744163
band_489,banda,489 nm,confirmadas,0.0035811040568854598
band_429,banda,429 nm,confirmadas,0.0035186953554224047
band_396,banda,396 nm,confirmadas,0.0034977019106975558
band_432,banda,432 nm,confirmadas,0.0034854972970569547
band_399,banda,399 nm,confirmadas,0.003429867261504578
band_445,banda,445 nm,confirmadas,0.0034250544330144722
band_402,banda,402 nm,confirmadas,0.0032742389689257275
band_397,banda,397 nm,confirmadas,0.0031559867563974503
band_436,banda,436 nm,confirmadas,0.0031486933071493855
band_398,banda,398 nm,confirmadas,0.0030853004550144094
band_395,banda,395 nm,confirmadas,0.003025819978557124
band_446,banda,446 nm,confirmadas,0.0030049687995498246
band_444,banda,444 nm,confirmadas,0.0029923781691522998
band_480,banda,480 nm,confirmadas,0.00297884579352695
band_487,banda,487 nm,confirmadas,0.002928927229060392
band_455,banda,455 nm,confirmadas,0.002868606393201464
band_453,banda,453 nm,confirmadas,0.0028298012327578692
band_481,banda,481 nm,confirmadas,0.002753560435611778
band_486,banda,486 nm,confirmadas,0.002746956946003534
band_478,banda,478 nm,confirmadas,0.002682491127381603
band_473,banda,473 nm,confirmadas,0.0025624483751554446
band_448,banda,448 nm,confirmadas,0.0025582208239044377
band_454,banda,454 nm,confirmadas,0.002546317120943624
band_461,banda,461 nm,confirmadas,0.0024550478019807263
band_451,banda,451 nm,confirmadas,0.0024511233899148673
band_460,banda,460 nm,confirmadas,0.0024351649259766028
band_482,banda,482 nm,confirmadas,0.00239376245590051
band_456,banda,456 nm,confirmadas,0.0023835266302269374
band_443,banda,443 nm,confirmadas,0.002329303995912733
band_471,banda,471 nm,confirmadas,0.002306247735355309
band_447,banda,447 nm,confirmadas,0.0022760196329546342
band_457,banda,457 nm,confirmadas,0.0022750999753510335
band_476,banda,476 nm,confirmadas,0.002254059738450311
band_458,banda,458 nm,confirmadas,0.0022452900647070436
band_452,banda,452 nm,confirmadas,0.0022385935225398617
band_466,banda,466 nm,confirmadas,0.0022169244135955527
band_483,banda,483 nm,confirmadas,0.0021334904485841907
band_479,banda,479 nm,confirmadas,0.00205109246414996
band_485,banda,485 nm,confirmadas,0.00197047095038944
band_462,banda,462 nm,confirmadas,0.001968328294921781
band_465,banda,465 nm,confirmadas,0.0019556830519129823
band_470,banda,470 nm,confirmadas,0.0019470880202304198
band_477,banda,477 nm,confirmadas,0.001906501671984061
band_467,banda,467 nm,confirmadas,0.001812109567356414
band_459,banda,459 nm,confirmadas,0.0015224189226367077
