feature,tipo,feature_legenda,dia,condicao,media,desvio_padrao,n
band_350,banda,350 nm,dia2,IRR,0.12865066686822071,0.006222998251062204,12
band_350,banda,350 nm,dia3,IRR,0.1431838558321283,0.012464403183443988,12
band_350,banda,350 nm,dia4,IRR,0.1752791286154263,0.02228655045526582,12
band_350,banda,350 nm,dia5,IRR,0.17496541563491264,0.03085935163812933,12
band_350,banda,350 nm,dia6,IRR,0.18187446061534676,0.013297045918676373,12
band_350,banda,350 nm,dia9,IRR,0.13481863361517488,0.021336376332483604,12
band_350,banda,350 nm,dia2,NIRR,0.12258875590219327,0.004591855652483826,12
band_350,banda,350 nm,dia3,NIRR,0.11534105804667104,0.005350980522902467,12
band_350,banda,350 nm,dia4,NIRR,0.11545408673447032,0.009058513596552006,12
band_350,banda,350 nm,dia5,NIRR,0.11285412883555257,0.0096364603706752,12
band_350,banda,350 nm,dia6,NIRR,0.11473196384690491,0.0039035082201373736,12
band_350,banda,350 nm,dia9,NIRR,0.10198758410401487,0.01044700173282645,12
band_351,banda,351 nm,dia2,IRR,0.1282255669374652,0.006353371870990444,12
band_351,banda,351 nm,dia3,IRR,0.14254861323387158,0.012353635631352845,12
band_351,banda,351 nm,dia4,IRR,0.1748053353230674,0.022180557813596045,12
band_351,banda,351 nm,dia5,IRR,0.17451279223071214,0.03078033998152982,12
band_351,banda,351 nm,dia6,IRR,0.1810917970861424,0.013426073548138266,12
band_351,banda,351 nm,dia9,IRR,0.13497836259579454,0.020786576686788065,12
band_351,banda,351 nm,dia2,NIRR,0.12215670500665084,0.004598473257798463,12
band_351,banda,351 nm,dia3,NIRR,0.11476452670322353,0.005461572683613238,12
band_351,banda,351 nm,dia4,NIRR,0.11496127065226554,0.008856285956162288,12
band_351,banda,351 nm,dia5,NIRR,0.11242082506267982,0.009452684947781528,12
band_351,banda,351 nm,dia6,NIRR,0.11408228460872534,0.004007973088337203,12
