date_iso,date_label,source_rank,class_rank,direction_label,wavelength,morning_count,afternoon_count,morning_mean_reflectance,afternoon_mean_reflectance,morning_std_reflectance,afternoon_std_reflectance,diff_morning_minus_afternoon,abs_diff,pct_diff_vs_morning,vip,cohen_d,q_value,combined_score
2017-02-23,23/02/2017,1,1,irrigado,1660,192,192,0.38743921349081817,0.40484159692190885,0.014478394171416381,0.019834977430946005,-0.017402383431090684,0.017402383431090684,-4.491642256418916,1.5902408821,1.4297926393,5.6244713303e-155,6.6189286746
2017-02-23,23/02/2017,2,2,irrigado,1659,192,192,0.3874077308772082,0.40482550973475195,0.014485677317653994,0.019847056886418097,-0.017417778857543753,0.017417778857543753,-4.495981228382985,1.5599149139,1.4576342588,5.4712963742e-160,6.6076822732
2017-02-23,23/02/2017,3,3,irrigado,1654,192,192,0.38710273764501585,0.40455941047720173,0.01451056919881375,0.01989001946760009,-0.017456672832185882,0.017456672832185882,-4.509571009077736,1.4421700899,1.5624596437,2.1531956457e-179,6.5559239513
2017-02-23,23/02/2017,4,4,irrigado,1661,192,192,0.38745939265076207,0.40483563013103047,0.014468480713180257,0.01982251597073064,-0.017376237480268397,0.017376237480268397,-4.4846602792077706,1.6068719174,1.3964421004,6.0813715342e-149,6.5274819097
2017-02-23,23/02/2017,5,5,irrigado,1655,192,192,0.3871779556076798,0.40462979704599383,0.014507296753471658,0.01988490434617957,-0.01745184143831402,0.01745184143831402,-4.507447075834463,1.4524618762,1.5431444838,1.01106218e-175,6.5033170607
2017-02-23,23/02/2017,6,6,irrigado,1658,192,192,0.3873641355519503,0.40479741241168815,0.01449030735385278,0.019866031480992686,-0.017433276859737834,0.017433276859737834,-4.500488109178558,1.5209404356,1.4754496971,3.5418960953e-163,6.4964481258
2017-02-23,23/02/2017,7,7,irrigado,1653,192,192,0.38701114912645423,0.4044761823668448,0.014513523875776663,0.019897043415025645,-0.01746503324039056,0.01746503324039056,-4.512798476171014,1.4119435686,1.5718552578,3.1669178256e-181,6.448674252
2017-02-23,23/02/2017,8,8,irrigado,1656,192,192,0.38724851101087016,0.40469330039673146,0.014503538521560595,0.01987761187978787,-0.017444789385861303,0.017444789385861303,-4.504804767440829,1.4323572271,1.5077088176,3.5632339671e-169,6.2035387061
2017-02-23,23/02/2017,9,9,irrigado,1657,192,192,0.3873123729484207,0.4047551048729519,0.014496185857739203,0.019875517924130434,-0.01744273192453122,0.01744273192453122,-4.503530778463953,1.4537103712,1.4838718242,1.0353097084e-164,6.1856770629
2017-02-23,23/02/2017,10,10,irrigado,1652,192,192,0.3869095148738531,0.4043890824792155,0.014511266441350389,0.019909936148810866,-0.0174795676053624,0.0174795676053624,-4.517740436303664,1.3658062069,1.5593458412,4.6649864823e-179,6.1384787064
2017-02-23,23/02/2017,11,1,nao_irrigado,1924,192,192,0.07741428813188854,0.08398580596955595,0.009943228150191195,0.015184445758622331,-0.006571517837667407,0.006571517837667407,-8.488766087303802,1.2793988868,-1.9937255058,2.1672729275e-258,8.0327963516
2017-02-23,23/02/2017,12,2,nao_irrigado,1923,192,192,0.07740767453799453,0.08389602141407237,0.009932363222615018,0.015164687707567268,-0.006488346876077841,0.006488346876077841,-8.382045985496077,1.3148501309,-1.9496079354,1.2659483932e-249,7.9691965372
2017-02-23,23/02/2017,13,3,nao_irrigado,2279,192,192,0.24799314327643548,0.25885279411593937,0.014766255143510865,0.021501487883887282,-0.010859650839503882,0.010859650839503882,-4.379012538826018,1.6992624471,-1.5671708898,3.244282072e-180,7.9432984786
2017-02-23,23/02/2017,14,4,nao_irrigado,2280,192,192,0.24751741076041742,0.2583355784712663,0.014775461793942426,0.021520219815225037,-0.010818167710848897,0.010818167710848897,-4.3706693915444434,1.6419253399,-1.6171442115,9.0643940911e-190,7.9176113549
2017-02-23,23/02/2017,15,5,nao_irrigado,1427,192,192,0.23844301177226804,0.25084509413978295,0.01580644902340442,0.023752004677722476,-0.012402082367514916,0.012402082367514916,-5.201277351487192,1.3630282245,-1.8934627205,1.4045805978e-237,7.8887210661
2017-02-23,23/02/2017,16,6,nao_irrigado,1428,192,192,0.23790607713486286,0.2504519543854949,0.015828081940233267,0.023766830298356332,-0.012545877250632026,0.012545877250632026,-5.273458081325131,1.3613801823,-1.8934491622,1.3993657901e-237,7.8799858925
2017-02-23,23/02/2017,17,7,nao_irrigado,1426,192,192,0.2390516781013581,0.25131401017292043,0.015781944086500754,0.023739377208322233,-0.012262332071562326,0.012262332071562326,-5.129573726047256,1.3640022684,-1.8907849156,4.1486289918e-237,7.8797142082
2017-02-23,23/02/2017,18,8,nao_irrigado,1429,192,192,0.23744667944315714,0.2501379779560571,0.015848934975084078,0.02378252706551638,-0.012691298512899934,0.012691298512899934,-5.344904608757913,1.3594343382,-1.8940449776,1.0362366145e-237,7.8732838884
2017-02-23,23/02/2017,19,9,nao_irrigado,1430,192,192,0.2370513664063919,0.24988720797225927,0.015873329091940256,0.02379739553733921,-0.012835841565867367,0.012835841565867367,-5.4147933253681755,1.3574309308,-1.8955089432,6.8020496358e-238,7.8690939613
2017-02-23,23/02/2017,20,10,nao_irrigado,1425,192,192,0.23973281666507082,0.25186147456906444,0.015763562427467123,0.02372755685994524,-0.012128657903993617,0.012128657903993617,-5.059239728926427,1.3647469655,-1.8869388077,2.2009120353e-236,7.8624384994
