genotype,date_iso,date_label,source_rank,class_rank,direction_label,wavelength,morning_count,afternoon_count,morning_mean_reflectance,afternoon_mean_reflectance,morning_std_reflectance,afternoon_std_reflectance,diff_morning_minus_afternoon,abs_diff,pct_diff_vs_morning,vip,cohen_d,q_value,combined_score
BR16,2017-02-23,23/02/2017,1,1,irrigado,1660,64,64,0.3944626736207206,0.41118977695423037,0.014363045650556835,0.015821366281688443,-0.01672710333350974,0.01672710333350974,-4.240478111648404,1.5902408821,1.4297926393,5.6244713303e-155,6.6189286746
BR16,2017-02-23,23/02/2017,2,2,irrigado,1659,64,64,0.394440551574303,0.41118856514550134,0.014366746178594993,0.015831643067405792,-0.016748013571198317,0.016748013571198317,-4.246017176568976,1.5599149139,1.4576342588,5.4712963742e-160,6.6076822732
BR16,2017-02-23,23/02/2017,3,3,irrigado,1654,64,64,0.3941626417038898,0.4109510577292558,0.014362563343522075,0.015858289966625395,-0.01678841602536596,0.01678841602536596,-4.259261088974045,1.4421700899,1.5624596437,2.1531956457e-179,6.5559239513
BR16,2017-02-23,23/02/2017,4,4,irrigado,1661,64,64,0.3944778054032667,0.4111678102864765,0.014352519552618886,0.0158088432084247,-0.016690004883209764,0.016690004883209764,-4.230911005537538,1.6068719174,1.3964421004,6.0813715342e-149,6.5274819097
BR16,2017-02-23,23/02/2017,5,5,irrigado,1655,64,64,0.39424562800255064,0.41103324210711617,0.014360017350549523,0.015851956399242924,-0.01678761410456553,0.01678761410456553,-4.258161134118377,1.4524618762,1.5431444838,1.01106218e-175,6.5033170607
BR16,2017-02-23,23/02/2017,6,6,irrigado,1658,64,64,0.39441149348486926,0.41118890490609633,0.014364449101704535,0.015848945833529516,-0.016777411421227073,0.016777411421227073,-4.253783598694925,1.5209404356,1.4754496971,3.5418960953e-163,6.4964481258
BR16,2017-02-23,23/02/2017,7,7,irrigado,1653,64,64,0.3940741475756982,0.4108655271105557,0.014358863533709524,0.015865244419237253,-0.016791379534857487,0.016791379534857487,-4.260969575943068,1.4119435686,1.5718552578,3.1669178256e-181,6.448674252
BR16,2017-02-23,23/02/2017,8,8,irrigado,1656,64,64,0.3943152333366556,0.4110976905956908,0.014360542234642976,0.015847404991906462,-0.01678245725903521,0.01678245725903521,-4.256101677083017,1.4323572271,1.5077088176,3.5632339671e-169,6.2035387061
BR16,2017-02-23,23/02/2017,9,9,irrigado,1657,64,64,0.3943688308854524,0.4111579724383876,0.014363093479279172,0.01585497916291026,-0.016789141552935205,0.016789141552935205,-4.257218177014539,1.4537103712,1.4838718242,1.0353097084e-164,6.1856770629
BR16,2017-02-23,23/02/2017,10,10,irrigado,1652,64,64,0.3939723630416161,0.4107756294950295,0.014350122085012117,0.015880999620177135,-0.0168032664534134,0.0168032664534134,-4.26508761266547,1.3658062069,1.5593458412,4.6649864823e-179,6.1384787064
BR16,2017-02-23,23/02/2017,11,1,nao_irrigado,1924,64,64,0.07889754369563398,0.08155396547267149,0.007770902940185227,0.01256747228115906,-0.00265642177703751,0.00265642177703751,-3.3669258288766093,1.2793988868,-1.9937255058,2.1672729275e-258,8.0327963516
BR16,2017-02-23,23/02/2017,12,2,nao_irrigado,1923,64,64,0.07889253795218988,0.08145134406102784,0.007755397990473509,0.012562122955304358,-0.0025588061088379632,0.0025588061088379632,-3.2434070132065465,1.3148501309,-1.9496079354,1.2659483932e-249,7.9691965372
BR16,2017-02-23,23/02/2017,13,3,nao_irrigado,2279,64,64,0.24922943372797737,0.2566574404148494,0.01070252915232679,0.016275987980062582,-0.0074280066868720185,0.0074280066868720185,-2.9803890237857504,1.6992624471,-1.5671708898,3.244282072e-180,7.9432984786
BR16,2017-02-23,23/02/2017,14,4,nao_irrigado,2280,64,64,0.2487425835240686,0.2561252099821053,0.010705032960815956,0.016294109404876394,-0.007382626458036695,0.007382626458036695,-2.967978523597808,1.6419253399,-1.6171442115,9.0643940911e-190,7.9176113549
BR16,2017-02-23,23/02/2017,15,5,nao_irrigado,1427,64,64,0.2441249883954309,0.2517565656875935,0.012489100859579744,0.01915870167811735,-0.007631577292162628,0.007631577292162628,-3.12609427749407,1.3630282245,-1.8934627205,1.4045805978e-237,7.8887210661
BR16,2017-02-23,23/02/2017,16,6,nao_irrigado,1428,64,64,0.24356665817673753,0.25137548564890233,0.01251376616437401,0.01916552597666939,-0.007808827472164798,0.007808827472164798,-3.2060330139680016,1.3613801823,-1.8934491622,1.3993657901e-237,7.8799858925
BR16,2017-02-23,23/02/2017,17,7,nao_irrigado,1426,64,64,0.24475551205933888,0.2522163854649659,0.0124668642678543,0.019157435283770983,-0.007460873405627011,0.007460873405627011,-3.048296376597307,1.3640022684,-1.8907849156,4.1486289918e-237,7.8797142082
BR16,2017-02-23,23/02/2017,18,8,nao_irrigado,1429,64,64,0.2430868767974434,0.2510731569376244,0.012536039810489718,0.019170248186505597,-0.00798628014018099,0.00798628014018099,-3.2853604626446806,1.3594343382,-1.8940449776,1.0362366145e-237,7.8732838884
BR16,2017-02-23,23/02/2017,19,9,nao_irrigado,1430,64,64,0.24267937243774218,0.2508369350506975,0.012561767758232263,0.01917426656975065,-0.008157562612955305,0.008157562612955305,-3.361456942554141,1.3574309308,-1.8955089432,6.8020496358e-238,7.8690939613
BR16,2017-02-23,23/02/2017,20,10,nao_irrigado,1425,64,64,0.24546468987925624,0.2527561010482736,0.01245348461425585,0.01915283691216954,-0.007291411169017381,0.007291411169017381,-2.9704521544846294,1.3647469655,-1.8869388077,2.2009120353e-236,7.8624384994
BR16,2017-02-24,24/02/2017,1,1,irrigado,1660,64,64,0.3971767204135704,0.3985727884287821,0.02899793117740788,0.01754582326638194,-0.0013960680152116933,0.0013960680152116933,-0.3514979462436776,1.5902408821,1.4297926393,5.6244713303e-155,6.6189286746
