data_coleta,turno,genotipo,condicao,n_amostras
2017-02-23,manha,BR16,irrigado,32
2017-02-23,manha,BR16,nao_irrigado,32
2017-02-23,manha,CD202,irrigado,32
2017-02-23,manha,CD202,nao_irrigado,32
2017-02-23,manha,EMB48,irrigado,32
2017-02-23,manha,EMB48,nao_irrigado,32
2017-02-23,tarde,BR16,irrigado,32
2017-02-23,tarde,BR16,nao_irrigado,32
2017-02-23,tarde,CD202,irrigado,32
2017-02-23,tarde,CD202,nao_irrigado,32
2017-02-23,tarde,EMB48,irrigado,32
2017-02-23,tarde,EMB48,nao_irrigado,32
2017-02-24,manha,BR16,irrigado,32
2017-02-24,manha,BR16,nao_irrigado,32
2017-02-24,manha,CD202,irrigado,32
2017-02-24,manha,CD202,nao_irrigado,32
2017-02-24,manha,EMB48,irrigado,32
2017-02-24,manha,EMB48,nao_irrigado,32
2017-02-24,tarde,BR16,irrigado,32
2017-02-24,tarde,BR16,nao_irrigado,32
2017-02-24,tarde,CD202,irrigado,32
2017-02-24,tarde,CD202,nao_irrigado,32
2017-02-24,tarde,EMB48,irrigado,32
2017-02-24,tarde,EMB48,nao_irrigado,32
2017-02-25,manha,BR16,irrigado,32
2017-02-25,manha,BR16,nao_irrigado,32
2017-02-25,manha,CD202,irrigado,32
2017-02-25,manha,CD202,nao_irrigado,32
2017-02-25,manha,EMB48,irrigado,32
2017-02-25,manha,EMB48,nao_irrigado,32
2017-02-26,manha,BR16,irrigado,32
2017-02-26,manha,BR16,nao_irrigado,32
2017-02-26,manha,CD202,irrigado,32
2017-02-26,manha,CD202,nao_irrigado,32
2017-02-26,manha,EMB48,irrigado,32
2017-02-26,manha,EMB48,nao_irrigado,32
2017-02-27,manha,BR16,irrigado,32
2017-02-27,manha,BR16,nao_irrigado,32
2017-02-27,manha,CD202,irrigado,32
2017-02-27,manha,CD202,nao_irrigado,32
2017-02-27,manha,EMB48,irrigado,32
2017-02-27,manha,EMB48,nao_irrigado,32
2017-03-02,manha,BR16,irrigado,32
2017-03-02,manha,BR16,nao_irrigado,32
2017-03-02,manha,CD202,irrigado,36
2017-03-02,manha,CD202,nao_irrigado,32
2017-03-02,manha,EMB48,irrigado,32
2017-03-02,manha,EMB48,nao_irrigado,32
2017-03-02,tarde,BR16,irrigado,32
2017-03-02,tarde,BR16,nao_irrigado,32
2017-03-02,tarde,CD202,irrigado,32
2017-03-02,tarde,CD202,nao_irrigado,32
2017-03-02,tarde,EMB48,irrigado,32
2017-03-02,tarde,EMB48,nao_irrigado,32
