dia,genotipo,pair,n_irrigado,n_nao_irrigado,top1_banda_nm,top1_desvio,top5_SR_noncollinear_10nm,deviations
2017-02-23,BR16,irrigado_vs_nao_irrigado,64,64,1883,0.504,"1883,357,1001,1831,1392","0.504,0.103,0.095,0.064,0.040"
2017-02-23,CD202,irrigado_vs_nao_irrigado,64,64,1883,2.456,"1883,1873,1393,1893,1403","2.456,0.155,0.115,0.104,0.060"
2017-02-23,EMB48,irrigado_vs_nao_irrigado,64,64,1883,1.0,"1883,1873,1394,356,1384","1.000,0.112,0.096,0.082,0.067"
2017-02-24,BR16,irrigado_vs_nao_irrigado,64,64,1884,2.515,"1884,1874,1894,1393,1001","2.515,0.192,0.146,0.097,0.081"
2017-02-24,CD202,irrigado_vs_nao_irrigado,64,64,1883,5.395,"1883,1893,1873,1903,567","5.395,0.225,0.187,0.103,0.090"
2017-02-24,EMB48,irrigado_vs_nao_irrigado,64,64,1884,20.294,"1884,1894,1874,569,729","20.294,0.193,0.131,0.127,0.122"
2017-02-25,BR16,irrigado_vs_nao_irrigado,32,32,1880,5.027,"1880,1870,1393,1890,1383","5.027,0.266,0.256,0.205,0.172"
2017-02-25,CD202,irrigado_vs_nao_irrigado,32,32,366,0.136,"366,356,377,567,731","0.136,0.118,0.107,0.081,0.075"
2017-02-25,EMB48,irrigado_vs_nao_irrigado,32,32,1880,5.061,"1880,1393,1870,1383,1403","5.061,0.319,0.296,0.211,0.183"
2017-02-26,BR16,irrigado_vs_nao_irrigado,32,32,1884,3.994,"1884,1874,1894,732,369","3.994,0.178,0.173,0.104,0.103"
2017-02-26,CD202,irrigado_vs_nao_irrigado,32,32,1884,2.417,"1884,1874,1894,730,370","2.417,0.220,0.194,0.112,0.109"
2017-02-26,EMB48,irrigado_vs_nao_irrigado,32,32,1885,4.746,"1885,1895,1875,569,730","4.746,0.272,0.210,0.174,0.155"
2017-02-27,BR16,irrigado_vs_nao_irrigado,32,32,1885,5.053,"1885,1875,1895,1393,363","5.053,0.398,0.289,0.187,0.131"
2017-02-27,CD202,irrigado_vs_nao_irrigado,32,32,1884,5.251,"1884,1874,1894,1393,362","5.251,0.303,0.252,0.150,0.127"
2017-02-27,EMB48,irrigado_vs_nao_irrigado,32,32,1884,35.147,"1884,1894,368,571,356","35.147,0.198,0.132,0.132,0.126"
2017-03-02,BR16,irrigado_vs_nao_irrigado,64,64,1883,0.912,"1883,360,372,1000,1831","0.912,0.115,0.105,0.100,0.076"
2017-03-02,CD202,irrigado_vs_nao_irrigado,68,64,1884,14.769,"1884,1874,1894,1393,353","14.769,0.406,0.345,0.223,0.155"
2017-03-02,EMB48,irrigado_vs_nao_irrigado,64,64,1881,0.897,"1881,731,568,741,373","0.897,0.119,0.104,0.102,0.096"
