analysis,wavelength_nm,count_top5,n_slots_present,best_rank,mean_rank,min_q,n_slots,freq_rel,persistencia
cond,400.0,5,5,1,1.0,7.549372294188427e-32,10,0.5,0.5
cond,530.0,2,2,3,3.5,1.0323354150563847e-26,10,0.2,0.2
cond,1590.0,2,2,4,4.0,2.1509352005578015e-14,10,0.2,0.2
cond,579.0,2,2,2,2.5,9.142598950987489e-14,10,0.2,0.2
cond,739.0,2,2,3,4.0,2.845585746409285e-12,10,0.2,0.2
cond,1580.0,2,2,2,3.0,1.0503301357760771e-10,10,0.2,0.2
cond,1539.0,1,1,2,2.0,1.4194297717922904e-29,10,0.1,0.1
cond,411.0,1,1,1,1.0,1.4026510946499833e-23,10,0.1,0.1
cond,1541.0,1,1,2,2.0,1.9188748753602937e-21,10,0.1,0.1
cond,1536.0,1,1,2,2.0,4.210126241614542e-20,10,0.1,0.1
cond,1530.0,1,1,2,2.0,5.658688505523201e-20,10,0.1,0.1
cond,1610.0,1,1,4,4.0,9.891025509325242e-20,10,0.1,0.1
cond,1939.0,1,1,5,5.0,1.4323754832885129e-18,10,0.1,0.1
cond,1600.0,1,1,3,3.0,1.3615829787188056e-16,10,0.1,0.1
cond,432.0,1,1,1,1.0,8.197203348457055e-16,10,0.1,0.1
cond,629.0,1,1,3,3.0,9.42909277489777e-16,10,0.1,0.1
cond,1520.0,1,1,1,1.0,3.6933804373783005e-15,10,0.1,0.1
cond,1906.0,1,1,2,2.0,7.059590273113205e-11,10,0.1,0.1
cond,1900.0,1,1,1,1.0,9.788810630771363e-11,10,0.1,0.1
cond,1510.0,1,1,1,1.0,2.566671066849432e-10,10,0.1,0.1
cond,1919.0,1,1,4,4.0,2.634094381598543e-10,10,0.1,0.1
cond,1383.0,1,1,2,2.0,2.794942917682281e-10,10,0.1,0.1
cond,1989.0,1,1,5,5.0,4.3289793945271373e-10,10,0.1,0.1
cond,1340.0,1,1,5,5.0,8.25189655434256e-10,10,0.1,0.1
cond,728.0,1,1,3,3.0,2.1817147321582156e-09,10,0.1,0.1
cond,1353.0,1,1,5,5.0,4.974898364182607e-09,10,0.1,0.1
cond,1347.0,1,1,2,2.0,5.831269243658221e-09,10,0.1,0.1
cond,1385.0,1,1,4,4.0,5.951004486142461e-09,10,0.1,0.1
cond,415.0,1,1,3,3.0,1.0702976690409952e-08,10,0.1,0.1
cond,649.0,1,1,2,2.0,1.6847540094980926e-08,10,0.1,0.1
cond,1907.0,1,1,3,3.0,2.3178151923556024e-08,10,0.1,0.1
cond,406.0,1,1,3,3.0,1.6768530728243e-07,10,0.1,0.1
cond,1959.0,1,1,5,5.0,3.861755921728849e-07,10,0.1,0.1
cond,1369.0,1,1,4,4.0,6.377622225119056e-07,10,0.1,0.1
cond,589.0,1,1,5,5.0,8.224778534005715e-07,10,0.1,0.1
cond,1639.0,1,1,5,5.0,1.5435197993610269e-06,10,0.1,0.1
cond,1387.0,1,1,4,4.0,2.171884943086149e-06,10,0.1,0.1
cond,1634.0,1,1,5,5.0,1.5270260278988572e-05,10,0.1,0.1
cond,510.0,1,1,3,3.0,0.000174755613685,10,0.1,0.1
cond,1595.0,1,1,4,4.0,0.000295384137913,10,0.1,0.1
gen,730.0,4,4,2,2.75,3.683264894615456e-22,10,0.4,0.4
gen,740.0,4,4,3,3.5,1.227447963052811e-16,10,0.4,0.4
gen,707.0,2,2,1,1.0,5.484888861730042e-25,10,0.2,0.2
gen,550.0,2,2,1,1.5,7.399571712781317e-22,10,0.2,0.2
gen,721.0,2,2,1,1.0,2.9944321547889685e-18,10,0.2,0.2
gen,580.0,2,2,3,3.5,1.1748562778981517e-15,10,0.2,0.2
gen,1380.0,2,2,4,4.5,5.380029775948384e-08,10,0.2,0.2
gen,679.0,2,2,4,4.5,3.774659295590211e-07,10,0.2,0.2
gen,522.0,1,1,1,1.0,7.613600663222552e-27,10,0.1,0.1
gen,710.0,1,1,2,2.0,3.4977443149578314e-25,10,0.1,0.1
gen,704.0,1,1,1,1.0,5.768593581237445e-24,10,0.1,0.1
gen,705.0,1,1,1,1.0,9.703560464297976e-21,10,0.1,0.1
gen,1381.0,1,1,3,3.0,6.342996960151935e-19,10,0.1,0.1
gen,1375.0,1,1,2,2.0,3.2498719943846698e-18,10,0.1,0.1
gen,630.0,1,1,3,3.0,6.366538630717899e-18,10,0.1,0.1
gen,712.0,1,1,1,1.0,1.3520854133310084e-14,10,0.1,0.1
gen,706.0,1,1,1,1.0,2.09162636924178e-14,10,0.1,0.1
gen,519.0,1,1,4,4.0,4.8947205779693806e-14,10,0.1,0.1
gen,610.0,1,1,2,2.0,1.182777331177991e-13,10,0.1,0.1
gen,720.0,1,1,3,3.0,1.1974620594560056e-13,10,0.1,0.1
gen,1730.0,1,1,2,2.0,2.993617599990181e-13,10,0.1,0.1
gen,1390.0,1,1,5,5.0,1.1164739772684894e-12,10,0.1,0.1
gen,980.0,1,1,3,3.0,7.622351894322498e-12,10,0.1,0.1
gen,553.0,1,1,4,4.0,3.0393489492719197e-10,10,0.1,0.1
gen,1386.0,1,1,5,5.0,3.3100012550640006e-10,10,0.1,0.1
gen,551.0,1,1,2,2.0,8.30799279839887e-08,10,0.1,0.1
gen,552.0,1,1,2,2.0,4.344210154076447e-07,10,0.1,0.1
gen,1369.0,1,1,5,5.0,1.4923437555530745e-06,10,0.1,0.1
gen,2189.0,1,1,5,5.0,1.8571013312399e-06,10,0.1,0.1
gen,1360.0,1,1,4,4.0,3.3739065633326737e-06,10,0.1,0.1
gen,540.0,1,1,2,2.0,2.7452040195953558e-05,10,0.1,0.1
gen,1359.0,1,1,4,4.0,0.0003156866722499,10,0.1,0.1
gen,1391.0,1,1,3,3.0,0.0004478022758452,10,0.1,0.1
gen,400.0,1,1,5,5.0,0.0004511841910501,10,0.1,0.1
gen_cond,400.0,4,4,1,1.25,1.728522632715259e-26,10,0.4,0.4
gen_cond,530.0,3,3,2,3.6666666666666665,2.359267131901225e-28,10,0.3,0.3
gen_cond,401.0,2,2,1,2.5,1.3106927168707852e-28,10,0.2,0.2
gen_cond,550.0,2,2,2,2.0,1.6087903827791048e-24,10,0.2,0.2
gen_cond,720.0,2,2,3,3.0,4.790983261779158e-24,10,0.2,0.2
gen_cond,730.0,2,2,3,4.0,1.6393943319078102e-22,10,0.2,0.2
gen_cond,1386.0,2,2,5,5.0,1.3690336235534336e-18,10,0.2,0.2
gen_cond,1526.0,1,1,3,3.0,4.4443502930968525e-28,10,0.1,0.1
gen_cond,521.0,1,1,1,1.0,2.7984717507812795e-25,10,0.1,0.1
gen_cond,710.0,1,1,2,2.0,4.9370071282048046e-24,10,0.1,0.1
gen_cond,417.0,1,1,1,1.0,3.7353848844405313e-23,10,0.1,0.1
gen_cond,706.0,1,1,2,2.0,3.7353848844405313e-23,10,0.1,0.1
gen_cond,1522.0,1,1,1,1.0,8.288712543623197e-23,10,0.1,0.1
gen_cond,729.0,1,1,4,4.0,1.3617688141336887e-22,10,0.1,0.1
gen_cond,572.0,1,1,4,4.0,3.7906368532288296e-22,10,0.1,0.1
gen_cond,1527.0,1,1,4,4.0,5.507926551528117e-22,10,0.1,0.1
gen_cond,528.0,1,1,1,1.0,1.0004076412120177e-21,10,0.1,0.1
gen_cond,707.0,1,1,1,1.0,1.3776203915262348e-21,10,0.1,0.1
gen_cond,1521.0,1,1,2,2.0,1.755938436187981e-21,10,0.1,0.1
gen_cond,1600.0,1,1,5,5.0,5.358865411126331e-21,10,0.1,0.1
gen_cond,1590.0,1,1,3,3.0,9.178575173325735e-21,10,0.1,0.1
gen_cond,630.0,1,1,3,3.0,1.1773645956671937e-19,10,0.1,0.1
gen_cond,1374.0,1,1,2,2.0,2.680134443391726e-19,10,0.1,0.1
gen_cond,719.0,1,1,3,3.0,4.910802079883877e-19,10,0.1,0.1
gen_cond,717.0,1,1,1,1.0,2.519401067543116e-18,10,0.1,0.1
gen_cond,741.0,1,1,5,5.0,8.033056917351949e-18,10,0.1,0.1
gen_cond,1969.0,1,1,4,4.0,9.217042926370368e-17,10,0.1,0.1
gen_cond,1729.0,1,1,5,5.0,4.716600398417742e-16,10,0.1,0.1
gen_cond,740.0,1,1,3,3.0,4.936509315639737e-16,10,0.1,0.1
gen_cond,1510.0,1,1,2,2.0,1.1075105601051402e-15,10,0.1,0.1
gen_cond,1490.0,1,1,4,4.0,2.231464953970758e-15,10,0.1,0.1
gen_cond,1359.0,1,1,5,5.0,1.6989675818016574e-14,10,0.1,0.1
gen_cond,620.0,1,1,4,4.0,1.668406577834715e-13,10,0.1,0.1
gen_cond,723.0,1,1,2,2.0,4.47703051478917e-13,10,0.1,0.1
gen_cond,1383.0,1,1,3,3.0,2.0030474535259266e-12,10,0.1,0.1
gen_cond,1389.0,1,1,5,5.0,2.780274047656681e-12,10,0.1,0.1
gen_cond,520.0,1,1,3,3.0,4.9365690983336226e-12,10,0.1,0.1
gen_cond,1906.0,1,1,4,4.0,1.2272275351049283e-11,10,0.1,0.1
gen_cond,1901.0,1,1,4,4.0,8.485847280821998e-11,10,0.1,0.1
gen_cond,1369.0,1,1,5,5.0,3.677158072307051e-10,10,0.1,0.1
