analysis,wavelength_nm,count_top5,n_slots_present,best_rank,mean_rank,min_q,n_slots,freq_rel,persistencia
cond,400.0,5,5,1,1.0,7.549372294188427e-32,10,0.5,0.5
cond,579.0,2,2,2,2.5,9.142598950987489e-14,10,0.2,0.2
cond,1539.0,1,1,2,2.0,1.4194297717922904e-29,10,0.1,0.1
cond,530.0,1,1,3,3.0,1.0323354150563847e-26,10,0.1,0.1
cond,411.0,1,1,1,1.0,1.4026510946499833e-23,10,0.1,0.1
cond,1541.0,1,1,2,2.0,1.9188748753602937e-21,10,0.1,0.1
cond,1536.0,1,1,2,2.0,4.210126241614542e-20,10,0.1,0.1
cond,1530.0,1,1,2,2.0,5.658688505523201e-20,10,0.1,0.1
cond,1600.0,1,1,3,3.0,1.3615829787188056e-16,10,0.1,0.1
cond,432.0,1,1,1,1.0,8.197203348457055e-16,10,0.1,0.1
cond,629.0,1,1,3,3.0,9.42909277489777e-16,10,0.1,0.1
cond,1520.0,1,1,1,1.0,3.6933804373783005e-15,10,0.1,0.1
cond,1906.0,1,1,2,2.0,7.059590273113205e-11,10,0.1,0.1
cond,1900.0,1,1,1,1.0,9.788810630771363e-11,10,0.1,0.1
cond,1580.0,1,1,2,2.0,1.0503301357760771e-10,10,0.1,0.1
cond,739.0,1,1,3,3.0,2.4447649247075995e-10,10,0.1,0.1
cond,1510.0,1,1,1,1.0,2.566671066849432e-10,10,0.1,0.1
cond,1383.0,1,1,2,2.0,2.794942917682281e-10,10,0.1,0.1
cond,728.0,1,1,3,3.0,2.1817147321582156e-09,10,0.1,0.1
cond,1347.0,1,1,2,2.0,5.831269243658221e-09,10,0.1,0.1
cond,415.0,1,1,3,3.0,1.0702976690409952e-08,10,0.1,0.1
cond,649.0,1,1,2,2.0,1.6847540094980926e-08,10,0.1,0.1
cond,1907.0,1,1,3,3.0,2.3178151923556024e-08,10,0.1,0.1
cond,406.0,1,1,3,3.0,1.6768530728243e-07,10,0.1,0.1
cond,510.0,1,1,3,3.0,0.000174755613685,10,0.1,0.1
gen,730.0,3,3,2,2.3333333333333335,3.683264894615456e-22,10,0.3,0.3
gen,740.0,3,3,3,3.0,1.227447963052811e-16,10,0.3,0.3
gen,707.0,2,2,1,1.0,5.484888861730042e-25,10,0.2,0.2
gen,550.0,2,2,1,1.5,7.399571712781317e-22,10,0.2,0.2
gen,721.0,2,2,1,1.0,2.9944321547889685e-18,10,0.2,0.2
gen,522.0,1,1,1,1.0,7.613600663222552e-27,10,0.1,0.1
gen,710.0,1,1,2,2.0,3.4977443149578314e-25,10,0.1,0.1
gen,704.0,1,1,1,1.0,5.768593581237445e-24,10,0.1,0.1
gen,705.0,1,1,1,1.0,9.703560464297976e-21,10,0.1,0.1
gen,1381.0,1,1,3,3.0,6.342996960151935e-19,10,0.1,0.1
gen,1375.0,1,1,2,2.0,3.2498719943846698e-18,10,0.1,0.1
gen,630.0,1,1,3,3.0,6.366538630717899e-18,10,0.1,0.1
gen,712.0,1,1,1,1.0,1.3520854133310084e-14,10,0.1,0.1
gen,706.0,1,1,1,1.0,2.09162636924178e-14,10,0.1,0.1
gen,580.0,1,1,3,3.0,4.0660457165163455e-14,10,0.1,0.1
gen,610.0,1,1,2,2.0,1.182777331177991e-13,10,0.1,0.1
gen,720.0,1,1,3,3.0,1.1974620594560056e-13,10,0.1,0.1
gen,1730.0,1,1,2,2.0,2.993617599990181e-13,10,0.1,0.1
gen,980.0,1,1,3,3.0,7.622351894322498e-12,10,0.1,0.1
gen,551.0,1,1,2,2.0,8.30799279839887e-08,10,0.1,0.1
gen,552.0,1,1,2,2.0,4.344210154076447e-07,10,0.1,0.1
gen,540.0,1,1,2,2.0,2.7452040195953558e-05,10,0.1,0.1
gen,1391.0,1,1,3,3.0,0.0004478022758452,10,0.1,0.1
gen_cond,400.0,4,4,1,1.25,1.728522632715259e-26,10,0.4,0.4
gen_cond,550.0,2,2,2,2.0,1.6087903827791048e-24,10,0.2,0.2
gen_cond,720.0,2,2,3,3.0,4.790983261779158e-24,10,0.2,0.2
gen_cond,401.0,1,1,1,1.0,1.3106927168707852e-28,10,0.1,0.1
gen_cond,530.0,1,1,2,2.0,2.359267131901225e-28,10,0.1,0.1
gen_cond,1526.0,1,1,3,3.0,4.4443502930968525e-28,10,0.1,0.1
gen_cond,521.0,1,1,1,1.0,2.7984717507812795e-25,10,0.1,0.1
gen_cond,710.0,1,1,2,2.0,4.9370071282048046e-24,10,0.1,0.1
gen_cond,417.0,1,1,1,1.0,3.7353848844405313e-23,10,0.1,0.1
gen_cond,706.0,1,1,2,2.0,3.7353848844405313e-23,10,0.1,0.1
gen_cond,1522.0,1,1,1,1.0,8.288712543623197e-23,10,0.1,0.1
gen_cond,730.0,1,1,3,3.0,1.6393943319078102e-22,10,0.1,0.1
gen_cond,528.0,1,1,1,1.0,1.0004076412120177e-21,10,0.1,0.1
gen_cond,707.0,1,1,1,1.0,1.3776203915262348e-21,10,0.1,0.1
gen_cond,1521.0,1,1,2,2.0,1.755938436187981e-21,10,0.1,0.1
gen_cond,1590.0,1,1,3,3.0,9.178575173325735e-21,10,0.1,0.1
gen_cond,630.0,1,1,3,3.0,1.1773645956671937e-19,10,0.1,0.1
gen_cond,1374.0,1,1,2,2.0,2.680134443391726e-19,10,0.1,0.1
gen_cond,719.0,1,1,3,3.0,4.910802079883877e-19,10,0.1,0.1
gen_cond,717.0,1,1,1,1.0,2.519401067543116e-18,10,0.1,0.1
gen_cond,740.0,1,1,3,3.0,4.936509315639737e-16,10,0.1,0.1
gen_cond,1510.0,1,1,2,2.0,1.1075105601051402e-15,10,0.1,0.1
gen_cond,723.0,1,1,2,2.0,4.47703051478917e-13,10,0.1,0.1
gen_cond,1383.0,1,1,3,3.0,2.0030474535259266e-12,10,0.1,0.1
gen_cond,520.0,1,1,3,3.0,4.9365690983336226e-12,10,0.1,0.1
