slot,analysis_a,analysis_b,n_a,n_b,intersection,jaccard,overlap_coef,p_perm_intersection_ge_obs
D02M_MANHA,cond,gen,3,3,0,0.0,0.0,1.0
D02M_MANHA,cond,gen_cond,3,3,0,0.0,0.0,1.0
D02M_MANHA,gen,gen_cond,3,3,2,0.5,0.6666666666666666,0.3745250949810038
D02T_TARDE,cond,gen,3,3,0,0.0,0.0,1.0
D02T_TARDE,cond,gen_cond,3,3,0,0.0,0.0,1.0
D02T_TARDE,gen,gen_cond,3,3,1,0.2,0.3333333333333333,0.8228354329134173
D03M_MANHA,cond,gen,3,3,0,0.0,0.0,1.0
D03M_MANHA,cond,gen_cond,3,3,1,0.2,0.3333333333333333,0.8258348330333933
D03M_MANHA,gen,gen_cond,3,3,0,0.0,0.0,1.0
D03T_TARDE,cond,gen,3,3,0,0.0,0.0,1.0
D03T_TARDE,cond,gen_cond,3,3,0,0.0,0.0,1.0
D03T_TARDE,gen,gen_cond,3,3,1,0.2,0.3333333333333333,0.8134373125374925
D04M_MANHA,cond,gen,3,3,0,0.0,0.0,1.0
D04M_MANHA,cond,gen_cond,3,3,0,0.0,0.0,1.0
D04M_MANHA,gen,gen_cond,3,3,1,0.2,0.3333333333333333,0.8136372725454909
D05M_MANHA,cond,gen,3,3,0,0.0,0.0,1.0
D05M_MANHA,cond,gen_cond,3,3,1,0.2,0.3333333333333333,0.8258348330333933
D05M_MANHA,gen,gen_cond,3,3,0,0.0,0.0,1.0
D06M_MANHA,cond,gen,3,3,0,0.0,0.0,1.0
D06M_MANHA,cond,gen_cond,3,3,1,0.2,0.3333333333333333,0.8242351529694061
D06M_MANHA,gen,gen_cond,3,3,0,0.0,0.0,1.0
D09M_MANHA,cond,gen,3,3,0,0.0,0.0,1.0
D09M_MANHA,cond,gen_cond,3,3,1,0.2,0.3333333333333333,0.823635272945411
D09M_MANHA,gen,gen_cond,3,3,0,0.0,0.0,1.0
D09T_TARDE,cond,gen,3,3,0,0.0,0.0,1.0
D09T_TARDE,cond,gen_cond,3,3,1,0.2,0.3333333333333333,0.8910217956408718
D09T_TARDE,gen,gen_cond,3,3,1,0.2,0.3333333333333333,0.8840231953609278
D10M_MANHA,cond,gen,3,3,0,0.0,0.0,1.0
D10M_MANHA,cond,gen_cond,3,3,0,0.0,0.0,1.0
D10M_MANHA,gen,gen_cond,3,3,0,0.0,0.0,1.0
