analysis,family_nm,count_top5,wavelengths_distintas,mean_persistencia,min_q
cond,400.0,6,2,0.3,7.549372294188427e-32
cond,1600.0,4,1,0.4,1.3615829787188056e-16
cond,1530.0,3,3,0.10000000000000002,1.4194297717922904e-29
cond,1900.0,3,3,0.10000000000000002,7.059590273113205e-11
cond,1340.0,3,2,0.15000000000000002,8.25189655434256e-10
cond,410.0,2,2,0.1,1.4026510946499833e-23
cond,540.0,2,1,0.2,3.179064562831894e-22
cond,610.0,2,1,0.2,4.5472463829095325e-15
cond,570.0,2,1,0.2,9.142598950987489e-14
cond,730.0,2,1,0.2,2.845585746409285e-12
cond,1380.0,2,2,0.1,2.794942917682281e-10
cond,1630.0,2,2,0.1,1.5435197993610269e-06
cond,1540.0,1,1,0.1,1.9188748753602937e-21
cond,1930.0,1,1,0.1,1.4323754832885129e-18
cond,1620.0,1,1,0.1,6.362720137636866e-18
cond,430.0,1,1,0.1,8.197203348457055e-16
cond,1500.0,1,1,0.1,3.6933804373783005e-15
cond,1580.0,1,1,0.1,1.0503301357760771e-10
cond,1520.0,1,1,0.1,2.566671066849432e-10
cond,1970.0,1,1,0.1,2.079311738500084e-09
cond,720.0,1,1,0.1,2.1817147321582156e-09
cond,1350.0,1,1,0.1,4.974898364182607e-09
cond,1780.0,1,1,0.1,6.003277147834179e-08
cond,1950.0,1,1,0.1,3.861755921728849e-07
cond,1810.0,1,1,0.1,3.7847508298655177e-06
cond,680.0,1,1,0.1,6.185225410929231e-06
cond,1830.0,1,1,0.1,7.620268205306619e-05
cond,1590.0,1,1,0.1,0.000295384137913
cond,1510.0,1,1,0.1,0.0011131174325563
gen,1380.0,6,4,0.15,6.342996960151935e-19
gen,700.0,5,4,0.125,5.484888861730042e-25
gen,740.0,5,1,0.5,1.227447963052811e-16
gen,720.0,4,2,0.2,1.8607357412034454e-20
gen,550.0,3,3,0.10000000000000002,3.0393489492719197e-10
gen,530.0,2,2,0.1,7.399571712781317e-22
gen,1370.0,2,2,0.1,3.2498719943846698e-18
gen,580.0,2,1,0.2,1.1748562778981517e-15
gen,1360.0,2,2,0.1,3.3739065633326737e-06
gen,1830.0,2,1,0.2,1.3988316083135105e-05
gen,520.0,1,1,0.1,7.613600663222552e-27
gen,710.0,1,1,0.1,1.3520854133310084e-14
gen,510.0,1,1,0.1,4.8947205779693806e-14
gen,640.0,1,1,0.1,1.1131578932858959e-13
gen,1720.0,1,1,0.1,2.993617599990181e-13
gen,1400.0,1,1,0.1,3.3172338071580722e-12
gen,620.0,1,1,0.1,6.711727424565761e-12
gen,950.0,1,1,0.1,7.622351894322498e-12
gen,540.0,1,1,0.1,8.588470537327283e-12
gen,1880.0,1,1,0.1,4.269846134826869e-09
gen,1680.0,1,1,0.1,6.089626703415662e-07
gen,2180.0,1,1,0.1,1.8571013312399e-06
gen,1350.0,1,1,0.1,0.0003156866722499
gen,1390.0,1,1,0.1,0.0004478022758452
gen,400.0,1,1,0.1,0.0004511841910501
gen_cond,400.0,6,2,0.30000000000000004,1.3106927168707852e-28
gen_cond,540.0,4,3,0.13333333333333333,2.7178767265189584e-26
gen_cond,720.0,4,2,0.2,4.790983261779158e-24
gen_cond,1380.0,4,3,0.13333333333333333,1.3690336235534336e-18
gen_cond,1900.0,4,3,0.13333333333333333,2.2113356103573453e-14
gen_cond,1520.0,3,3,0.10000000000000002,4.4443502930968525e-28
gen_cond,520.0,3,3,0.10000000000000002,2.7984717507812795e-25
gen_cond,1350.0,3,2,0.15000000000000002,1.6989675818016574e-14
gen_cond,700.0,2,2,0.1,3.7353848844405313e-23
gen_cond,1600.0,2,1,0.2,5.358865411126331e-21
gen_cond,710.0,2,2,0.1,4.910802079883877e-19
gen_cond,740.0,2,1,0.2,1.31730697985461e-16
gen_cond,410.0,1,1,0.1,3.7353848844405313e-23
gen_cond,1540.0,1,1,0.1,8.288712543623197e-23
gen_cond,1370.0,1,1,0.1,2.680134443391726e-19
gen_cond,640.0,1,1,0.1,6.569120405605018e-17
gen_cond,1950.0,1,1,0.1,2.918228405917404e-16
gen_cond,1510.0,1,1,0.1,1.1075105601051402e-15
gen_cond,1710.0,1,1,0.1,1.263443679176123e-15
gen_cond,570.0,1,1,0.1,1.4974682703565389e-15
gen_cond,1480.0,1,1,0.1,2.231464953970758e-15
gen_cond,620.0,1,1,0.1,1.668406577834715e-13
gen_cond,1340.0,1,1,0.1,1.4469487101801878e-10
