slot,analysis_a,analysis_b,n_a,n_b,intersection,jaccard,overlap_coef,p_perm_intersection_ge_obs
D02M_MANHA,cond,gen,4,5,0,0.0,0.0,1.0
D02M_MANHA,cond,gen_cond,4,5,0,0.0,0.0,1.0
D02M_MANHA,gen,gen_cond,5,5,2,0.25,0.4,0.7450509898020395
D02T_TARDE,cond,gen,5,5,0,0.0,0.0,1.0
D02T_TARDE,cond,gen_cond,5,5,1,0.1111111111111111,0.2,0.9724055188962207
D02T_TARDE,gen,gen_cond,5,5,2,0.25,0.4,0.750249950009998
D03M_MANHA,cond,gen,5,5,0,0.0,0.0,1.0
D03M_MANHA,cond,gen_cond,5,5,1,0.1111111111111111,0.2,0.935612877424515
D03M_MANHA,gen,gen_cond,5,5,0,0.0,0.0,1.0
D03T_TARDE,cond,gen,5,5,0,0.0,0.0,1.0
D03T_TARDE,cond,gen_cond,5,5,0,0.0,0.0,1.0
D03T_TARDE,gen,gen_cond,5,5,1,0.1111111111111111,0.2,0.9346130773845231
D04M_MANHA,cond,gen,5,5,0,0.0,0.0,1.0
D04M_MANHA,cond,gen_cond,5,5,0,0.0,0.0,1.0
D04M_MANHA,gen,gen_cond,5,5,1,0.1111111111111111,0.2,0.9410117976404719
D05M_MANHA,cond,gen,5,5,0,0.0,0.0,1.0
D05M_MANHA,cond,gen_cond,5,5,3,0.42857142857142855,0.6,0.3085382923415317
D05M_MANHA,gen,gen_cond,5,5,0,0.0,0.0,1.0
D06M_MANHA,cond,gen,5,3,0,0.0,0.0,1.0
D06M_MANHA,cond,gen_cond,5,5,1,0.1111111111111111,0.2,0.9712057588482303
D06M_MANHA,gen,gen_cond,3,5,0,0.0,0.0,1.0
D09M_MANHA,cond,gen,5,3,0,0.0,0.0,1.0
D09M_MANHA,cond,gen_cond,5,5,2,0.25,0.4,0.8230353929214157
D09M_MANHA,gen,gen_cond,3,5,0,0.0,0.0,1.0
D09T_TARDE,cond,gen,5,5,0,0.0,0.0,1.0
D09T_TARDE,cond,gen_cond,5,5,1,0.1111111111111111,0.2,0.9580083983203359
D09T_TARDE,gen,gen_cond,5,5,1,0.1111111111111111,0.2,0.9516096780643871
D10M_MANHA,cond,gen,5,4,0,0.0,0.0,1.0
D10M_MANHA,cond,gen_cond,5,5,1,0.1111111111111111,0.2,0.9750049990002
D10M_MANHA,gen,gen_cond,4,5,1,0.125,0.25,0.9244151169766047
