target,classe,dia,banda_nm,reflectancia_media,n_amostras_efetivo
condicao,irrigado,2017-02-23,1580,0.36353159593333334,192
condicao,irrigado,2017-02-23,400,0.07454481323333334,192
condicao,irrigado,2017-02-23,739,0.44836104150000006,192
condicao,irrigado,2017-02-23,579,0.0772265857,192
condicao,irrigado,2017-02-23,530,0.10285596396666667,192
condicao,nao_irrigado,2017-02-23,1580,0.3828143741,192
condicao,nao_irrigado,2017-02-23,400,0.07077561856666667,192
condicao,nao_irrigado,2017-02-23,739,0.46345064469999997,192
condicao,nao_irrigado,2017-02-23,579,0.08102505856666666,192
condicao,nao_irrigado,2017-02-23,530,0.10842914399999999,192
condicao,irrigado,2017-02-24,1580,0.3488919782,192
condicao,irrigado,2017-02-24,400,0.08434181973333334,192
condicao,irrigado,2017-02-24,739,0.4284147632,192
condicao,irrigado,2017-02-24,579,0.08102697669999999,192
condicao,irrigado,2017-02-24,530,0.10571792406666665,192
condicao,nao_irrigado,2017-02-24,1580,0.3844262144000001,192
condicao,nao_irrigado,2017-02-24,400,0.06684081946666667,192
condicao,nao_irrigado,2017-02-24,739,0.46181311243333334,192
condicao,nao_irrigado,2017-02-24,579,0.08398462283333334,192
condicao,nao_irrigado,2017-02-24,530,0.1116356096,192
condicao,irrigado,2017-02-25,1580,0.33627076406666667,96
condicao,irrigado,2017-02-25,400,0.10367422146666666,96
condicao,irrigado,2017-02-25,739,0.41776045696666664,96
condicao,irrigado,2017-02-25,579,0.0907440871,96
condicao,irrigado,2017-02-25,530,0.11491572239999999,96
condicao,nao_irrigado,2017-02-25,1580,0.3618115002333333,96
condicao,nao_irrigado,2017-02-25,400,0.06706908353333334,96
condicao,nao_irrigado,2017-02-25,739,0.45194361090000007,96
condicao,nao_irrigado,2017-02-25,579,0.08066757540000001,96
condicao,nao_irrigado,2017-02-25,530,0.10838161736666667,96
condicao,irrigado,2017-02-26,1580,0.3338127660333334,96
condicao,irrigado,2017-02-26,400,0.1040875747,96
condicao,irrigado,2017-02-26,739,0.4120345130333333,96
condicao,irrigado,2017-02-26,579,0.09106204703333333,96
condicao,irrigado,2017-02-26,530,0.11517322636666666,96
condicao,nao_irrigado,2017-02-26,1580,0.3877185854666667,96
condicao,nao_irrigado,2017-02-26,400,0.06550527306666666,96
condicao,nao_irrigado,2017-02-26,739,0.46208299703333333,96
condicao,nao_irrigado,2017-02-26,579,0.08407593586666667,96
condicao,nao_irrigado,2017-02-26,530,0.11298793480000001,96
condicao,irrigado,2017-02-27,1580,0.3287810898666667,96
condicao,irrigado,2017-02-27,400,0.10823860393333333,96
condicao,irrigado,2017-02-27,739,0.41212425796666663,96
condicao,irrigado,2017-02-27,579,0.09237396096666667,96
condicao,irrigado,2017-02-27,530,0.11544029160000001,96
condicao,nao_irrigado,2017-02-27,1580,0.3949015853333333,96
condicao,nao_irrigado,2017-02-27,400,0.0652980042,96
condicao,nao_irrigado,2017-02-27,739,0.4718162491,96
condicao,nao_irrigado,2017-02-27,579,0.07956286383333333,96
condicao,nao_irrigado,2017-02-27,530,0.10702769533333334,96
condicao,irrigado,2017-03-02,1580,0.3521714155265307,196
condicao,irrigado,2017-03-02,400,0.08527240382448979,196
condicao,irrigado,2017-03-02,739,0.43231006084081636,196
condicao,irrigado,2017-03-02,579,0.08060032832448981,196
condicao,irrigado,2017-03-02,530,0.10357470433877551,196
condicao,nao_irrigado,2017-03-02,1580,0.3759558697,192
condicao,nao_irrigado,2017-03-02,400,0.06352287896666667,192
condicao,nao_irrigado,2017-03-02,739,0.45443979243333327,192
condicao,nao_irrigado,2017-03-02,579,0.0753124051,192
condicao,nao_irrigado,2017-03-02,530,0.0999631433,192
