target,classe,dia,banda_nm,reflectancia_media,n_amostras_efetivo
condicao_genotipo,irrigado|BR16,2017-02-23,720,0.3200804184,64
condicao_genotipo,irrigado|BR16,2017-02-23,401,0.0727728958,64
condicao_genotipo,irrigado|BR16,2017-02-23,400,0.0732847499,64
condicao_genotipo,irrigado|BR16,2017-02-23,550,0.1047586652,64
condicao_genotipo,irrigado|BR16,2017-02-23,530,0.0941230829,64
condicao_genotipo,nao_irrigado|BR16,2017-02-23,720,0.3272704096,64
condicao_genotipo,nao_irrigado|BR16,2017-02-23,401,0.0691699602,64
condicao_genotipo,nao_irrigado|BR16,2017-02-23,400,0.069671492,64
condicao_genotipo,nao_irrigado|BR16,2017-02-23,550,0.1058409516,64
condicao_genotipo,nao_irrigado|BR16,2017-02-23,530,0.0949882274,64
condicao_genotipo,irrigado|CD202,2017-02-23,720,0.3295341695,64
condicao_genotipo,irrigado|CD202,2017-02-23,401,0.0744559097,64
condicao_genotipo,irrigado|CD202,2017-02-23,400,0.0749961533,64
condicao_genotipo,irrigado|CD202,2017-02-23,550,0.1201601781,64
condicao_genotipo,irrigado|CD202,2017-02-23,530,0.107883681,64
condicao_genotipo,nao_irrigado|CD202,2017-02-23,720,0.3391134794,64
condicao_genotipo,nao_irrigado|CD202,2017-02-23,401,0.0698175279,64
condicao_genotipo,nao_irrigado|CD202,2017-02-23,400,0.0706437782,64
condicao_genotipo,nao_irrigado|CD202,2017-02-23,550,0.1201532473,64
condicao_genotipo,nao_irrigado|CD202,2017-02-23,530,0.1080470068,64
condicao_genotipo,irrigado|EMB48,2017-02-23,720,0.3264178864,64
condicao_genotipo,irrigado|EMB48,2017-02-23,401,0.0751278268,64
condicao_genotipo,irrigado|EMB48,2017-02-23,400,0.0753535365,64
condicao_genotipo,irrigado|EMB48,2017-02-23,550,0.1194809395,64
condicao_genotipo,irrigado|EMB48,2017-02-23,530,0.106561128,64
condicao_genotipo,nao_irrigado|EMB48,2017-02-23,720,0.3555998824,64
condicao_genotipo,nao_irrigado|EMB48,2017-02-23,401,0.0717840412,64
condicao_genotipo,nao_irrigado|EMB48,2017-02-23,400,0.0720115855,64
condicao_genotipo,nao_irrigado|EMB48,2017-02-23,550,0.1360102542,64
condicao_genotipo,nao_irrigado|EMB48,2017-02-23,530,0.1222521978,64
condicao_genotipo,irrigado|BR16,2017-02-24,720,0.302085792,64
condicao_genotipo,irrigado|BR16,2017-02-24,401,0.0793397915,64
condicao_genotipo,irrigado|BR16,2017-02-24,400,0.0801251353,64
condicao_genotipo,irrigado|BR16,2017-02-24,550,0.1033923444,64
condicao_genotipo,irrigado|BR16,2017-02-24,530,0.0942111254,64
condicao_genotipo,nao_irrigado|BR16,2017-02-24,720,0.3330722504,64
condicao_genotipo,nao_irrigado|BR16,2017-02-24,401,0.0655524523,64
