analysis,wavelength_nm,n_obs,n_slots,n_datasets,mean_inv_rank,mean_neglog10_q,std_rank,slot_coverage,dataset_coverage,rank_stability,consensus_score,is_core
cond,400.0,30,5,6,1.0,23.551047587396305,0.0,0.5,1.0,1.0,0.797458093709148,True
cond,411.0,6,1,6,1.0,22.853050345017746,0.0,0.1,1.0,1.0,0.6538287259963645,False
cond,1520.0,6,2,6,1.0,12.818593898641621,0.0,0.2,1.0,1.0,0.6366526857047089,False
cond,432.0,6,1,6,1.0,15.086334291213563,0.0,0.1,1.0,1.0,0.613444227650818,False
cond,1900.0,6,1,6,1.0,10.009270073045894,0.0,0.1,1.0,1.0,0.5870450790147095,False
cond,1539.0,6,1,6,0.5,28.847886089913448,0.0,0.1,1.0,1.0,0.5850000000000001,False
cond,1541.0,6,1,6,0.5,20.716953343509577,0.0,0.1,1.0,1.0,0.5427216885785257,False
cond,1600.0,12,4,6,0.2833333333333333,12.024848558760494,0.7784989441615229,0.4,1.0,0.5622719109745956,0.5373057199973703,False
cond,1536.0,6,1,6,0.5,19.37570488154804,0.0,0.1,1.0,1.0,0.5357476153772114,False
cond,1530.0,6,1,6,0.5,19.24728421206498,0.0,0.1,1.0,1.0,0.5350798679948756,False
cond,1510.0,4,1,4,1.0,9.590629785012068,0.0,0.1,0.6666666666666666,1.0,0.5015349469027984,False
cond,579.0,12,2,6,0.4166666666666667,11.738485557944799,0.5222329678670935,0.2,1.0,0.6569296691827464,0.4972162763862073,False
cond,1906.0,6,1,6,0.5,10.151220503946732,0.0,0.1,1.0,1.0,0.48778317693178946,False
cond,1383.0,6,1,6,0.5,9.553627057469418,0.0,0.1,1.0,1.0,0.4846758776069027,False
cond,1347.0,6,1,6,0.5,8.234236905700287,0.0,0.1,1.0,1.0,0.477815460793396,False
cond,1580.0,9,2,6,0.4166666666666667,8.808342611682686,1.0,0.2,1.0,0.5,0.4741339645350204,False
cond,739.0,11,2,6,0.2818181818181818,10.490883543599203,0.904534033733291,0.2,1.0,0.5250628144669002,0.45716609576617895,False
cond,728.0,6,1,6,0.3333333333333333,8.661202035759029,0.0,0.1,1.0,1.0,0.4467022128177625,False
cond,1506.0,2,1,2,1.0,14.432575955456398,0.0,0.1,0.3333333333333333,1.0,0.44337822177233077,False
cond,415.0,6,1,6,0.3333333333333333,7.970495420405186,0.0,0.1,1.0,1.0,0.44311075408903083,False
cond,1907.0,6,1,6,0.3333333333333333,7.63492119483482,0.0,0.1,1.0,1.0,0.4413658728981295,False
cond,406.0,6,1,6,0.3333333333333333,6.775504988948531,0.0,0.1,1.0,1.0,0.4368971769777023,False
cond,530.0,7,2,4,0.29761904761904756,20.45194965387639,0.5345224838248488,0.2,0.6666666666666666,0.6516685226452117,0.43511765446179207,False
cond,1939.0,5,1,5,0.22000000000000003,17.843943121033238,0.5477225575051663,0.1,0.8333333333333334,0.6461106321354769,0.41242179745074425,False
cond,629.0,4,1,4,0.3333333333333333,15.025530091123725,0.0,0.1,0.6666666666666666,1.0,0.3964613981296166,False
cond,1340.0,7,2,5,0.21428571428571427,7.753758660352751,0.4879500364742667,0.2,0.8333333333333334,0.672065577127525,0.39511087899235964,False
cond,649.0,4,1,4,0.5,7.773463501389959,0.0,0.1,0.6666666666666666,1.0,0.39208624963278865,False
cond,1385.0,5,1,5,0.25,8.225409722343812,0.0,0.1,0.8333333333333334,1.0,0.3861028955295377,False
cond,1353.0,5,1,5,0.2,8.303215787345499,0.0,0.1,0.8333333333333334,1.0,0.3765074627728316,False
cond,1590.0,6,2,3,0.25,12.837762679416398,0.0,0.2,0.5,1.0,0.36175235737934225,False
cond,1610.0,3,1,3,0.25,19.004758678074005,0.0,0.1,0.5,1.0,0.358818810946007,False
cond,1959.0,5,1,5,0.22000000000000003,6.413215178820765,0.5477225575051663,0.1,0.8333333333333334,0.6461106321354769,0.35298558136240576,False
cond,1639.0,5,1,5,0.22999999999999998,5.811487795272855,0.5477225575051663,0.1,0.8333333333333334,0.6461106321354769,0.3518567868555616,False
cond,1595.0,5,1,5,0.2833333333333333,3.5296128299510046,0.5477225575051661,0.1,0.8333333333333334,0.646110632135477,0.35065841621129845,False
cond,1634.0,5,1,5,0.22000000000000003,4.816153560404932,0.5477225575051663,0.1,0.8333333333333334,0.6461106321354769,0.3446813596244346,False
cond,510.0,4,1,4,0.3333333333333333,3.7575688644906626,0.0,0.1,0.6666666666666666,1.0,0.337871518138863,False
cond,540.0,4,2,2,0.26666666666666666,15.979540686031935,1.1547005383792515,0.2,0.3333333333333333,0.4641016151377546,0.31296036942635924,False
cond,1919.0,3,1,3,0.25,9.57936866799493,0.0,0.1,0.5,1.0,0.3098097259438933,False
cond,1989.0,3,1,3,0.20000000000000004,9.363614481376601,0.0,0.1,0.5,1.0,0.2986878715420879,False
cond,1620.0,2,1,2,0.2,17.196357178658005,0.0,0.1,0.3333333333333333,1.0,0.29774902115042423,False
cond,680.0,2,1,2,0.5,5.208644468558887,0.0,0.1,0.3333333333333333,1.0,0.2954166581859301,False
cond,1387.0,3,1,3,0.25,5.663163185485733,0.0,0.1,0.5,1.0,0.28944668025848436,False
cond,619.0,4,2,2,0.29166666666666663,8.854069512555192,0.5773502691896257,0.2,0.3333333333333333,0.6339745962155614,0.2894037932855785,False
cond,589.0,3,1,3,0.20000000000000004,6.084875787329861,0.0,0.1,0.5,1.0,0.28163945410955477,False
cond,1839.0,3,1,3,0.20000000000000004,4.118029742829058,0.0,0.1,0.5,1.0,0.2714124688200408,False
cond,1979.0,2,1,2,0.2,8.682080394669947,0.0,0.1,0.3333333333333333,1.0,0.25347744043155984,False
cond,1369.0,2,1,2,0.25,6.195341209521605,0.0,0.1,0.3333333333333333,1.0,0.2505471731457821,False
cond,1787.0,2,1,2,0.2,7.221611606503088,0.0,0.1,0.3333333333333333,1.0,0.24588345876017403,False
cond,1819.0,2,1,2,0.2,5.421962707122034,0.0,0.1,0.3333333333333333,1.0,0.23652584641846613,False
cond,1529.0,2,1,2,0.2,2.9680733691005194,0.0,0.1,0.3333333333333333,1.0,0.22376638808047977,False
cond,1518.0,1,1,1,0.2,2.953459015700452,,0.1,0.16666666666666666,1.0,0.18202373133942157,False
gen,522.0,6,1,6,1.0,26.118409905865104,0.0,0.1,1.0,1.0,0.6708075761138559,False
gen,704.0,6,1,6,1.0,23.238930057617257,0.0,0.1,1.0,1.0,0.6558351800120772,False
gen,707.0,12,2,6,1.0,15.248943763417666,0.0,0.2,1.0,1.0,0.6492897461319501,False
gen,721.0,12,2,6,1.0,13.95450250621743,0.0,0.2,1.0,1.0,0.6425590557799827,False
gen,705.0,6,1,6,1.0,20.013068883643253,0.0,0.1,1.0,1.0,0.6390617091730723,False
gen,712.0,6,1,6,1.0,13.868995872472302,0.0,0.1,1.0,1.0,0.6071144479837027,False
gen,706.0,6,1,6,1.0,13.679515891634884,0.0,0.1,1.0,1.0,0.6061292112479146,False
gen,740.0,23,5,6,0.3144927536231884,9.35012857756946,0.6191923848741732,0.5,1.0,0.6175918373515014,0.5673958916454372,True
gen,1375.0,6,1,6,0.5,17.488133744629497,0.0,0.1,1.0,1.0,0.5259328348537685,False
gen,720.0,8,2,6,0.41666666666666663,14.623882503533032,0.5345224838248488,0.2,1.0,0.6516685226452117,0.5119563822196831,False
gen,550.0,8,2,4,0.75,16.098438793179405,0.5345224838248488,0.2,0.6666666666666666,0.6516685226452117,0.5029569478333148,False
gen,580.0,11,2,6,0.3409090909090909,14.090458431512264,0.7006490497453706,0.2,1.0,0.5880107951430219,0.49084834207864736,False
gen,1381.0,6,1,6,0.38888888888888884,18.197705496735843,0.5163977794943223,0.1,1.0,0.6594575734168332,0.4903730428516491,False
gen,730.0,15,4,4,0.40555555555555556,13.590311910448772,0.816496580927726,0.4,0.6666666666666666,0.5505102572168219,0.4859686690380464,False
gen,710.0,4,1,4,0.5,24.456211940615326,0.0,0.1,0.6666666666666666,1.0,0.47883133237764747,False
gen,538.0,2,1,2,1.0,21.130793416506666,0.0,0.1,0.3333333333333333,1.0,0.47820686107109867,False
gen,551.0,6,1,6,0.5,7.080503888595412,0.0,0.1,1.0,1.0,0.4718164093541905,False
gen,552.0,6,1,6,0.5,6.362089173624522,0.0,0.1,1.0,1.0,0.46808087715922275,False
gen,1391.0,6,1,6,0.3333333333333333,3.3489137035562284,0.0,0.1,1.0,1.0,0.41907997223670884,False
gen,610.0,4,1,4,0.5,12.927097007648332,0.0,0.1,0.6666666666666666,1.0,0.4188835346584338,False
gen,1380.0,11,3,5,0.22272727272727275,5.268631511094144,0.5222329678670935,0.3,0.8333333333333334,0.6569296691827464,0.41812051008092777,False
gen,1730.0,4,1,4,0.5,12.523803676544977,0.0,0.1,0.6666666666666666,1.0,0.4167865352638524,False
gen,519.0,5,1,5,0.25,13.310272095466505,0.0,0.1,0.8333333333333334,1.0,0.41254259213646133,False
gen,630.0,4,1,4,0.3333333333333333,17.196096621377457,0.0,0.1,0.6666666666666666,1.0,0.4077476663339236,False
gen,553.0,5,1,5,0.25,9.517219435476706,0.0,0.1,0.8333333333333334,1.0,0.3928199026740468,False
gen,1386.0,5,1,5,0.2,9.48017184155139,0.0,0.1,0.8333333333333334,1.0,0.38262726675363734,False
gen,980.0,4,1,4,0.3333333333333333,11.117911005414975,0.0,0.1,0.6666666666666666,1.0,0.3761429990264929,False
gen,540.0,4,1,4,0.5,4.561425373876221,0.0,0.1,0.6666666666666666,1.0,0.37538465431917145,False
gen,1360.0,5,1,5,0.25,5.471866948892987,0.0,0.1,0.8333333333333334,1.0,0.3717853328932224,False
gen,1369.0,4,2,4,0.2,5.141826551635398,0.0,0.2,0.6666666666666666,1.0,0.35340255921495917,False
gen,1359.0,5,1,5,0.2833333333333333,3.5007437528892402,0.5477225575051661,0.1,0.8333333333333334,0.646110632135477,0.35050830602486166,False
gen,2189.0,5,1,5,0.22000000000000003,5.731164398684726,0.5477225575051663,0.1,0.8333333333333334,0.6461106321354769,0.34943913027404755,False
gen,400.0,5,1,5,0.22000000000000003,3.3456461259129866,0.5477225575051663,0.1,0.8333333333333334,0.6461106321354769,0.3370351801266961,False
gen,1835.0,6,2,4,0.20833333333333334,3.8888073482359893,0.40824829046386296,0.2,0.6666666666666666,0.7101020514433645,0.33405901984767655,False
gen,1726.0,2,1,2,0.5,12.523803676544977,0.0,0.1,0.3333333333333333,1.0,0.3334532019305191,False
gen,546.0,2,1,2,0.5,11.066084169852143,0.0,0.1,0.3333333333333333,1.0,0.32587351566434314,False
gen,1400.0,3,1,3,0.20000000000000004,11.47922391721128,0.0,0.1,0.5,1.0,0.30968838001560683,False
gen,679.0,6,2,3,0.225,6.351525588948349,0.5477225575051661,0.2,0.5,0.646110632135477,0.3053314814241288,False
gen,640.0,2,1,2,0.3333333333333333,12.95344322980785,0.0,0.1,0.3333333333333333,1.0,0.30235386012046633,False
gen,620.0,2,1,2,0.3333333333333333,11.173165689308489,0.0,0.1,0.3333333333333333,1.0,0.29309697279629343,False
gen,956.0,2,1,2,0.3333333333333333,11.117911005414975,0.0,0.1,0.3333333333333333,1.0,0.29280966569315964,False
gen,530.0,2,1,2,0.5,4.561425373876221,0.0,0.1,0.3333333333333333,1.0,0.29205132098583814,False
gen,1390.0,2,1,2,0.2,11.952151394993265,0.0,0.1,0.3333333333333333,1.0,0.2704807885631931,False
gen,1886.0,2,1,2,0.2,8.3695877746236,0.0,0.1,0.3333333333333333,1.0,0.25185257638222,False
gen,1689.0,2,1,2,0.25,6.215409328978885,0.0,0.1,0.3333333333333333,1.0,0.2506515211007487,False
gen,1384.0,2,1,2,0.2,5.700517384222398,0.0,0.1,0.3333333333333333,1.0,0.23797424376150972,False
gen,1379.0,2,1,2,0.25,2.9233801336358125,0.0,0.1,0.3333333333333333,1.0,0.23353399721139456,False
gen,1410.0,1,1,1,0.2,10.086496186262206,,0.1,0.16666666666666666,1.0,0.21911329735647433,False
gen,1694.0,1,1,1,0.2,1.9098516990916883,,0.1,0.16666666666666666,1.0,0.17659729915636996,False
gen_cond,400.0,24,4,6,0.875,21.93539876329415,0.4423258684646914,0.4,1.0,0.6933245959628161,0.7137234541035491,False
gen_cond,521.0,6,1,6,1.0,24.553079072727854,0.0,0.1,1.0,1.0,0.662668344551489,False
gen_cond,417.0,6,1,6,1.0,22.42766464295785,0.0,0.1,1.0,1.0,0.651616853171087,False
gen_cond,528.0,6,1,6,1.0,20.99982299974487,0.0,0.1,1.0,1.0,0.6441925224657313,False
gen_cond,707.0,6,1,6,1.0,20.860870437419326,0.0,0.1,1.0,1.0,0.6434700125291672,False
gen_cond,717.0,6,1,6,1.0,17.598702690955243,0.0,0.1,1.0,1.0,0.6265077588498342,False
gen_cond,401.0,11,2,6,0.6590909090909091,21.26389186402115,1.5666989036012806,0.2,1.0,0.38960549622588037,0.5818640547347178,False
gen_cond,1522.0,4,1,4,1.0,22.08151292163575,0.0,0.1,0.6666666666666666,1.0,0.5664836389717351,False
gen_cond,720.0,14,3,6,0.35714285714285715,18.382737188805756,0.36313651960128146,0.3,1.0,0.7336022369149796,0.5586931767005122,False
gen_cond,706.0,6,1,6,0.5,22.42766464295785,0.0,0.1,1.0,1.0,0.551616853171087,False
gen_cond,1521.0,6,1,6,0.5,20.755490714678515,0.0,0.1,1.0,1.0,0.5429220708754233,False
gen_cond,1526.0,6,1,6,0.38888888888888884,27.352191718326225,0.5163977794943223,0.1,1.0,0.6594575734168332,0.5379735127425325,False
gen_cond,1374.0,6,1,6,0.5,18.571843419941857,0.0,0.1,1.0,1.0,0.5315677867802353,False
gen_cond,1510.0,6,1,6,0.5,14.955652124090422,0.0,0.1,1.0,1.0,0.5127647211868998,False
gen_cond,723.0,6,1,6,0.5,12.34900994551841,0.0,0.1,1.0,1.0,0.4992109957746758,False
gen_cond,740.0,8,2,6,0.3125,15.450013281078741,0.46291004988627565,0.2,1.0,0.6835690274174673,0.49701369621129576,False
gen_cond,719.0,6,1,6,0.3333333333333333,18.308847568891487,0.0,0.1,1.0,1.0,0.49686695714112067,False
gen_cond,1540.0,2,1,2,1.0,22.08151292163575,0.0,0.1,0.3333333333333333,1.0,0.48315030563840183,False
gen_cond,550.0,8,2,4,0.5,17.79614565892874,0.0,0.2,0.6666666666666666,1.0,0.47920106729897727,False
gen_cond,710.0,4,1,4,0.5,23.306536245732104,0.0,0.1,0.6666666666666666,1.0,0.4728533777471077,False
gen_cond,530.0,10,3,4,0.335,21.267797277376353,1.35400640077266,0.3,0.6666666666666666,0.42480768092719207,0.4704929557482615,False
gen_cond,1383.0,6,1,6,0.3333333333333333,11.698308761859527,0.0,0.1,1.0,1.0,0.46249421946584623,False
gen_cond,520.0,6,1,6,0.3333333333333333,11.306574779684084,0.0,0.1,1.0,1.0,0.4604573250763172,False
gen_cond,1600.0,7,2,5,0.2523809523809524,19.79180822230947,0.8997354108424372,0.2,0.8333333333333334,0.5263890930772039,0.45804020128551093,False
gen_cond,1527.0,5,1,5,0.25,21.25901185971481,0.0,0.1,0.8333333333333334,1.0,0.4538735569399494,False
gen_cond,1359.0,7,2,5,0.2,11.475904505869869,0.0,0.2,0.8333333333333334,1.0,0.4280044534464413,False
gen_cond,1386.0,10,2,5,0.22666666666666666,14.108940055647633,0.8432740427115678,0.2,0.8333333333333334,0.5425129290753422,0.4241543959347831,False
gen_cond,1590.0,4,1,4,0.3333333333333333,20.037224730823677,0.0,0.1,0.6666666666666666,1.0,0.4225206453691515,False
gen_cond,630.0,4,1,4,0.3333333333333333,18.929089027923844,0.0,0.1,0.6666666666666666,1.0,0.416758685726185,False
gen_cond,620.0,5,1,5,0.25,12.77769810657993,0.0,0.1,0.8333333333333334,1.0,0.4097733736889121,False
gen_cond,730.0,7,2,4,0.2761904761904762,17.90596783976753,1.0690449676496976,0.2,0.6666666666666666,0.48331477354788277,0.4091759422631755,False
gen_cond,1906.0,5,1,5,0.25,10.911074909091008,0.0,0.1,0.8333333333333334,1.0,0.4000675159095708,False
gen_cond,1901.0,5,1,5,0.25,10.071304788465362,0.0,0.1,0.8333333333333334,1.0,0.39570097349806665,False
gen_cond,547.0,2,1,2,0.5,23.79350053858141,0.0,0.1,0.3333333333333333,1.0,0.3920521066834231,False
gen_cond,729.0,3,1,3,0.25,21.86589661582131,0.0,0.1,0.5,1.0,0.37369583484039043,False
gen_cond,572.0,3,1,3,0.25,21.421287819422975,0.0,0.1,0.5,1.0,0.37138400792690757,False
gen_cond,540.0,4,2,2,0.29166666666666663,21.388181560652548,0.5773502691896257,0.2,0.3333333333333333,0.6339745962155614,0.354577262196078,False
gen_cond,1969.0,3,1,3,0.25,16.035408389873407,0.0,0.1,0.5,1.0,0.3433791166182544,False
