analysis,family_nm,mean_consensus_score,max_consensus_score,n_bandas,slot_coverage_mean,dataset_coverage_mean
cond,400.0,0.6171776353434252,0.797458093709148,2,0.3,1.0
cond,430.0,0.613444227650818,0.613444227650818,1,0.1,1.0
cond,1530.0,0.5519424944573624,0.5850000000000001,3,0.10000000000000002,1.0
cond,410.0,0.5484697400426977,0.6538287259963645,2,0.1,1.0
cond,1540.0,0.5427216885785257,0.5427216885785257,1,0.1,1.0
cond,1600.0,0.5373057199973703,0.5373057199973703,1,0.4,1.0
cond,1900.0,0.5053980429482094,0.5870450790147095,3,0.10000000000000002,1.0
cond,570.0,0.4972162763862073,0.4972162763862073,1,0.2,1.0
cond,1580.0,0.4741339645350204,0.4741339645350204,1,0.2,1.0
cond,730.0,0.45716609576617895,0.45716609576617895,1,0.2,1.0
cond,720.0,0.4467022128177625,0.4467022128177625,1,0.1,1.0
cond,1500.0,0.44337822177233077,0.44337822177233077,1,0.1,0.3333333333333333
cond,1340.0,0.4364631698928778,0.477815460793396,2,0.15000000000000002,0.9166666666666667
cond,530.0,0.43511765446179207,0.43511765446179207,1,0.2,0.6666666666666666
cond,1520.0,0.43020953689259434,0.6366526857047089,2,0.15000000000000002,0.6666666666666666
cond,1930.0,0.41242179745074425,0.41242179745074425,1,0.1,0.8333333333333334
cond,620.0,0.3964613981296166,0.3964613981296166,1,0.1,0.6666666666666666
cond,640.0,0.39208624963278865,0.39208624963278865,1,0.1,0.6666666666666666
cond,1380.0,0.38674181779830824,0.4846758776069027,3,0.10000000000000002,0.7777777777777778
cond,1350.0,0.3765074627728316,0.3765074627728316,1,0.1,0.8333333333333334
cond,1610.0,0.358818810946007,0.358818810946007,1,0.1,0.5
cond,1590.0,0.3562053867953203,0.36175235737934225,2,0.15000000000000002,0.6666666666666667
cond,1950.0,0.35298558136240576,0.35298558136240576,1,0.1,0.8333333333333334
cond,1630.0,0.3482690732399981,0.3518567868555616,2,0.1,0.8333333333333334
cond,1510.0,0.34177933912111,0.5015349469027984,2,0.1,0.41666666666666663
cond,510.0,0.337871518138863,0.337871518138863,1,0.1,0.6666666666666666
cond,540.0,0.31296036942635924,0.31296036942635924,1,0.2,0.3333333333333333
cond,1910.0,0.3098097259438933,0.3098097259438933,1,0.1,0.5
cond,1980.0,0.2986878715420879,0.2986878715420879,1,0.1,0.5
cond,1620.0,0.29774902115042423,0.29774902115042423,1,0.1,0.3333333333333333
cond,680.0,0.2954166581859301,0.2954166581859301,1,0.1,0.3333333333333333
cond,610.0,0.2894037932855785,0.2894037932855785,1,0.2,0.3333333333333333
cond,580.0,0.28163945410955477,0.28163945410955477,1,0.1,0.5
cond,1830.0,0.2714124688200408,0.2714124688200408,1,0.1,0.5
cond,1970.0,0.25347744043155984,0.25347744043155984,1,0.1,0.3333333333333333
cond,1360.0,0.2505471731457821,0.2505471731457821,1,0.1,0.3333333333333333
cond,1780.0,0.24588345876017403,0.24588345876017403,1,0.1,0.3333333333333333
cond,1810.0,0.23652584641846613,0.23652584641846613,1,0.1,0.3333333333333333
gen,520.0,0.6708075761138559,0.6708075761138559,1,0.1,1.0
gen,700.0,0.6375789616412535,0.6558351800120772,4,0.125,1.0
gen,720.0,0.5772577189998329,0.6425590557799827,2,0.2,1.0
gen,740.0,0.5673958916454372,0.5673958916454372,1,0.5,1.0
gen,710.0,0.5429728901806751,0.6071144479837027,2,0.1,0.8333333333333333
