data_coleta,turno,analysis,rank,wavelength_nm,p_value,q_FDR_BH,slot,family_nm,dataset,neglog10_q,inv_rank
D02M,MANHA,gen_cond,1,521.0,4.1851433796354565e-27,2.7984717507812795e-25,D02M_MANHA,520.0,TOP5_n10_10_0001,24.553079072727854,1.0
D02M,MANHA,gen_cond,2,710.0,2.021982441585585e-25,4.9370071282048046e-24,D02M_MANHA,710.0,TOP5_n10_10_0001,23.306536245732104,0.5
D02M,MANHA,gen_cond,3,630.0,8.43844932048159e-21,1.1773645956671937e-19,D02M_MANHA,630.0,TOP5_n10_10_0001,18.929089027923844,0.3333333333333333
D02M,MANHA,gen_cond,4,401.0,4.441243067624977e-15,4.7691044668580246e-14,D02M_MANHA,400.0,TOP5_n10_10_0001,13.32156316427549,0.25
D02M,MANHA,gen_cond,5,730.0,2.1434256898945104e-14,1.8471286092326225e-13,D02M_MANHA,730.0,TOP5_n10_10_0001,12.73350286507111,0.2
D02M,MANHA,cond,1,400.0,1.2163683693201975e-14,3.1603615371730918e-12,D02M_MANHA,400.0,TOP5_n10_10_0001,11.500263232375913,1.0
D02M,MANHA,cond,2,649.0,1.0350024631728895e-09,1.6847540094980926e-08,D02M_MANHA,640.0,TOP5_n10_10_0001,7.773463501389959,0.5
D02M,MANHA,cond,3,510.0,1.4399658075459816e-05,0.000174755613685,D02M_MANHA,510.0,TOP5_n10_10_0001,3.7575688644906626,0.3333333333333333
D02M,MANHA,cond,4,1595.0,2.5491463876451283e-05,0.000295384137913,D02M_MANHA,1590.0,TOP5_n10_10_0001,3.529612829951004,0.25
D02M,MANHA,gen,1,522.0,1.0495719788968856e-28,7.613600663222552e-27,D02M_MANHA,520.0,TOP5_n10_10_0001,26.1184099058651,1.0
D02M,MANHA,gen,2,710.0,1.3813617236059694e-26,3.4977443149578314e-25,D02M_MANHA,710.0,TOP5_n10_10_0001,24.456211940615326,0.5
D02M,MANHA,gen,3,630.0,4.687212741289141e-19,6.366538630717899e-18,D02M_MANHA,630.0,TOP5_n10_10_0001,17.196096621377457,0.3333333333333333
D02M,MANHA,gen,4,730.0,3.7430657183974747e-13,4.38687302196184e-12,D02M_MANHA,730.0,TOP5_n10_10_0001,11.357844936066764,0.25
D02M,MANHA,gen,5,679.0,5.2207821462312455e-08,5.248933422509942e-07,D02M_MANHA,670.0,TOP5_n10_10_0001,6.279928935789665,0.2
D02T,TARDE,gen_cond,1,528.0,1.835038394028832e-23,1.0004076412120177e-21,D02T_TARDE,520.0,TOP5_n10_10_0001,20.99982299974487,1.0
D02T,TARDE,gen_cond,2,1510.0,6.31783205910782e-17,1.1075105601051402e-15,D02T_TARDE,1510.0,TOP5_n10_10_0001,14.955652124090422,0.5
D02T,TARDE,gen_cond,3,720.0,1.2100969753657122e-14,7.299732048456106e-14,D02T_TARDE,720.0,TOP5_n10_10_0001,13.136693081251147,0.3333333333333333
D02T,TARDE,gen_cond,4,620.0,4.417088111966115e-14,1.668406577834715e-13,D02T_TARDE,620.0,TOP5_n10_10_0001,12.77769810657993,0.25
D02T,TARDE,gen_cond,5,1389.0,1.5873724572432829e-12,2.780274047656681e-12,D02T_TARDE,1380.0,TOP5_n10_10_0001,11.555912394182933,0.2
D02T,TARDE,cond,1,1520.0,1.5667698746162166e-17,3.6933804373783005e-15,D02T_TARDE,1520.0,TOP5_n10_10_0001,14.432575955456398,1.0
D02T,TARDE,cond,2,1580.0,3.103364516237459e-11,1.0503301357760771e-10,D02T_TARDE,1580.0,TOP5_n10_10_0001,9.978674173681734,0.5
D02T,TARDE,cond,3,739.0,1.0668281850869339e-10,2.4447649247075995e-10,D02T_TARDE,730.0,TOP5_n10_10_0001,9.611762893927054,0.3333333333333333
D02T,TARDE,cond,4,1919.0,1.1622893297643495e-10,2.634094381598543e-10,D02T_TARDE,1910.0,TOP5_n10_10_0001,9.57936866799493,0.25
D02T,TARDE,cond,5,1340.0,4.4779916455306046e-10,8.25189655434256e-10,D02T_TARDE,1340.0,TOP5_n10_10_0001,9.083446224974189,0.2
D02T,TARDE,gen,1,550.0,7.689428270432604e-24,7.399571712781317e-22,D02T_TARDE,550.0,TOP5_n10_10_0001,21.130793416506666,1.0
D02T,TARDE,gen,2,610.0,7.15087221190009e-15,1.182777331177991e-13,D02T_TARDE,610.0,TOP5_n10_10_0001,12.927097007648332,0.5
D02T,TARDE,gen,3,720.0,7.298037905021975e-15,1.1974620594560056e-13,D02T_TARDE,720.0,TOP5_n10_10_0001,12.921738237938392,0.3333333333333333
D02T,TARDE,gen,4,679.0,3.809626885359209e-08,3.774659295590211e-07,D02T_TARDE,670.0,TOP5_n10_10_0001,6.423122242107034,0.25
D02T,TARDE,gen,5,2189.0,2.028233535825147e-07,1.8571013312399e-06,D02T_TARDE,2180.0,TOP5_n10_10_0001,5.731164398684726,0.2
D03M,MANHA,gen_cond,1,400.0,6.531778183055284e-29,1.728522632715259e-26,D03M_MANHA,400.0,TOP5_n10_10_0001,25.762324929573126,1.0
D03M,MANHA,gen_cond,2,550.0,1.1138382952444314e-25,1.6087903827791048e-24,D03M_MANHA,550.0,TOP5_n10_10_0001,23.79350053858141,0.5
D03M,MANHA,gen_cond,3,720.0,4.601773293859065e-25,4.790983261779158e-24,D03M_MANHA,720.0,TOP5_n10_10_0001,23.319575346430447,0.3333333333333333
