data_coleta_iso,genotipo_normalizado,condicao_normalizada,n_amostras
2017-02-23,BR16,irrigado,64
2017-02-23,BR16,nao_irrigado,64
2017-02-23,CD202,irrigado,64
2017-02-23,CD202,nao_irrigado,64
2017-02-23,EMB48,irrigado,64
2017-02-23,EMB48,nao_irrigado,64
2017-02-24,BR16,irrigado,64
2017-02-24,BR16,nao_irrigado,64
2017-02-24,CD202,irrigado,64
2017-02-24,CD202,nao_irrigado,64
2017-02-24,EMB48,irrigado,64
2017-02-24,EMB48,nao_irrigado,64
2017-02-25,BR16,irrigado,32
2017-02-25,BR16,nao_irrigado,32
2017-02-25,CD202,irrigado,32
2017-02-25,CD202,nao_irrigado,32
2017-02-25,EMB48,irrigado,32
2017-02-25,EMB48,nao_irrigado,32
2017-02-26,BR16,irrigado,32
2017-02-26,BR16,nao_irrigado,32
2017-02-26,CD202,irrigado,32
2017-02-26,CD202,nao_irrigado,32
2017-02-26,EMB48,irrigado,32
2017-02-26,EMB48,nao_irrigado,32
2017-02-27,BR16,irrigado,32
2017-02-27,BR16,nao_irrigado,32
2017-02-27,CD202,irrigado,32
2017-02-27,CD202,nao_irrigado,32
2017-02-27,EMB48,irrigado,32
2017-02-27,EMB48,nao_irrigado,32
2017-03-02,BR16,irrigado,64
2017-03-02,BR16,nao_irrigado,64
2017-03-02,CD202,irrigado,68
2017-03-02,CD202,nao_irrigado,64
2017-03-02,EMB48,irrigado,64
2017-03-02,EMB48,nao_irrigado,64
