sample_id,data_coleta_iso,genotipo_normalizado,condicao_normalizada,turno,PC1,PC2,PC3,PC4,PC5
B1_BR16_IRRIG_REPROD00000.asd,2017-02-23,BR16,irrigado,manha,13.596390525992623,-20.961166938933378,-3.191872575687893,-6.826151255284945,-0.6775358948745454
B1_BR16_IRRIG_REPROD00001.asd,2017-02-23,BR16,irrigado,manha,14.523819295654103,-20.233483585592744,-2.9019141393301986,-7.17046858445316,-0.5908739640585667
B1_BR16_IRRIG_REPROD00002.asd,2017-02-23,BR16,irrigado,manha,15.616910721291344,-19.64344451915148,-2.6183726964296627,-7.2978688759344275,-0.5267199239710718
B1_BR16_IRRIG_REPROD00003.asd,2017-02-23,BR16,irrigado,manha,16.941261120308194,-18.965922940089687,-2.4180489909702225,-7.315493247068717,-0.7048828524219062
B1_BR16_IRRIG_REPROD00004.asd,2017-02-23,BR16,irrigado,manha,3.64680747617541,-29.555189704270493,1.9016828765321938,-6.6322134219912146,-0.47598537518214246
B1_BR16_IRRIG_REPROD00005.asd,2017-02-23,BR16,irrigado,manha,5.196798583776695,-27.44901670772833,3.4991118037112954,-6.9925325687921704,-0.6905618739522427
B1_BR16_IRRIG_REPROD00006.asd,2017-02-23,BR16,irrigado,manha,6.314624650633258,-24.559227263207454,4.64581571510964,-7.730762978474827,-0.5704910293234062
B1_BR16_IRRIG_REPROD00007.asd,2017-02-23,BR16,irrigado,manha,7.846755043795727,-21.845577858430115,4.958493694303967,-8.156523893989197,-0.829425778911232
B1_BR16_NIRRIG_REPROD00000.asd,2017-02-23,BR16,nao_irrigado,manha,35.55501665074081,-14.983056623047,12.166991927745226,-14.608854590527681,1.407829324708351
B1_BR16_NIRRIG_REPROD00001.asd,2017-02-23,BR16,nao_irrigado,manha,37.66893011215712,-14.832110705274925,12.035939385698931,-14.657486087053352,1.3588968108432897
B1_BR16_NIRRIG_REPROD00002.asd,2017-02-23,BR16,nao_irrigado,manha,39.52576244556475,-15.091856153971616,12.036310727810308,-14.55005844597664,1.0604619672527376
B1_BR16_NIRRIG_REPROD00003.asd,2017-02-23,BR16,nao_irrigado,manha,40.716917332175996,-14.94366759637308,11.953971980164653,-14.85786450844844,1.4084006210456124
B1_BR16_NIRRIG_REPROD00004.asd,2017-02-23,BR16,nao_irrigado,manha,35.14096930401807,-20.49914681074104,1.2447211429294507,-11.822009936784095,0.28408599744517715
B1_BR16_NIRRIG_REPROD00005.asd,2017-02-23,BR16,nao_irrigado,manha,37.20771039587966,-19.59254506515666,1.4129962314372138,-12.069805475845584,0.2136753601936582
B1_BR16_NIRRIG_REPROD00006.asd,2017-02-23,BR16,nao_irrigado,manha,40.113942045125384,-18.648506572861073,1.6314293259806343,-12.255226748657343,0.1805117957006558
B1_BR16_NIRRIG_REPROD00007.asd,2017-02-23,BR16,nao_irrigado,manha,43.38909665989952,-17.32833633436632,2.355179487094332,-13.028165297384616,0.8037754774049456
B1_CD202_IRRIG_REPROD00000.asd,2017-02-23,CD202,irrigado,manha,-23.144545570064047,-24.989117900659146,-4.320596103703338,5.366276524487548,3.5949313927903055
B1_CD202_IRRIG_REPROD00001.asd,2017-02-23,CD202,irrigado,manha,-22.32686358176318,-23.124345819243754,-2.834371526761351,4.769413438309552,3.5604292847541696
B1_CD202_IRRIG_REPROD00002.asd,2017-02-23,CD202,irrigado,manha,-22.303993710822635,-19.738407228795804,-3.3783271152071133,4.430887078387133,2.7888638638495453
B1_CD202_IRRIG_REPROD00003.asd,2017-02-23,CD202,irrigado,manha,-19.31847680491435,-16.17664755986994,-2.1349017007485425,3.39171071412509,2.8461727894205855
B1_CD202_IRRIG_REPROD00004.asd,2017-02-23,CD202,irrigado,manha,12.438974608464525,-0.7144555937838311,2.3597444914749395,-0.5959385351254944,2.1246241002890076
B1_CD202_IRRIG_REPROD00005.asd,2017-02-23,CD202,irrigado,manha,12.795769868169883,0.4224658836185923,2.201533981176116,-0.5607357595666996,2.1265299848666395
B1_CD202_IRRIG_REPROD00006.asd,2017-02-23,CD202,irrigado,manha,15.79751615806014,1.5426057477856177,3.959354768893845,-0.817475573496759,2.1618600867737916
B1_CD202_IRRIG_REPROD00007.asd,2017-02-23,CD202,irrigado,manha,15.332876330246945,2.346972488577519,3.3400485489782037,-1.0031995134253708,2.1826095549845923
B1_CD202_NIRRIG_REPROD00000.asd,2017-02-23,CD202,nao_irrigado,manha,13.970474681303312,16.302596478084105,-13.31219996145663,-3.1125614264475487,2.995408532708052
B1_CD202_NIRRIG_REPROD00001.asd,2017-02-23,CD202,nao_irrigado,manha,16.285694440301135,17.282420437218168,-12.515886740616589,-3.2718149438866755,2.815887974143006
B1_CD202_NIRRIG_REPROD00002.asd,2017-02-23,CD202,nao_irrigado,manha,17.91982357284839,18.16065136324393,-11.557658936889005,-3.5098226876068495,2.462622196569188
B1_CD202_NIRRIG_REPROD00003.asd,2017-02-23,CD202,nao_irrigado,manha,19.051293027147914,19.27432653881426,-11.08924915203514,-3.942574677380659,2.669592644196756
B1_CD202_NIRRIG_REPROD00004.asd,2017-02-23,CD202,nao_irrigado,manha,-27.2461549119988,-26.008285181190843,-1.3846219503253725,6.371104173161746,-0.9518063954184232
B1_CD202_NIRRIG_REPROD00005.asd,2017-02-23,CD202,nao_irrigado,manha,-23.97550892537122,-23.640488175140753,0.2114344674194221,5.4443284046264795,-0.7911573159582985
B1_CD202_NIRRIG_REPROD00006.asd,2017-02-23,CD202,nao_irrigado,manha,-21.563264298672127,-21.99521138279544,0.47058365794694257,5.241449210956695,-0.8473741157520769
B1_CD202_NIRRIG_REPROD00007.asd,2017-02-23,CD202,nao_irrigado,manha,-19.45568305758069,-20.390915717069774,0.7195333352825525,4.854531434410329,-0.706899538600198
B1_EMB48_IRRIG_REPROD00000.asd,2017-02-23,EMB48,irrigado,manha,7.282551263790184,-13.963790575601578,30.583680343347478,1.948265101344506,-1.7669609747662947
B1_EMB48_IRRIG_REPROD00001.asd,2017-02-23,EMB48,irrigado,manha,8.692848998629378,-13.681764572350493,31.004182973477036,1.9990458843360872,-1.7381198456673292
B1_EMB48_IRRIG_REPROD00002.asd,2017-02-23,EMB48,irrigado,manha,9.239390929713784,-13.334691554694208,31.058335312663978,1.8984455636002142,-1.6022232462082018
B1_EMB48_IRRIG_REPROD00003.asd,2017-02-23,EMB48,irrigado,manha,9.902744689670046,-13.018518790005135,30.960341154991333,1.9845263764129504,-1.6176316535187416
B1_EMB48_IRRIG_REPROD00004.asd,2017-02-23,EMB48,irrigado,manha,4.140432221780544,13.409470038615305,-10.809751457851931,-0.5617707008997044,1.7998994133565185
B1_EMB48_IRRIG_REPROD00005.asd,2017-02-23,EMB48,irrigado,manha,5.359399861991205,14.170453682247071,-9.845212844773977,-0.6463209914382482,1.8757991521755153
B1_EMB48_IRRIG_REPROD00006.asd,2017-02-23,EMB48,irrigado,manha,6.392218068970795,14.967889385752509,-8.90486493830098,-0.9437569414177441,2.0080682503085927
B1_EMB48_IRRIG_REPROD00007.asd,2017-02-23,EMB48,irrigado,manha,6.4153815923386714,15.181892881132214,-8.78170023860426,-0.9085539882459983,2.0502587685738467
B1_EMB48_NIRRIG_REPROD00000.asd,2017-02-23,EMB48,nao_irrigado,manha,9.992436602383645,-8.65360802485049,-3.7866373147665806,3.7812536322661363,3.3333419561299715
B1_EMB48_NIRRIG_REPROD00001.asd,2017-02-23,EMB48,nao_irrigado,manha,10.957394837753172,-7.882303691050419,-2.7757216336186965,3.252036807636693,2.5324283161474077
B1_EMB48_NIRRIG_REPROD00002.asd,2017-02-23,EMB48,nao_irrigado,manha,12.552514361737437,-7.405838920765834,-2.8384515407705573,3.352118716421139,2.304245906406901
B1_EMB48_NIRRIG_REPROD00003.asd,2017-02-23,EMB48,nao_irrigado,manha,12.998505157772357,-6.605793198249224,-3.151949749052178,3.0855124007746118,2.5453853285178307
B1_EMB48_NIRRIG_REPROD00004.asd,2017-02-23,EMB48,nao_irrigado,manha,13.583281257088519,5.997811543052523,-6.397339415618329,8.526680125235448,2.377935361250729
B1_EMB48_NIRRIG_REPROD00005.asd,2017-02-23,EMB48,nao_irrigado,manha,16.3127967379366,7.252644507175436,-6.063448210030031,8.12680734755303,2.3752845329830365
B1_EMB48_NIRRIG_REPROD00006.asd,2017-02-23,EMB48,nao_irrigado,manha,19.779961754131335,8.657239281852965,-5.605060850791755,7.799560215725861,2.138763976694697
B1_EMB48_NIRRIG_REPROD00007.asd,2017-02-23,EMB48,nao_irrigado,manha,22.020604816527133,9.915430835637958,-5.706983334942352,7.622233333047798,2.015530989668817
B2_BR16_IRRIG_REPROD00000.asd,2017-02-23,BR16,irrigado,manha,-8.162944272854558,-25.15425509155089,-18.049047759876036,-7.931650601880261,-2.4446552417656653
B2_BR16_IRRIG_REPROD00001.asd,2017-02-23,BR16,irrigado,manha,-8.868712940097073,-24.416629747084947,-18.992140157785265,-7.986362034823075,-1.8414324446192663
B2_BR16_IRRIG_REPROD00002.asd,2017-02-23,BR16,irrigado,manha,-7.184752629719311,-23.476834402858856,-17.762803995279615,-8.337381256281514,-2.1310766807698127
B2_BR16_IRRIG_REPROD00003.asd,2017-02-23,BR16,irrigado,manha,-6.671923165081395,-23.013339321690687,-17.02955459425481,-8.603552408384827,-2.1900545592522547
B2_BR16_IRRIG_REPROD00004.asd,2017-02-23,BR16,irrigado,manha,-5.0597873164439475,2.8992059433091315,-21.830854613156667,-6.615592143746294,-0.3165648012380172
B2_BR16_IRRIG_REPROD00005.asd,2017-02-23,BR16,irrigado,manha,-5.982408440190517,4.650241099371131,-22.15337379307707,-6.583789422763999,-0.1029819384971832
B2_BR16_IRRIG_REPROD00006.asd,2017-02-23,BR16,irrigado,manha,-7.719373382840691,5.6941127038676065,-22.571692031862977,-6.417891687206049,0.1139829619374501
B2_BR16_IRRIG_REPROD00007.asd,2017-02-23,BR16,irrigado,manha,-9.098278361672449,6.893508436718562,-23.295457516641164,-6.453323410648725,0.08816978962642114
B2_BR16_NIRRIG_REPROD00000.asd,2017-02-23,BR16,nao_irrigado,manha,4.298008826489979,-20.436522664187677,-6.14007471409501,-6.522633390129784,2.9562673282638143
B2_BR16_NIRRIG_REPROD00001.asd,2017-02-23,BR16,nao_irrigado,manha,5.843430150152431,-20.112105384457283,-5.751976535327616,-6.793473325073284,3.101229865978665
B2_BR16_NIRRIG_REPROD00002.asd,2017-02-23,BR16,nao_irrigado,manha,6.339599838063807,-19.60381624283249,-6.280789407952148,-6.860581532796496,2.9660866041126432
B2_BR16_NIRRIG_REPROD00003.asd,2017-02-23,BR16,nao_irrigado,manha,7.959704000885704,-19.058051037235277,-6.40037183216148,-6.769852509279888,2.751282793947794
B2_BR16_NIRRIG_REPROD00004.asd,2017-02-23,BR16,nao_irrigado,manha,-10.807676546375777,-37.83071302542261,1.0094866336055028,-3.7650798762014324,2.1336577491226736
B2_BR16_NIRRIG_REPROD00005.asd,2017-02-23,BR16,nao_irrigado,manha,-11.154782964750108,-38.31131054774291,0.5530770965762817,-3.7772511318606905,1.826890956813695
B2_BR16_NIRRIG_REPROD00006.asd,2017-02-23,BR16,nao_irrigado,manha,-8.634372659936762,-37.21582418299247,0.9328308111290984,-4.120385509398052,1.8599501576180029
B2_BR16_NIRRIG_REPROD00007.asd,2017-02-23,BR16,nao_irrigado,manha,-7.192833585423539,-36.855474248142784,1.0707567024776212,-4.2978336574346,1.868725363657452
B2_CD202_IRRIG_REPROD00000.asd,2017-02-23,CD202,irrigado,manha,-17.235909075451772,0.32554940755137907,-8.921204069526578,-3.116629330075901,-0.17587316336831232
B2_CD202_IRRIG_REPROD00001.asd,2017-02-23,CD202,irrigado,manha,-18.10289078517816,0.4451974685342723,-9.115689139855336,-3.1600356693351617,-0.11429917682310561
B2_CD202_IRRIG_REPROD00002.asd,2017-02-23,CD202,irrigado,manha,-18.696642155853986,0.2817177355974985,-8.992590864572362,-3.1188419774378917,-0.16612059120159853
B2_CD202_IRRIG_REPROD00003.asd,2017-02-23,CD202,irrigado,manha,-19.75555318741708,-0.2225165850645717,-9.376760536812855,-2.9115047103291247,-0.24554416704994242
B2_CD202_IRRIG_REPROD00004.asd,2017-02-23,CD202,irrigado,manha,-30.155212148581004,-13.897058270699578,-13.224991315426706,7.210589694965915,-1.5417378497363186
B2_CD202_IRRIG_REPROD00005.asd,2017-02-23,CD202,irrigado,manha,-33.42322433825088,-15.681097434034909,-15.801343558086813,7.884954760369547,-1.5372513639243108
B2_CD202_IRRIG_REPROD00006.asd,2017-02-23,CD202,irrigado,manha,-32.3876195814126,-15.839801452693514,-15.994710517773974,8.098791031219001,-1.7430734436740924
B2_CD202_IRRIG_REPROD00007.asd,2017-02-23,CD202,irrigado,manha,-30.960937159426734,-15.169053698168293,-15.165119292041638,7.663757443190202,-1.5322899163510106
B2_CD202_NIRRIG_REPROD00000.asd,2017-02-23,CD202,nao_irrigado,manha,-40.09110949496337,-7.949793454110932,-10.669462704839258,1.2051030054387863,-1.3201630175759547
B2_CD202_NIRRIG_REPROD00001.asd,2017-02-23,CD202,nao_irrigado,manha,-39.88507202689687,-7.382519814720853,-10.763625839244316,1.4130878629284216,-0.8532793021916816
B2_CD202_NIRRIG_REPROD00002.asd,2017-02-23,CD202,nao_irrigado,manha,-39.276323922430066,-6.884536044403731,-10.438496391780046,1.4266569244393388,-0.7473249297280049
B2_CD202_NIRRIG_REPROD00003.asd,2017-02-23,CD202,nao_irrigado,manha,-38.647494893973615,-6.477032218953635,-9.807417912796359,1.1680034768645633,-0.49700575999344243
B2_CD202_NIRRIG_REPROD00004.asd,2017-02-23,CD202,nao_irrigado,manha,-15.567948703423411,-25.294681512277325,-9.509340998064738,3.8973828194306153,3.203220183472348
B2_CD202_NIRRIG_REPROD00005.asd,2017-02-23,CD202,nao_irrigado,manha,-13.823168914829127,-25.039359932893994,-9.536033481225072,3.865485875845789,3.250830425501368
B2_CD202_NIRRIG_REPROD00006.asd,2017-02-23,CD202,nao_irrigado,manha,-6.180991102982936,-22.325803301695068,-6.813170215461473,3.0064840809322555,3.5253194345307386
