n_components,rmsecv,r2cv,auc,accuracy
1,0.3804366507324805,0.42106873130322564,0.8774494901006997,0.7829099307159353
2,0.3682058666174564,0.4576948666902161,0.8945425840587131,0.8250577367205543
3,0.35393830820108135,0.4989080233036878,0.92555256869773,0.8348729792147807
4,0.3502026715317607,0.5094297388798419,0.9298995135688684,0.831986143187067
5,0.3295021247859499,0.5657110827027261,0.9430630227001194,0.8579676674364896
6,0.31867040566863764,0.5937945236476319,0.947161951698242,0.8620092378752887
7,0.3161567344428768,0.6001775445541288,0.9479526689708142,0.874133949191686
8,0.3176040157606703,0.5965086046104193,0.9491380781703361,0.8770207852193995
9,0.3136933429571349,0.6063838469281942,0.9560171850998466,0.8827944572748267
10,0.3155210832446414,0.6017836601674283,0.9563532066052227,0.8862586605080831
11,0.3167474332526887,0.5986821136236979,0.9512475465096432,0.8810623556581986
12,0.3123470074117727,0.6097553064164972,0.9559385133981908,0.8804849884526559
13,0.3116510977174365,0.6114923010034392,0.9577212941628265,0.8816397228637414
14,0.31158173691649754,0.6116652136400207,0.9574332757296468,0.8839491916859122
15,0.310186211199922,0.6151360047973484,0.9586600209080047,0.8799076212471132
16,0.3085972360229902,0.619068951924431,0.9627136136712751,0.8926096997690531
17,0.3116312797190922,0.6115417101034661,0.9615495391705069,0.8978060046189377
18,0.30740730105390796,0.6220009889220035,0.9632749829322409,0.8995381062355658
19,0.3111045629007138,0.612853738868223,0.9639030231268135,0.8897228637413395
20,0.3067582425933608,0.6235955147957637,0.9671992340843147,0.898960739030023
