sample_id,data_coleta_iso,genotipo_normalizado,condicao_normalizada,y_true,y_pred
B1_BR16_IRRIG_REPROD00000.asd,2017-02-23,BR16,irrigado,1,0.6595724346533893
B1_BR16_IRRIG_REPROD00001.asd,2017-02-23,BR16,irrigado,1,0.7155848087651933
B1_BR16_IRRIG_REPROD00002.asd,2017-02-23,BR16,irrigado,1,0.6070196739496183
B1_BR16_IRRIG_REPROD00003.asd,2017-02-23,BR16,irrigado,1,0.5809822263333653
B1_BR16_IRRIG_REPROD00004.asd,2017-02-23,BR16,irrigado,1,0.8228953806083233
B1_BR16_IRRIG_REPROD00005.asd,2017-02-23,BR16,irrigado,1,0.8067494748484907
B1_BR16_IRRIG_REPROD00006.asd,2017-02-23,BR16,irrigado,1,0.7911702284120408
B1_BR16_IRRIG_REPROD00007.asd,2017-02-23,BR16,irrigado,1,0.8901106343278572
B1_BR16_NIRRIG_REPROD00000.asd,2017-02-23,BR16,nao_irrigado,0,0.5087242085444194
B1_BR16_NIRRIG_REPROD00001.asd,2017-02-23,BR16,nao_irrigado,0,0.4499965428776044
B1_BR16_NIRRIG_REPROD00002.asd,2017-02-23,BR16,nao_irrigado,0,0.3981136359282078
B1_BR16_NIRRIG_REPROD00003.asd,2017-02-23,BR16,nao_irrigado,0,0.35997766971933076
B1_BR16_NIRRIG_REPROD00004.asd,2017-02-23,BR16,nao_irrigado,0,0.24985567359792354
B1_BR16_NIRRIG_REPROD00005.asd,2017-02-23,BR16,nao_irrigado,0,0.16680851258894352
B1_BR16_NIRRIG_REPROD00006.asd,2017-02-23,BR16,nao_irrigado,0,0.20105386141908566
B1_BR16_NIRRIG_REPROD00007.asd,2017-02-23,BR16,nao_irrigado,0,0.20678154659941272
B1_CD202_IRRIG_REPROD00000.asd,2017-02-23,CD202,irrigado,1,0.5299572228360713
B1_CD202_IRRIG_REPROD00001.asd,2017-02-23,CD202,irrigado,1,0.5430528121028882
B1_CD202_IRRIG_REPROD00002.asd,2017-02-23,CD202,irrigado,1,0.5385172873316668
B1_CD202_IRRIG_REPROD00003.asd,2017-02-23,CD202,irrigado,1,0.6342206785061756
B1_CD202_IRRIG_REPROD00004.asd,2017-02-23,CD202,irrigado,1,0.6890556148237834
B1_CD202_IRRIG_REPROD00005.asd,2017-02-23,CD202,irrigado,1,0.6981125411416549
B1_CD202_IRRIG_REPROD00006.asd,2017-02-23,CD202,irrigado,1,0.6943312607301582
B1_CD202_IRRIG_REPROD00007.asd,2017-02-23,CD202,irrigado,1,0.7133058726920376
B1_CD202_NIRRIG_REPROD00000.asd,2017-02-23,CD202,nao_irrigado,0,0.37209243052145025
B1_CD202_NIRRIG_REPROD00001.asd,2017-02-23,CD202,nao_irrigado,0,0.4456844396834213
B1_CD202_NIRRIG_REPROD00002.asd,2017-02-23,CD202,nao_irrigado,0,0.3958900487059671
B1_CD202_NIRRIG_REPROD00003.asd,2017-02-23,CD202,nao_irrigado,0,0.421955982880774
B1_CD202_NIRRIG_REPROD00004.asd,2017-02-23,CD202,nao_irrigado,0,0.4412685911903127
B1_CD202_NIRRIG_REPROD00005.asd,2017-02-23,CD202,nao_irrigado,0,0.4347255293510711
B1_CD202_NIRRIG_REPROD00006.asd,2017-02-23,CD202,nao_irrigado,0,0.38167582132379846
