abs_corr,band_a,band_b
0.9494660907295188,2134,2141
0.9476710058278437,1418,1412
0.9472092978871705,1276,1278
0.9470292487515082,473,472
0.946843650349718,1791,1789
0.9465958035648224,2109,2103
0.9462143592788432,1652,1650
0.9461537511397893,2171,2168
0.9457263893106618,1267,1265
0.9456512586088323,1456,1464
0.945159333115193,1806,1808
0.9447161235132002,1456,1924
0.9444876293824791,1430,1924
0.9442716177429763,2109,2115
0.9442497068898015,1456,1430
0.9440171048901529,2149,2157
0.9437789049073029,1470,1464
0.9435601356768133,1623,1627
0.9434685616648832,1927,1924
0.9432099021944516,1802,1800
0.9430488520161939,1815,1813
0.9425481178223759,1654,1652
0.9424653065469007,1250,1248
0.9414950410243919,1418,1430
0.9414042159329882,1282,1285
0.9413593337716027,2182,2186
0.9408325045480954,1656,1654
0.9403449756824915,2174,2177
0.9399329992087135,2310,2308
0.9391514624133803,1635,1639
0.9390446490687457,1804,1802
0.9375775200904409,1470,1475
0.9374605845563028,473,475
0.9372131415908747,1269,1267
0.9368378999476554,1660,1662
0.9368124293269479,494,500
0.9366599413981784,1408,1412
0.935552135629146,1252,1254
0.9349001672324451,2121,2115
0.9342562848598253,1798,1800
0.9340355713300879,1796,1794
0.9329278073564873,2141,2149
0.9327793218416155,2134,2157
0.9318023084767061,1647,1650
0.9317083327445708,2312,2310
0.9314698289478709,1642,1639
0.930660162110829,1631,1627
0.9299939873789633,1658,1660
0.9296947609314428,2134,2149
0.9291228965013891,2127,2134
