direction,start_wavelength,end_wavelength,n_bands,best_p,mean_p
irrigado,1067,1067,1,7.463328261592632e-05,7.463328261592632e-05
irrigado,1069,1069,1,8.348951637883397e-05,8.348951637883397e-05
irrigado,1248,1248,1,5.0134201071718945e-05,5.0134201071718945e-05
irrigado,1250,1250,1,1.87323924369901e-06,1.87323924369901e-06
irrigado,1252,1252,1,7.302707068324824e-06,7.302707068324824e-06
irrigado,1254,1254,1,1.2018489754660493e-05,1.2018489754660493e-05
irrigado,1256,1256,1,3.857036162393238e-06,3.857036162393238e-06
irrigado,1258,1258,1,3.339445926144009e-05,3.339445926144009e-05
irrigado,1260,1260,1,1.8417301195285974e-05,1.8417301195285974e-05
irrigado,1262,1262,1,0.00017018314136279774,0.00017018314136279774
irrigado,1265,1265,1,0.00035477594945544183,0.00035477594945544183
irrigado,1267,1267,1,1.3589074305877813e-05,1.3589074305877813e-05
irrigado,1269,1269,1,1.87323924369901e-06,1.87323924369901e-06
irrigado,1272,1272,1,6.436358807385715e-06,6.436358807385715e-06
irrigado,1274,1274,1,2.7096221764075547e-07,2.7096221764075547e-07
irrigado,1276,1276,1,6.8564559792978185e-06,6.8564559792978185e-06
irrigado,1278,1278,1,2.2057048175485484e-05,2.2057048175485484e-05
irrigado,1282,1282,1,8.279927681518888e-06,8.279927681518888e-06
irrigado,1285,1285,1,7.463328261592632e-05,7.463328261592632e-05
irrigado,1614,1614,1,7.302707068324824e-06,7.302707068324824e-06
irrigado,1623,1623,1,2.2057048175485484e-05,2.2057048175485484e-05
irrigado,1627,1627,1,5.6218390005819004e-05,5.6218390005819004e-05
irrigado,1631,1631,1,3.615066672874847e-06,3.615066672874847e-06
irrigado,1635,1635,1,3.857036162393238e-06,3.857036162393238e-06
irrigado,1639,1639,1,1.8417301195285974e-05,1.8417301195285974e-05
irrigado,1642,1642,1,4.114487298883416e-06,4.114487298883416e-06
irrigado,1647,1647,1,1.7523697387050235e-06,1.7523697387050235e-06
irrigado,1650,1650,1,3.125039718441412e-07,3.125039718441412e-07
irrigado,1652,1652,1,9.091393046474009e-08,9.091393046474009e-08
irrigado,1654,1654,1,2.1848397723035075e-07,2.1848397723035075e-07
irrigado,1656,1656,1,5.809416508797731e-08,5.809416508797731e-08
irrigado,1658,1658,1,7.756043152570637e-09,7.756043152570637e-09
irrigado,1660,1660,1,5.490479586310859e-07,5.490479586310859e-07
irrigado,1662,1662,1,3.615066672874847e-06,3.615066672874847e-06
irrigado,1665,1665,1,1.4445986892212242e-05,1.4445986892212242e-05
irrigado,1668,1668,1,5.0134201071718945e-05,5.0134201071718945e-05
irrigado,1789,1789,1,5.309377462149636e-05,5.309377462149636e-05
irrigado,1791,1791,1,9.865565189658788e-05,9.865565189658788e-05
irrigado,1794,1794,1,6.436358807385715e-06,6.436358807385715e-06
irrigado,1796,1796,1,7.764614768676939e-07,7.764614768676939e-07
irrigado,1798,1798,1,1.2211680465352648e-07,1.2211680465352648e-07
irrigado,1800,1800,1,3.980697881772386e-08,3.980697881772386e-08
irrigado,1802,1802,1,1.3494216200034726e-08,1.3494216200034726e-08
irrigado,1804,1804,1,7.273168327807288e-08,7.273168327807288e-08
irrigado,1806,1806,1,1.3589074305877813e-05,1.3589074305877813e-05
irrigado,1808,1808,1,0.0006484457665632496,0.0006484457665632496
irrigado,1813,1813,1,3.339445926144009e-05,3.339445926144009e-05
irrigado,1815,1815,1,1.3396772779209674e-06,1.3396772779209674e-06
