rank,wavelength,kw_p,pearson_p,spearman_p,kw_h,pearson_r,spearman_r
1,1430,6.211923275036763e-12,2.6651572540279796e-14,2.4572590056333528e-20,47.261538461538464,-0.7811051966687188,-0.8661311391372267
2,1924,6.211923275036763e-12,1.4978590015087304e-09,2.4572590056333528e-20,47.261538461538464,-0.6691773476307827,-0.8661311391372267
3,1418,1.6445415191184566e-10,5.268363718568193e-13,1.052151077479819e-15,40.84903846153847,-0.7557540766495353,-0.8052312934166405
4,1921,1.959640137520609e-10,2.5784655536544545e-10,1.6999083192686975e-15,40.506490384615404,-0.6911981774320253,-0.8018479686543857
5,1456,5.527544589706572e-10,4.95737782411613e-10,2.5209957231513247e-14,38.4814903846154,-0.6832369657996417,-0.7815480200808569
6,1927,3.4639592299869014e-09,5.813033801542947e-07,1.8005991297767545e-12,34.90384615384616,-0.5776270601402513,-0.7443314476960543
7,1658,7.756043152570637e-09,1.893169646172274e-10,9.913519012499985e-12,33.33533653846155,0.6948744843151712,0.7274148238847802
8,1802,1.3494216200034726e-08,1.1677718835094888e-09,3.039927193216066e-11,32.2588341346154,0.6724099780972139,0.7155731872168885
9,2121,1.9936620148128218e-08,2.8927671020425693e-10,6.542114847733468e-11,31.50072115384617,0.6898155136473634,0.7071148753112515
10,1800,3.980697881772386e-08,2.8817665345813383e-09,2.433697926224836e-10,30.158834134615404,0.6604851515651948,0.691889913881105
11,1652,9.091393046474009e-08,4.616991420009046e-10,1.0913795538590772e-09,28.558413461538464,0.6841155796646095,0.6732816276887036
12,1656,5.809416508797731e-08,1.5713016616108256e-09,4.879975381190036e-10,29.425961538461564,0.6685511439572775,0.6834316019754679
13,1412,7.273168327807288e-08,1.9321852865143366e-09,7.326967215774463e-10,28.990564903846177,-0.6658291724613553,-0.6783566148320858
14,1804,7.273168327807288e-08,5.088592365879889e-09,7.326967215774463e-10,28.990564903846177,0.6526944351391393,0.6783566148320858
15,2127,1.1346271195482685e-07,3.2774279999824064e-09,1.61315157533316e-09,28.12950721153848,0.6587421038011805,0.6682066405453214
16,1798,1.2211680465352648e-07,9.358639352185684e-09,1.8344834165592304e-09,27.98725961538463,0.6440888222840785,0.666514978164194
17,2174,1.3140797886582716e-07,1.9202550993841636e-08,2.084464010963387e-09,27.84537259615385,0.6335777946392644,0.6648233157830666
18,490,1.52085033550361e-07,1.9485860482064216e-08,2.6846980235654834e-09,27.562680288461564,-0.6333594141249039,-0.6614399910208117
19,494,1.758925589356879e-07,1.7473244971303797e-07,3.44671550353002e-09,27.281430288461564,-0.5985958304584087,-0.658056666258557
20,1464,1.758925589356879e-07,1.2340911508437584e-08,3.44671550353002e-09,27.281430288461564,-0.6400906607863137,-0.658056666258557
21,2115,1.758925589356879e-07,2.523730010484806e-08,3.44671550353002e-09,27.281430288461564,0.6294746540999918,0.658056666258557
22,1654,2.1848397723035075e-07,6.367198735838983e-09,4.98447702581585e-09,26.86225961538463,0.6495600494666995,0.6529816791151748
23,1274,2.7096221764075547e-07,2.1520162693073816e-08,7.158937761084883e-09,26.446334134615398,0.6318742500559569,0.6479066919717926
24,2171,4.773932691857694e-07,7.619450217970795e-09,1.8203033099247285e-08,25.35306490384616,0.6470231216525808,0.6343733929227734
25,1650,3.125039718441412e-07,1.6097644091114117e-07,9.079252307001729e-09,26.17085336538463,0.5999735304482794,0.6445233672095378
26,2134,6.763059446472279e-07,2.0328571894501235e-08,3.188660348128559e-08,24.681490384615387,0.6327271613789297,0.6259150810171364
27,1660,5.490479586310859e-07,5.006149735917994e-08,2.282505001752716e-08,25.083353365384625,0.6189203569052147,0.6309900681605186
28,1796,7.764614768676939e-07,3.049154026698263e-08,3.9715961478251975e-08,24.415384615384625,0.6265994951367087,0.6225317562548817
29,1918,6.763059446472279e-07,1.3541521990836062e-07,3.188660348128559e-08,24.681490384615387,-0.6028576643948064,-0.6259150810171364
30,2168,7.247186020243108e-07,3.878785890360418e-08,3.559828779145412e-08,24.54825721153847,0.6228980644310919,0.6242234186360092
31,1647,1.7523697387050235e-06,3.74313128116234e-08,1.4061318755060994e-07,22.84903846153847,0.6234486634831241,0.602231807681353
32,2177,1.0213278480687891e-06,3.493503094392416e-07,6.113756348107278e-08,23.887500000000017,0.5866909027734379,0.6157651067303721
33,2149,1.5327245079413867e-06,6.606927199100663e-08,1.145970609891124e-07,23.106490384615398,0.61453103331564,0.6056151324436078
34,1272,6.436358807385715e-06,8.946725092997833e-08,9.61217707763823e-07,20.353846153846177,0.6096569130623962,0.5683985600588051
35,1815,1.3396772779209674e-06,1.1565001519991355e-07,9.317107121299487e-08,23.36538461538464,0.6054647148917929,0.6089984572058625
36,479,1.7523697387050235e-06,1.9017397171254036e-07,1.4061318755060994e-07,22.84903846153847,-0.597166190149249,-0.602231807681353
37,1250,1.87323924369901e-06,9.665192185918247e-07,1.5562079247152898e-07,22.72085336538464,0.5682960624853928,0.6005401453002255
38,1269,1.87323924369901e-06,7.307470529699483e-07,1.5562079247152898e-07,22.72085336538464,0.5734636710340322,0.6005401453002255
39,1256,3.857036162393238e-06,2.0334090800418316e-07,4.573069534466218e-07,21.334615384615404,0.5960310775199349,0.5819318591078242
40,2182,2.441788792386843e-06,9.315047941049631e-07,2.3212204536507922e-07,22.211718750000017,0.568983031863042,0.5937734957757159
41,2163,2.6079429215787435e-06,6.466700628608075e-07,2.5615868018032295e-07,22.085336538461547,0.5756950669939274,0.5920818333945885
42,1276,6.8564559792978185e-06,3.4366728828268e-07,1.0523096152152145e-06,20.232872596153868,0.5869783264873061,0.5667068976776776
43,1631,3.615066672874847e-06,7.545907495502286e-06,4.157678219857194e-07,21.458834134615387,0.527391950187909,0.5836235214889517
44,1662,3.615066672874847e-06,1.1816266174636355e-06,4.157678219857194e-07,21.458834134615387,0.564527552744651,0.5836235214889517
45,1635,3.857036162393238e-06,2.3439581785059043e-05,4.573069534466218e-07,21.334615384615404,0.5023155971956234,0.5819318591078242
46,1642,4.114487298883416e-06,2.163572053196015e-06,5.02726509606073e-07,21.210757211538464,0.552895349576527,0.5802401967266968
47,2109,4.6796530950794145e-06,8.111568401212664e-07,6.065797367769785e-07,20.964122596153857,0.5715447708749883,0.576856871964442
48,1794,6.436358807385715e-06,7.91107060366849e-07,9.61217707763823e-07,20.353846153846177,0.5720059306406398,0.5683985600588051
49,2141,6.8564559792978185e-06,8.042461512273669e-07,1.0523096152152145e-06,20.232872596153868,0.5717025007271079,0.5667068976776776
50,2157,1.062207667745323e-05,1.0796011707415985e-06,1.9560567327338917e-06,19.39615384615385,0.5662268015995403,0.5548652610097858
51,1252,7.302707068324824e-06,1.1787067211968369e-06,1.1514561637204918e-06,20.11225961538463,0.5645742369107002,0.5650152352965503
52,1614,7.302707068324824e-06,3.3048987500384013e-06,1.1514561637204918e-06,20.11225961538463,0.5444785867933547,0.5650152352965503
53,1254,1.2018489754660493e-05,1.3004994170642e-06,2.324977579512159e-06,19.160336538461564,0.5627133348945013,0.5514819362475311
54,1282,8.279927681518888e-06,4.488120911045873e-06,1.3765998181635412e-06,19.872115384615398,0.5382534260602017,0.5616319105342955
55,1470,8.814243583499868e-06,1.492504241862281e-06,1.5040671577280558e-06,19.752584134615404,-0.5600880446678829,-0.559940248153168
56,1813,3.339445926144009e-05,1.5522110546482432e-06,9.382619190697192e-06,17.214122596153857,0.5593361100082184,0.5227236757683653
57,1806,1.3589074305877813e-05,1.633081204102531e-06,2.758281119681309e-06,18.925961538461564,0.5583597649929768,0.5480986114852763
58,1278,2.2057048175485484e-05,2.2095058263551007e-06,5.364923724923176e-06,18.00288461538463,0.5524833221249164,0.5345653124362572
59,487,1.2018489754660493e-05,1.5446805449646975e-05,2.324977579512159e-06,19.160336538461564,-0.5117739291099916,-0.5514819362475311
60,1267,1.3589074305877813e-05,9.307954326408179e-06,2.758281119681309e-06,18.925961538461564,0.5228961073870774,0.5480986114852763
61,1665,1.4445986892212242e-05,4.0421044189485324e-06,3.002239610920355e-06,18.80931490384617,0.5403965983634964,0.5464069491041489
62,1260,1.8417301195285974e-05,5.012597385589064e-06,4.194540705182134e-06,18.346334134615404,0.5359743598259574,0.5396402995796393
63,1639,1.8417301195285974e-05,0.00016201076405865494,4.194540705182134e-06,18.346334134615404,0.45441500232629317,0.5396402995796393
64,483,1.9561768472244736e-05,1.6001716497450588e-05,4.555162264319559e-06,18.231490384615398,-0.5109842387710926,-0.5379486371985118
65,1623,2.2057048175485484e-05,2.6900046292780122e-05,5.364923724923176e-06,18.00288461538463,0.4991298509575168,0.5345653124362572
66,475,8.348951637883397e-05,7.542926494933144e-06,3.120826190672823e-05,15.477584134615398,-0.5274003546302839,-0.49565707767032696
67,1258,3.339445926144009e-05,8.259702580969059e-06,9.382619190697192e-06,17.214122596153857,0.5254635583777401,0.5227236757683653
68,2103,3.753750689857089e-05,4.1075621201007004e-05,1.0965416466259376e-05,16.992007211538464,0.48913383859036624,0.5193403510061105
69,2310,5.0134201071718945e-05,1.1717970177393808e-05,1.6074870665275752e-05,16.44302884615385,-0.5178886646687246,-0.5108820391004736
70,1791,9.865565189658788e-05,1.1740656365272415e-05,3.866371669041077e-05,15.162259615384613,0.5178462644667039,0.4905820905269448
71,2186,7.894407298562599e-05,1.2387027964451232e-05,2.90355179897352e-05,15.58341346153847,0.516669159831177,0.4973487400514543
72,1668,5.0134201071718945e-05,1.2835698864576461e-05,1.6074870665275752e-05,16.44302884615385,0.5158852429998659,0.5108820391004736
73,1248,5.0134201071718945e-05,2.6326875702653852e-05,1.6074870665275752e-05,16.44302884615385,0.4996302262687269,0.5108820391004736
74,1789,5.309377462149636e-05,2.059819398414387e-05,1.7331827516479742e-05,16.334314903846177,0.5052765577546205,0.5091903767193462
75,1817,0.0001229511388042127,1.771478507194811e-05,5.11781585466758e-05,14.746875000000017,0.5086976176707728,0.48381544100243523
76,1627,5.6218390005819004e-05,2.794489770499377e-05,1.8679615355905417e-05,16.225961538461547,0.49824261614938203,0.5074987143382188
77,2308,0.00014476351296710522,2.151041700625526e-05,6.291516850416299e-05,14.439122596153851,-0.5042866782725934,-0.4787404538590531
78,1835,9.865565189658788e-05,2.1802614726494526e-05,3.866371669041077e-05,15.162259615384613,0.5039778386820778,0.4905820905269448
79,500,0.0001894014750321085,2.2019968013660434e-05,8.812678373674964e-05,13.933413461538464,-0.5037505882884061,-0.47028214195341606
80,1067,7.463328261592632e-05,4.115432863424523e-05,2.7003719100359674e-05,15.689603365384613,0.4890879166593477,0.49904040243258174
81,1285,7.463328261592632e-05,3.130524926705632e-05,2.7003719100359674e-05,15.689603365384613,0.4955841374673245,0.49904040243258174
82,1408,7.894407298562599e-05,4.151201252375376e-05,2.90355179897352e-05,15.58341346153847,-0.4888802441575744,-0.4973487400514543
83,2312,7.894407298562599e-05,0.0001055152342678686,2.90355179897352e-05,15.58341346153847,-0.4656698246433242,-0.4973487400514543
84,458,0.00013711700035206627,2.9724516131661768e-05,5.8751891866714196e-05,14.541346153846177,-0.49679994444035835,-0.48043211624018045
