wavelength,t_stat,p_value,q_value,mean_diff,cohen_d,direction
1426,-10.194426910200486,4.822792555616989e-13,2.698918457516497e-10,-0.0007944157656250006,-2.5486067275501214,nao_irrigado
1427,-10.188626840899527,5.900193639396869e-13,2.698918457516497e-10,-0.0007960082812500002,-2.5471567102248818,nao_irrigado
1425,-10.17248322379877,3.9180217362342303e-13,2.698918457516497e-10,-0.0007918835187499997,-2.5431208059496924,nao_irrigado
1428,-10.106474858268273,9.24429710581639e-13,2.698918457516497e-10,-0.0007927735625000007,-2.5266187145670678,nao_irrigado
1424,-10.063927908211213,4.364662184531358e-13,2.698918457516497e-10,-0.0007856170093749996,-2.5159819770528027,nao_irrigado
1423,-9.902689407067449,6.42628422633984e-13,2.698918457516497e-10,-0.0007759123843749998,-2.475672351766862,nao_irrigado
1422,-9.799431537842473,7.834299333150963e-13,2.698918457516497e-10,-0.0007655469874999991,-2.449857884460618,nao_irrigado
1421,-9.68946084718955,1.0047160381634238e-12,2.698918457516497e-10,-0.0007532775437500009,-2.422365211797387,nao_irrigado
1429,-9.967548031889525,1.712372732107593e-12,3.679889001299218e-10,-0.0007842436999999994,-2.491887007972381,nao_irrigado
1420,-9.522469917262475,1.5463673424434542e-12,3.679889001299218e-10,-0.0007377471937499991,-2.3806174793156187,nao_irrigado
1430,-9.85015038086061,2.790675493930693e-12,4.997634697047549e-10,-0.0007769040312499997,-2.4625375952151525,nao_irrigado
1419,-9.324319816311098,2.5932770009115235e-12,4.997634697047549e-10,-0.0007201521093749986,-2.331079954077775,nao_irrigado
1431,-9.714228876100856,4.774016988582632e-12,7.891817314203135e-10,-0.0007681192312499999,-2.428557219025214,nao_irrigado
1418,-9.087215737198614,5.2619107755127165e-12,8.07703304041202e-10,-0.0007037230093750006,-2.2718039342996534,nao_irrigado
1432,-9.49523784287048,1.0315022622590329e-11,1.3854364759966635e-09,-0.0007532768843749999,-2.37380946071762,nao_irrigado
1417,-8.868677244415817,9.901467243122924e-12,1.3854364759966635e-09,-0.0006884768843750007,-2.2171693111039543,nao_irrigado
1416,-8.670886673858018,1.7725247516456603e-11,2.2406798184038377e-09,-0.0006712299250000008,-2.167721668464504,nao_irrigado
1433,-9.245560813592935,2.4014873229860705e-11,2.8671090317205916e-09,-0.0007359931812500001,-2.3113902033982336,nao_irrigado
